HBindex,DecayRate,LogTau,FitX,FitY
4.68268,0.122891,0.910479,0.832305,0.102524
50.16,0.148881,0.82716,0.880972,0.103547
4.42335,0.132965,0.876262,0.932484,0.104569
3.61882,0.190475,0.720161,0.987009,0.105592
6.4751,0.229529,0.639163,1.04472,0.106614
1.49872,0.0853681,1.0687,1.10581,0.107637
24.0161,0.0941205,1.02632,1.17047,0.108659
1.85123,0.134421,0.871534,1.23891,0.109682
6.26761,0.136421,0.86512,1.31135,0.110705
1.03604,0.0533855,1.27258,1.38803,0.111727
1.31097,0.102915,0.987523,1.46919,0.11275
1.48423,0.0983641,1.00716,1.55509,0.113772
1.51945,0.12932,0.888335,1.64602,0.114795
2.5277,0.178911,0.747362,1.74227,0.115817
1.57217,0.044818,1.34855,1.84414,0.11684
3.18485,0.114378,0.941658,1.95197,0.117862
0.956121,0.168001,0.774687,2.06611,0.118885
4.68839,0.0984732,1.00668,2.18692,0.119907
4.71714,0.131904,0.879742,2.31479,0.12093
0.405383,0.0165184,1.78203,2.45014,0.121952
1.01512,0.135795,0.867116,2.59341,0.122975
0.635209,0.0963636,1.01609,2.74505,0.123998
0.716285,0.0895355,1.048,2.90556,0.12502
0.684996,0.131299,0.881739,3.07545,0.126043
1.22769,0.06808,1.16698,3.25528,0.127065
0.197832,0.0847128,1.07205,3.44562,0.128088
1.07587,0.201305,0.696146,3.6471,0.12911
1.68472,0.0189349,1.72274,3.86035,0.130133
1.46606,0.0658645,1.18135,4.08607,0.131155
3.24571,0.144594,0.839849,4.32499,0.132178
0.206368,0.0374363,1.42671,4.57788,0.1332
7.12653,0.12001,0.920782,4.84556,0.134223
1.8678,0.0709409,1.1491,5.12889,0.135245
1.07442,0.104408,0.981267,5.42879,0.136268
8.59046,0.116339,0.934275,5.74622,0.13729
4.19065,0.112106,0.950372,6.08221,0.138313
6.31138,0.0784477,1.10542,6.43785,0.139336
1.0212,0.117789,0.928895,6.81429,0.140358
0.160011,0.0389126,1.40991,7.21273,0.141381
1.86113,0.217963,0.661617,7.63448,0.142403
1.26943,0.0868345,1.06131,8.08088,0.143426
1.04443,0.116065,0.935298,8.55339,0.144448
2.56336,0.131739,0.880284,9.05352,0.145471
6.12446,0.130518,0.884329,9.5829,0.146493
6.25571,0.169632,0.770491,10.1432,0.147516
6.44429,0.194509,0.71106,10.7363,0.148538
4.01181,0.139293,0.856071,11.3641,0.149561
0.308192,0.100357,0.998452,12.0286,0.150583
0.744715,0.0527901,1.27745,12.7319,0.151606
1.84527,0.102523,0.989178,13.4764,0.152628
2.32762,0.07047,1.152,14.2644,0.153651
0.726809,0.134805,0.870295,15.0984,0.154674
0.178694,0.0385458,1.41402,15.9813,0.155696
0.41147,0.139837,0.854377,16.9157,0.156719
0.660024,0.0793801,1.10029,17.9048,0.157741
1.46352,0.140526,0.852244,18.9518,0.158764
1.37375,0.117594,0.929614,20.0599,0.159786
0.856605,0.129904,0.886377,21.2329,0.160809
2.76882,0.125411,0.901664,22.4744,0.161831
2.56925,0.142681,0.845633,23.7885,0.162854
2.03043,0.0646327,1.18955,25.1795,0.163876
2.92639,0.21353,0.670542,26.6518,0.164899
1.60122,0.145942,0.835819,28.2102,0.165921
6.86988,0.169862,0.769905,29.8597,0.166944
1.49206,0.146291,0.834781,31.6056,0.167967
0.725402,0.121495,0.91544,33.4537,0.168989
3.52184,0.09267,1.03306,35.4098,0.170012
2.47812,0.1278,0.89347,37.4802,0.171034
1.24089,0.0556992,1.25415,39.6718,0.172057
16.7118,0.109546,0.960404,41.9915,0.173079
1.16477,0.0929761,1.03163,44.4468,0.174102
4.74627,0.126037,0.8995,47.0457,0.175124
6.4633,0.0266931,1.5736,49.7966,0.176147
1.40355,0.0703941,1.15246,52.7083,0.177169
0.463466,0.0745179,1.12774,55.7902,0.178192
5.28204,0.209984,0.677814,,
4.525,0.0333957,1.47631,,
0.833758,0.144774,0.83931,,
7.049,0.24709,0.607146,,
55.715,0.161396,0.792108,,
5.58747,0.163342,0.786903,,
4.6452,0.172926,0.762139,,
0.576151,0.0747424,1.12643,,
0.921808,0.0895815,1.04778,,
2.04257,0.151077,0.820802,,
3.26658,0.224674,0.648447,,
0.538689,0.095567,1.01969,,
2.88751,0.0961947,1.01685,,
2.52795,0.187869,0.726146,,
1.991,0.110829,0.955348,,
1.23779,0.0815343,1.08866,,
2.45823,0.125256,0.902201,,
10.1377,0.177542,0.750699,,
0.504518,0.0444258,1.35236,,
0.715061,0.133194,0.875515,,
1.68557,0.0328464,1.48351,,
10.9962,0.198375,0.702513,,
3.70948,0.123883,0.90699,,
1.44573,0.101245,0.994627,,
1.78346,0.0865816,1.06257,,
16.2742,0.128096,0.892464,,
0.858298,0.168664,0.772978,,
4.72489,0.0669196,1.17445,,
1.50792,0.163108,0.787525,,
4.96405,0.146431,0.834368,,
3.82418,0.0936906,1.0283,,
0.703644,0.105973,0.974805,,
23.0279,0.18882,0.723952,,
7.70893,0.235617,0.627793,,
0.282575,0.100595,0.997425,,
2.09904,0.118587,0.925964,,
1.4113,0.126976,0.896279,,
0.449935,0.15064,0.822059,,
1.74331,0.0689809,1.16127,,
13.6638,0.140723,0.851634,,
0.858795,0.130649,0.883895,,
1.92325,0.161806,0.791006,,
0.345814,0.065665,1.18267,,
3.97207,0.0770884,1.11301,,
4.57801,0.164985,0.782556,,
0.938052,0.0230411,1.6375,,
7.13046,0.190168,0.720861,,
1.8975,0.197883,0.703591,,
2.25352,0.135092,0.86937,,
0.872949,0.148912,0.827071,,
1.66939,0.0502291,1.29904,,
0.949608,0.205489,0.687212,,
12.3139,0.212997,0.671626,,
6.75834,0.138138,0.859687,,
1.23772,0.166649,0.778198,,
0.266214,0.0940226,1.02677,,
7.13838,0.120128,0.920357,,
3.58332,0.149182,0.826285,,
1.60736,0.0218059,1.66143,,
14.9029,0.122354,0.912383,,
0.683373,0.0689423,1.16151,,
0.625949,0.11611,0.935132,,
0.401635,0.124371,0.905279,,
2.49538,0.150417,0.822704,,
0.272467,0.0448283,1.34845,,
6.36799,0.13335,0.875007,,
2.03345,0.131729,0.880317,,
1.60415,0.0799144,1.09738,,
0.996664,0.10676,0.971592,,
0.101805,0.0728214,1.13774,,
0.783745,0.0799385,1.09724,,
2.85467,0.107267,0.969532,,
1.8812,0.129964,0.886178,,
2.52117,0.135337,0.868583,,
0.72542,0.131202,0.882058,,
1.3889,0.135705,0.867404,,
0.429733,0.154999,0.809672,,
10.4144,0.169476,0.770893,,
1.91037,0.0977468,1.0099,,
14.8877,0.129697,0.887069,,
1.71455,0.0645241,1.19028,,
1.45138,0.117519,0.929892,,
0.474638,0.116195,0.934814,,
2.73649,0.148439,0.828452,,
1.21425,0.122383,0.91228,,
0.249846,0.100939,0.995943,,
0.16352,0.0285351,1.54462,,
1.82705,0.12718,0.895581,,
9.99322,0.145767,0.836341,,
2.05312,0.127108,0.895828,,
0.826069,0.0530007,1.27572,,
3.67153,0.225886,0.646111,,
2.47099,0.14133,0.849765,,
4.91214,0.0715318,1.1455,,
1.21033,0.108006,0.966553,,
0.735173,0.0819895,1.08624,,
2.99458,0.12381,0.907246,,
0.529844,0.156229,0.806238,,
1.63597,0.112905,0.947286,,
12.1296,0.152585,0.816489,,
20.6886,0.117621,0.929515,,
2.9457,0.138069,0.859902,,
7.91177,0.107008,0.970585,,
8.37834,0.173578,0.760504,,
3.20187,0.152689,0.816192,,
3.48579,0.140162,0.853369,,
2.83036,0.054567,1.26307,,
1.50998,0.0986853,1.00575,,
3.00861,0.159523,0.797177,,
1.42854,0.158301,0.800515,,
1.71283,0.0980366,1.00861,,
1.29562,0.0634918,1.19728,,
4.41565,0.131632,0.880639,,
1.97061,0.122162,0.913064,,
1.166,0.08278,1.08207,,
0.491654,0.1841,0.734947,,
1.82409,0.122699,0.911158,,
0.830591,0.109127,0.962066,,
2.16231,0.0501214,1.29998,,
0.36776,0.101633,0.992965,,
1.30658,0.122088,0.913327,,
1.88843,0.18147,0.741196,,
0.997457,0.0826587,1.08271,,
3.90376,0.153123,0.814958,,
0.702326,0.0420425,1.37631,,
1.40696,0.0233512,1.63169,,
2.84562,0.137001,0.863276,,
0.94676,0.004,2.39794,,
0.358844,0.135708,0.867393,,
0.466696,0.0752904,1.12326,,
2.79756,0.159712,0.796662,,
3.53616,0.0412451,1.38463,,
4.5128,0.116881,0.932256,,
0.757356,0.138249,0.859338,,
3.38077,0.144279,0.840797,,
1.01412,0.0876833,1.05708,,
2.86902,0.0826177,1.08293,,
45.5616,0.191482,0.717871,,
4.42196,0.0971324,1.01264,,
0.185654,0.124456,0.904984,,
2.64534,0.170845,0.767398,,
1.53547,0.115491,0.93745,,
4.28282,0.183639,0.736035,,
0.596037,0.111828,0.95145,,
1.24828,0.0504523,1.29712,,
1.06969,0.109257,0.961552,,
3.08278,0.0916557,1.03784,,
5.17479,0.169764,0.770155,,
10.0313,0.155603,0.807982,,
2.70723,0.0828324,1.0818,,
0.847166,0.15512,0.809331,,
9.93201,0.14847,0.828361,,
1.21981,0.137637,0.861264,,
2.52586,0.144397,0.840443,,
2.41967,0.202171,0.694281,,
3.04292,0.0955874,1.0196,,
0.514414,0.109186,0.961834,,
1.57838,0.230622,0.637099,,
1.01954,0.14284,0.845149,,
8.00033,0.178359,0.748706,,
1.94979,0.119894,0.921202,,
12.7527,0.12923,0.888637,,
3.27679,0.135537,0.867943,,
0.872065,0.188513,0.724659,,
1.53188,0.089138,1.04994,,
4.72698,0.1074,0.968996,,
0.374943,0.0770063,1.11347,,
1.75277,0.136555,0.864693,,
1.48646,0.100481,0.997916,,
2.13245,0.196965,0.705611,,
0.387517,0.0703183,1.15293,,
1.46342,0.127885,0.893181,,
49.6175,0.137624,0.861304,,
4.65691,0.142032,0.847614,,
2.5194,0.154458,0.811188,,
4.07615,0.201535,0.695649,,
0.515273,0.0399765,1.3982,,
4.0152,0.201828,0.695018,,
2.98127,0.200375,0.698156,,
1.12869,0.179306,0.746406,,
2.6625,0.0716677,1.14468,,
4.36431,0.162017,0.790439,,
0.337766,0.0237416,1.62449,,
2.73624,0.160786,0.793751,,
0.578937,0.0932288,1.03045,,
0.807652,0.100891,0.996149,,
7.97168,0.174637,0.757864,,
1.30776,0.0289541,1.53829,,
25.0085,0.119451,0.92281,,
1.4167,0.092644,1.03318,,
0.388215,0.140252,0.85309,,
1.54101,0.0603852,1.21907,,
2.32349,0.146413,0.834422,,
7.68078,0.0867689,1.06164,,
1.30521,0.126647,0.897406,,
3.02886,0.0169299,1.77135,,
0.893451,0.0278102,1.5558,,
1.09432,0.142392,0.846513,,
0.280753,0.160059,0.79572,,
1.38129,0.110636,0.956102,,
0.973037,0.108063,0.966324,,
4.05291,0.199207,0.700695,,
1.37429,0.0996644,1.00146,,
0.605098,0.0889335,1.05093,,
4.85218,0.0618495,1.20866,,
2.25132,0.176219,0.753948,,
2.36698,0.143958,0.841765,,
2.2859,0.0111534,1.95259,,
5.12827,0.140043,0.853738,,
2.52118,0.0985369,1.0064,,
0.54417,0.0522526,1.28189,,
2.45453,0.117928,0.928382,,
2.60982,0.0327974,1.48416,,
7.04243,0.129787,0.886767,,
9.6621,0.158108,0.801046,,
3.10313,0.0655572,1.18338,,
1.96953,0.043432,1.36219,,
0.591821,0.0721048,1.14204,,
1.92219,0.131446,0.881252,,
12.0309,0.173185,0.761489,,
1.56498,0.0888044,1.05157,,
1.46909,0.157663,0.80227,,
4.48419,0.184721,0.733484,,
0.715918,0.0966367,1.01486,,
9.49074,0.114346,0.941779,,
1.7722,0.0962316,1.01668,,
5.79187,0.158268,0.800606,,
22.4539,0.136974,0.863363,,
3.22357,0.191482,0.717873,,
16.8524,0.116857,0.932345,,
18.1957,0.180746,0.742932,,
12.0628,0.0591827,1.22781,,
9.68692,0.169775,0.770127,,
0.989897,0.176945,0.752161,,
9.21252,0.192927,0.714608,,
2.40776,0.0136931,1.8635,,
14.1818,0.184665,0.733615,,
4.10392,0.144243,0.840906,,
1.44804,0.103493,0.985088,,
3.90749,0.207511,0.682959,,
37.1031,0.201876,0.694916,,
1.86613,0.140048,0.853723,,
4.17102,0.136235,0.865711,,
3.27932,0.157476,0.802785,,
7.02993,0.119114,0.924039,,
7.02059,0.105437,0.977006,,
0.802919,0.0892324,1.04948,,
0.789185,0.124264,0.905654,,
1.20322,0.0829526,1.08117,,
6.34584,0.0950963,1.02184,,
3.75197,0.0925748,1.03351,,
1.8791,0.0326541,1.48606,,
1.36861,0.0229589,1.63905,,
2.79948,0.141924,0.847946,,
8.07323,0.0283258,1.54782,,
0.815807,0.0949684,1.02242,,
5.24471,0.138576,0.858313,,
2.90202,0.157991,0.801368,,
1.26497,0.152715,0.816119,,
0.243493,0.0434671,1.36184,,
1.50532,0.150938,0.821202,,
1.1049,0.153218,0.814691,,
1.04313,0.185624,0.731366,,
0.345529,0.0371496,1.43005,,
6.32367,0.103936,0.983233,,
9.23148,0.127212,0.895471,,
7.96909,0.123119,0.909673,,
1.62764,0.0926656,1.03308,,
1.62686,0.163346,0.786891,,
8.47026,0.248389,0.604867,,
3.87127,0.128364,0.891557,,
1.74935,0.0685984,1.16369,,
1.43196,0.0950138,1.02221,,
0.736623,0.0949717,1.02241,,
2.31253,0.0823004,1.0846,,
3.18933,0.154241,0.811801,,
0.43979,0.107402,0.968988,,
5.35752,0.117398,0.930339,,
2.19951,0.0468016,1.32974,,
14.2094,0.159193,0.798075,,
1.36665,0.137848,0.8606,,
1.18278,0.122276,0.91266,,
0.618459,0.156299,0.806043,,
1.00962,0.0794196,1.10007,,
0.60213,0.0665026,1.17716,,
4.53907,0.111544,0.952554,,
2.39545,0.146064,0.835458,,
0.765109,0.135857,0.866919,,
1.24412,0.0857369,1.06683,,
2.44088,0.0825782,1.08313,,
6.46659,0.148491,0.828299,,
1.94371,0.113307,0.945744,,
0.447011,0.0704032,1.15241,,
4.52441,0.178915,0.747354,,
2.49897,0.124533,0.904715,,
3.50938,0.220496,0.656599,,
0.354694,0.103904,0.983367,,
1.38502,0.0272834,1.5641,,
4.78441,0.223131,0.65144,,
1.30624,0.0668513,1.17489,,
1.60743,0.125209,0.902364,,
3.39168,0.165103,0.782244,,
1.36785,0.069639,1.15715,,
0.284515,0.106776,0.971528,,
1.94232,0.115007,0.939275,,
5.78449,0.178747,0.747761,,
1.33506,0.136558,0.864684,,
3.70754,0.105724,0.975825,,
2.60894,0.163395,0.786761,,
4.05853,0.04011,1.39675,,
1.46111,0.173395,0.760964,,
1.79511,0.082136,1.08547,,
2.23111,0.140087,0.853603,,
2.18127,0.161973,0.790557,,
2.24419,0.1468,0.833275,,
2.39976,0.139819,0.854433,,
7.32803,0.189373,0.722682,,
2.29792,0.0519675,1.28427,,
1.07449,0.154122,0.812136,,
0.633776,0.0610032,1.21465,,
1.47376,0.171539,0.765637,,
1.14092,0.004,2.39794,,
3.29668,0.161249,0.792503,,
1.57178,0.144498,0.840139,,
2.09968,0.11935,0.923177,,
1.30679,0.0628631,1.2016,,
1.04327,0.0347397,1.45917,,
2.11485,0.188723,0.724174,,
1.10247,0.16135,0.792231,,
4.16386,0.0379797,1.42045,,
11.9745,0.113432,0.945264,,
0.106535,0.00976451,2.01035,,
0.714532,0.0703909,1.15248,,
0.816794,0.0928242,1.03234,,
2.13061,0.0240373,1.61911,,
3.24742,0.0685005,1.16431,,
11.166,0.13358,0.874257,,
1.74556,0.0781792,1.10691,,
14.158,0.115214,0.938495,,
2.39829,0.108847,0.963185,,
0.962716,0.0722681,1.14105,,
7.49772,0.170252,0.768907,,
5.68789,0.161376,0.79216,,
1.62143,0.0614696,1.21134,,
9.8807,0.0594207,1.22606,,
7.32002,0.112623,0.948374,,
3.323,0.16556,0.781044,,
3.69788,0.0234681,1.62952,,
0.342302,0.0990094,1.00432,,
5.03104,0.1608,0.793715,,
2.59994,0.0363854,1.43907,,
2.15528,0.150663,0.821993,,
2.9523,0.105497,0.976758,,
2.97107,0.0805195,1.0941,,
2.53598,0.109697,0.959804,,
5.62135,0.07651,1.11628,,
2.06996,0.120709,0.918261,,
0.552314,0.088774,1.05171,,
3.10371,0.122124,0.9132,,
9.53484,0.139865,0.854291,,
0.612825,0.152154,0.817716,,
2.92401,0.195846,0.708086,,
2.54433,0.151869,0.818531,,
2.21694,0.123271,0.909139,,
3.83684,0.150045,0.823778,,
2.84897,0.0736979,1.13254,,
0.807096,0.131416,0.881353,,
1.19143,0.0835551,1.07803,,
2.31916,0.139316,0.856,,
0.504772,0.132521,0.877714,,
3.43806,0.152087,0.817907,,
0.364092,0.157495,0.802734,,
2.14354,0.104918,0.979151,,
2.60746,0.0721065,1.14203,,
7.86004,0.186682,0.728897,,
4.87911,0.0971238,1.01267,,
0.993081,0.108452,0.964763,,
0.929012,0.0858377,1.06632,,
13.7564,0.103141,0.986569,,
0.959351,0.112952,0.947106,,
1.94113,0.172997,0.761962,,
1.13601,0.212511,0.672618,,
4.62952,0.160843,0.793596,,
0.680275,0.120433,0.919253,,
12.7639,0.146159,0.835175,,
5.62249,0.0721951,1.14149,,
7.98899,0.198012,0.703309,,
0.233258,0.0178884,1.74743,,
6.68013,0.184797,0.733306,,
4.86913,0.131627,0.880654,,
2.20635,0.118349,0.926837,,
1.37787,0.0466134,1.33149,,
0.400054,0.0159546,1.79711,,
5.07541,0.2044,0.68952,,
3.9821,0.162518,0.789099,,
2.74583,0.132258,0.878579,,
6.77716,0.15165,0.819159,,
2.21521,0.204935,0.688385,,
2.05108,0.145652,0.836682,,
1.09888,0.16108,0.792958,,
0.735356,0.149218,0.826178,,
1.11963,0.0506951,1.29503,,
1.126,0.111809,0.951522,,
0.869417,0.0863935,1.06352,,
2.13147,0.182817,0.737983,,
2.09864,0.0677977,1.16878,,
0.747442,0.0225337,1.64717,,
5.49527,0.18234,0.739117,,
0.896829,0.119516,0.922574,,
1.78336,0.133221,0.875426,,
5.12011,0.112809,0.947658,,
4.56274,0.148524,0.828205,,
1.70799,0.108745,0.963589,,
3.57064,0.0939578,1.02707,,
1.24945,0.0957182,1.01901,,
0.470475,0.0111179,1.95398,,
1.69768,0.128365,0.891552,,
1.11791,0.0766635,1.11541,,
1.48878,0.10051,0.997791,,
0.476769,0.133273,0.875257,,
0.721988,0.133088,0.875861,,
3.74374,0.165313,0.781694,,
16.3797,0.210189,0.67739,,
1.1348,0.0909503,1.0412,,
8.16856,0.197263,0.704955,,
0.881251,0.0980695,1.00847,,
3.15664,0.141492,0.849269,,
2.59618,0.167977,0.77475,,
1.77322,0.0745973,1.12728,,
0.701181,0.121211,0.916459,,
4.7664,0.165591,0.780964,,
2.32101,0.161763,0.791122,,
3.29007,0.161588,0.791591,,
1.38473,0.0679064,1.16809,,
2.09131,0.175667,0.75531,,
3.09981,0.114748,0.940254,,
0.947982,0.0735465,1.13344,,
0.456455,0.0841454,1.07497,,
0.207706,0.0177695,1.75033,,
1.12653,0.185677,0.731242,,
2.04839,0.107932,0.96685,,
0.703838,0.0513326,1.28961,,
1.60706,0.0673467,1.17168,,
1.20949,0.131957,0.879568,,
1.44113,0.0997372,1.00114,,
4.1391,0.0969299,1.01354,,
1.92484,0.098444,1.00681,,
1.50938,0.154414,0.811315,,
2.25964,0.0961488,1.01706,,
0.352786,0.0344379,1.46296,,
44.7487,0.21102,0.675677,,
2.37996,0.21154,0.674607,,
3.35394,0.152956,0.815433,,
2.88262,0.0485978,1.31338,,
9.91016,0.0816846,1.08786,,
0.68256,0.0624436,1.20451,,
7.4769,0.0757014,1.1209,,
1.95705,0.186462,0.72941,,
1.20365,0.128495,0.891115,,
0.658188,0.144941,0.838808,,
1.14021,0.12539,0.901736,,
3.7643,0.0918577,1.03688,,
20.4861,0.223295,0.651121,,
1.1538,0.09624,1.01664,,
2.57163,0.0806275,1.09352,,
6.30477,0.174563,0.758048,,
1.98583,0.177649,0.750436,,
3.86768,0.093858,1.02753,,
3.10717,0.106701,0.97183,,
13.6454,0.183385,0.736637,,
0.418174,0.179577,0.745749,,
0.293421,0.0761289,1.11845,,
19.3825,0.183364,0.736687,,
0.644896,0.0709368,1.14913,,
2.5102,0.138306,0.859158,,
3.86712,0.136661,0.864357,,
2.23494,0.120683,0.918355,,
1.72108,0.156812,0.80462,,
3.07291,0.163644,0.786101,,
4.99496,0.139211,0.856326,,
5.7992,0.179121,0.746853,,
4.98563,0.129231,0.888634,,
8.98429,0.238191,0.623074,,
1.8636,0.0783031,1.10622,,
3.35419,0.122751,0.910974,,
0.65368,0.155476,0.808337,,
6.23682,0.116601,0.933296,,
1.75685,0.136414,0.86514,,
3.80395,0.177051,0.751902,,
4.14309,0.109105,0.962157,,
1.26011,0.1339,0.873219,,
3.8749,0.133356,0.874987,,
2.49712,0.146191,0.835081,,
1.5516,0.0694303,1.15845,,
1.28222,0.108799,0.963374,,
0.99628,0.104903,0.979213,,
1.09876,0.130704,0.88371,,
1.70066,0.127154,0.895669,,
1.93546,0.142906,0.84495,,
3.25229,0.185951,0.730602,,
0.284104,0.103748,0.98402,,
3.70643,0.100068,0.999705,,
0.512935,0.122511,0.911826,,
1.27514,0.135801,0.867096,,
1.26289,0.141279,0.849923,,
0.27604,0.0399715,1.39825,,
1.27412,0.113067,0.946664,,
1.77374,0.0929117,1.03193,,
0.639679,0.0741345,1.12998,,
1.07598,0.12054,0.918868,,
2.07588,0.0806443,1.09343,,
0.946646,0.0532447,1.27372,,
1.91926,0.114628,0.940711,,
1.72538,0.0785506,1.10485,,
1.13071,0.06403,1.19362,,
4.49611,0.180283,0.744045,,
8.60346,0.170206,0.769026,,
8.60517,0.170032,0.76947,,
0.484786,0.100578,0.997498,,
2.31731,0.112291,0.949653,,
4.04451,0.135573,0.867826,,
19.5633,0.0723374,1.14064,,
2.68369,0.0355383,1.4493,,
0.286938,0.063734,1.19563,,
3.21067,0.0496391,1.30418,,
1.00484,0.0680152,1.16739,,
1.50212,0.110794,0.955484,,
1.55472,0.0519484,1.28443,,
5.15232,0.123904,0.906915,,
6.92644,0.166266,0.779197,,
4.03769,0.145617,0.836789,,
0.399849,0.105061,0.978557,,
2.37435,0.158993,0.798622,,
47.7101,0.166943,0.777432,,
2.4622,0.0534573,1.27199,,
0.759709,0.0987657,1.00539,,
2.20164,0.11059,0.956284,,
1.16927,0.0666627,1.17612,,
3.8606,0.200264,0.698396,,
0.429849,0.190327,0.720499,,
0.244162,0.0943821,1.02511,,
4.4696,0.0583552,1.23392,,
4.47839,0.0908017,1.04191,,
4.96392,0.213921,0.669747,,
1.12819,0.004,2.39794,,
1.33782,0.17195,0.764599,,
1.08992,0.108634,0.964033,,
3.06441,0.147284,0.831844,,
0.496172,0.0966762,1.01468,,
0.451113,0.107885,0.967041,,
3.63536,0.096165,1.01698,,
0.910911,0.103599,0.984645,,
4.63531,0.156447,0.805633,,
2.27138,0.137683,0.86112,,
1.43691,0.159087,0.798365,,
0.6663,0.101607,0.993076,,
2.0945,0.132299,0.878445,,
1.05562,0.110353,0.957216,,
3.63553,0.172095,0.764233,,
0.419899,0.150674,0.821962,,
5.85222,0.093328,1.02999,,
1.07165,0.167294,0.776519,,
7.09035,0.1002,0.999131,,
2.49943,0.0817884,1.08731,,
5.26417,0.165711,0.780649,,
2.51544,0.0180046,1.74462,,
0.357778,0.0853608,1.06874,,
1.67774,0.132847,0.876648,,
1.78637,0.192189,0.716272,,
8.28942,0.0784575,1.10537,,
1.11254,0.085626,1.06739,,
2.58542,0.14673,0.83348,,
8.60729,0.186585,0.729123,,
3.36753,0.166517,0.778541,,
7.59171,0.258244,0.58797,,
0.546727,0.13842,0.858801,,
0.863033,0.123407,0.908659,,
2.67712,0.180847,0.742689,,
0.590624,0.117998,0.928126,,
2.58703,0.0527323,1.27792,,
1.37259,0.105598,0.976343,,
2.67898,0.1282,0.892111,,
4.94024,0.10359,0.98468,,
0.230273,0.0704446,1.15215,,
0.599452,0.0749041,1.12549,,
5.17706,0.133924,0.873141,,
0.395367,0.0701759,1.15381,,
1.99908,0.0639434,1.1942,,
1.39562,0.16104,0.793067,,
3.0612,0.139241,0.856232,,
3.70228,0.0793709,1.10034,,
3.33926,0.188581,0.724502,,
3.88992,0.178094,0.749351,,
1.21517,0.0655148,1.18366,,
14.7872,0.194402,0.7113,,
3.98438,0.08336,1.07904,,
2.24585,0.0965124,1.01542,,
1.10376,0.120526,0.91892,,
5.31294,0.0473757,1.32444,,
3.12235,0.165696,0.780687,,
3.00881,0.0962454,1.01662,,
0.544173,0.0847458,1.07188,,
5.25276,0.150559,0.822294,,
2.7331,0.0590291,1.22893,,
0.604763,0.115907,0.935889,,
1.51034,0.101836,0.992098,,
0.591404,0.10157,0.993236,,
0.631323,0.0904218,1.04373,,
4.55417,0.0762645,1.11768,,
2.09056,0.117797,0.928866,,
5.92954,0.156949,0.804242,,
0.50101,0.0937607,1.02798,,
0.688921,0.0273542,1.56298,,
0.618405,0.129935,0.886273,,
1.76486,0.141505,0.849227,,
1.76728,0.210321,0.677117,,
5.28424,0.142336,0.846686,,
1.38619,0.1078,0.967382,,
1.54753,0.16313,0.787465,,
2.09581,0.149421,0.825588,,
1.35321,0.100565,0.997555,,
20.98,0.130024,0.885975,,
3.0441,0.116252,0.9346,,
0.291418,0.113591,0.944657,,
8.25268,0.180499,0.743526,,
1.0853,0.191126,0.71868,,
1.0676,0.0179854,1.74508,,
6.50658,0.121247,0.916329,,
2.86528,0.162616,0.788836,,
