X1,T1,E1,X2,T2,E2,X3,T3,E3,X4,T4,E4,X5,T5,E5,X6,T6,E6,X7,T7,E7,X8,T8,E8
21.4762,35.8007,27.1967,20.1768,23.578,35.0351,25.6441,0.597211,57.4258,35.2948,0.177454,81.4603,39.1129,2.94848,101.148,37.7036,5.38578,141.787,42.2213,8.23211,148.293,45.9065,17.412,247.431
19.7155,1.31208,27.1652,22.0415,42.694,49.9834,20.4927,29.4553,55.4983,35.7342,0.145903,93.031,35.9561,1.14462,100.477,39.2538,4.152,119.537,44.4189,6.64851,175.439,47.8525,57.9288,255.857
16.1954,0.401743,16.4584,25.3946,0.885875,35.104,25.9656,0.365466,52.6692,23.237,58.5028,87.2334,37.0881,2.9077,100.523,30.4126,12.5066,130.206,37.6987,69.5719,161.216,45.2778,2.26362,180.539
17.0106,0.17427,5,20.6607,0.129693,29.3821,24.1505,2.03976,64.2003,26.1863,16.3661,87.3144,26.151,33.8283,110.481,32.9395,64.7926,123.837,42.0524,8.13776,166.646,39.0412,5.71631,181.558
21.1522,6.40281,24.9934,30.3419,0.927691,49.4924,22.5237,7.61632,59.1206,38.4789,0.110806,75.9508,36.5379,1.02412,113.25,36.2049,4.2449,118.106,41.3428,14.9512,169.394,40.9246,14.4875,186.35
16.5737,0.505245,11.4236,23.9634,9.89854,42.0566,29.4597,0.1029,70.9365,26.9448,0.811978,88.7343,27.5174,51.7636,98.3179,40.9051,0.392928,127.658,44.3597,1.9938,151.288,43.3507,3.82246,183.597
19.7769,58.5701,9.82747,20.9082,2.42982,33.9161,27.8817,0.153922,62.8185,29.4027,2.65605,77.4455,36.1057,5.04284,115.84,43.7187,0.188287,127.287,35.6605,6.13718,146.559,47.344,2.95292,196.055
18.5458,25.1818,27.9183,18.0943,0.835922,42.393,22.8937,2.35242,62.8575,27.863,0.303877,80.4361,38.5137,0.385908,103.321,37.2695,9.14456,129.526,37.6424,24.4743,172.346,43.556,29.3071,184.571
17.3917,17.5026,28.6193,32.4466,0.265526,46.9837,25.5983,2.25203,53.3501,34.6647,4.17782,81.6408,35.0973,24.4892,103.274,37.3515,0.328789,117.643,39.1072,1.00372,161.789,43.9378,51.1518,240.103
21.7488,0.976977,11.706,23.2656,0.876172,45.8864,25.648,27.7279,63.0151,28.4303,4.53819,92.8372,29.4201,57.6299,104.58,25.802,44.7049,134.404,47.2532,0.77982,150.415,46.6547,1.70577,181.27
26.8994,4.0361,28.6166,21.1621,0.839638,42.1098,24.5439,2.64341,63.6596,21.1189,4.32838,79.0969,28.2098,1.8865,108.158,36.9471,7.48992,124.292,41.4491,1.18586,157.587,47.2567,10.0595,226.554
23.1907,4.71226,24.7634,33.8815,0.372588,50.3503,33.7011,2.30352,68.3455,28.1406,63.8006,90.4843,37.2146,0.222354,98.7812,31.1307,0.369156,131.059,37.3099,21.9327,170.032,47.8136,1.36459,212.75
16.2028,10.7252,5,23.4368,2.50194,32.9694,30.1005,2.16739,62.9711,23.1121,8.23499,77.8769,32.1907,0.639129,99.7819,43.6242,0.623212,125.896,39.7585,37.8141,147.743,46.0702,75.7172,252.027
18.1187,2.62896,5,29.163,1.84235,51.622,27.4071,4.59209,55.2123,29.1396,0.377563,89.6489,39.4616,0.536514,106.048,33.5077,0.338811,125.113,43.1094,2.4798,149.615,46.8325,23.3145,195.012
20.2991,49.2428,5,18.1487,6.58385,35.058,24.6243,0.438579,58.4834,22.8432,12.2313,91.9026,36.3522,8.05583,115.775,38.2096,5.06892,142.991,38.5177,35.6299,154.108,40.0694,65.7508,182.642
19.2937,22.1583,27.529,26.4863,0.778806,39.1562,24.868,34.3186,69.5602,26.4352,2.2035,83.7254,34.7186,2.94487,103.949,37.1169,28.9727,139.307,37.9164,2.52962,174.779,45.6117,45.818,215.985
16.414,8.2114,5,17.1355,36.5093,39.3927,36.6955,0.473927,68.2553,23.8596,2.95444,82.3244,43.8279,0.102642,99.1774,36.9105,8.27748,117.954,40.7794,1.59314,159.941,37.896,7.33547,178.917
22.7845,2.44082,23.5029,17.9092,4.99377,32.3253,23.7491,6.71584,58.0066,43.5803,0.322685,81.0534,33.4572,3.58528,111.749,32.4474,60.3773,134.054,37.6372,15.5088,153.879,44.5294,58.3393,236.959
18.3864,0.697593,5,31.9797,0.21366,46.8662,21.6262,58.6406,65.4791,38.7608,1.11855,93.1662,35.6754,1.48905,110.805,32.9342,33.4148,137.35,36.8455,21.9531,163.111,43.4698,16.3643,197.07
16.5782,30.2097,5,27.9968,1.04144,46.7783,27.9309,21.5775,70.8182,27.0393,42.1349,74.0517,31.6424,3.21989,97.4549,43.5522,0.340289,128.721,42.9419,3.05361,150.22,42.4157,62.7901,200.538
20.224,0.20526,7.98203,18.252,2.13633,29.8983,20.97,29.7678,54.8353,32.0183,2.61696,82.2055,43.7297,1.49241,115.626,28.4168,67.0185,126.12,39.9842,21.4025,159.396,36.837,39.1043,184.209
22.1089,11.5797,17.6799,23.6683,10.1962,48.6194,28.5358,1.42244,56.3643,39.4383,0.132109,90.963,35.0646,0.831708,96.8008,38.0775,19.0004,136.9,46.0974,4.62538,158.727,33.6631,31.3862,200.227
17.2174,0.213898,5,19.407,0.436904,32.1538,23.474,69.7362,62.0004,30.617,34.3553,85.3456,35.062,10.023,111.588,35.5059,61.9743,136.448,41.6861,26.6631,150.631,38.9916,38.8368,204.777
18.5688,0.329079,14.1891,21.9646,3.33646,32.9526,22.4695,1.98862,52.5079,33.9804,1.03231,79.5024,30.373,0.479128,103.696,34.1612,15.9223,128.569,37.976,49.7446,154.482,43.8833,10.5616,186.603
19.0716,1.89958,5,17.9136,3.24975,44.2107,21.1581,1.87112,67.3571,40.5491,0.161756,85.1158,27.9573,51.2153,97.1977,36.9976,10.5207,136.963,41.3164,1.11619,145.929,46.7838,41.6213,226.993
30.0627,8.10178,23.1054,33.1895,0.486308,43.5436,25.7044,2.16769,71.199,32.1371,0.257552,78.123,30.0879,11.7389,102.036,37.4699,2.41782,135.374,40.5235,0.586439,153.732,42.7265,11.1681,198.386
26.5003,8.02308,29.1644,24.7404,0.273612,36.4116,25.1353,2.36193,54.5446,28.6948,4.22915,83.116,38.8475,0.135463,102.857,39.4008,2.90709,144.144,46.8056,0.260976,148.203,45.1307,69.1278,253.924
17.3609,3.90574,16.5899,20.1819,0.150247,35.867,33.4434,0.282767,72.3953,24.8797,1.06535,84.2175,37.1495,0.29422,99.1498,41.3395,0.38934,124.415,46.6781,0.851722,171.54,43.6449,42.2148,217.574
22.9555,2.54038,5,23.4884,20.2502,51.5077,37.2419,0.286315,62.0851,35.0086,1.30305,91.8264,30.0872,1.09845,97.726,41.6032,0.836314,126.103,45.7189,1.35449,168.807,42.3725,1.06016,177.922
16.068,4.26565,24.3409,24.7289,27.7843,46.9067,18.9184,46.7663,53.0812,26.9255,13.5639,75.0617,34.6879,0.531353,108.886,39.7809,0.229592,125.111,43.5796,17.2766,158.772,47.6242,14.4386,276.235
17.8304,19.8187,5,22.2128,44.0219,42.8612,26.3359,0.323212,64.8714,24.9407,5.08926,75.0265,27.2189,0.934544,116.335,36.9223,0.28303,123.984,40.3607,3.13594,157.623,42.3887,4.02428,195.408
22.7438,2.09573,13.16,19.8168,0.730102,48.7309,29.1001,32.6516,70.2863,27.4666,22.1532,76.1536,41.4837,0.328809,114.339,38.379,1.66562,143.079,43.2963,2.10958,175.621,44.333,3.36506,188
18.8631,0.368775,5.50411,16.5515,10.4948,48.3353,25.2843,0.874653,65.0742,33.5208,0.815896,86.7372,46.2032,0.186558,106.719,34.0284,2.45601,118.439,43.5964,2.50562,164.962,42.8464,60.1656,198.841
24.4446,0.102604,14.4844,19.0032,6.922,42.9423,26.3664,76.9516,73.4994,31.7699,0.370803,80.1897,32.6843,29.4597,99.5472,36.5115,1.845,141.655,40.4109,3.64653,166.911,40.5799,26.6469,219.274
21.2809,1.37754,22.5602,18.5268,25.4918,35.1338,39.8462,0.497134,71.2692,31.5596,1.22583,94.7907,33.6845,0.587372,107.007,34.2168,14.9329,142.668,31.2783,42.0162,151.517,47.2721,20.8458,240.269
18.7097,76.992,26.7215,22.7952,1.60457,42.5599,26.5867,10.4379,69.4656,33.8039,0.457843,80.9452,41.1545,0.959565,108.292,44.6303,0.188628,134.852,32.3112,12.0057,156.866,45.2133,3.76213,197.37
24.5613,0.129776,28.4352,17.7245,2.8658,48.0844,16.7776,72.9214,55.8891,28.2154,1.73748,81.8631,32.1845,74.9694,96.3351,43.4698,1.27996,142.704,47.9234,0.413712,147.275,37.0811,28.6018,178.055
17.2034,18.0366,20.2749,17.8513,0.993761,30.7178,16.9887,12.1663,60.6602,32.3433,0.508893,87.2196,39.9308,7.89675,116.041,42.5452,0.923951,136.683,43.5776,1.45038,164.705,47.2927,77.1844,291.623
22.865,0.135979,22.1788,16.9933,2.46321,29.9772,22.2231,6.91605,72.4101,37.839,0.97772,84.6589,38.6966,1.20564,116.776,34.3561,31.8795,138.189,41.9523,1.16668,168.431,40.7409,74.475,241.607
20.5443,5.96188,5,22.8763,0.204758,33.3345,21.9103,2.61949,60.9721,32.1147,0.302265,81.277,38.4852,1.72433,104.721,46.0659,0.348693,126.194,34.3349,55.8296,164.65,39.9888,1.63781,178.498
24.8675,0.144756,9.66378,30.2363,2.39041,44.888,32.1247,0.765802,52.0198,31.5904,0.283109,75.0498,28.8019,37.6926,108.854,31.1994,2.48685,119.481,34.212,10.9645,154.819,42.4902,12.7591,178.651
20.5293,0.117282,17.2775,24.6437,32.593,44.6394,31.9685,0.115705,70.5885,33.8745,2.32585,82.0419,34.1359,8.93371,108.205,40.1202,0.168531,120.142,41.2696,3.19103,175.684,42.9648,19.0224,176.475
17.365,6.07182,5,29.6593,3.80941,41.3601,19.9517,12.5057,57.0593,30.6356,9.09576,94.2401,35.8774,0.109543,99.1211,41.0374,0.171913,137.065,45.4166,0.345194,154.907,46.0584,1.42786,186.86
16.2506,0.585353,7.5851,23.7529,0.684264,39.4631,24.7574,15.023,64.4304,33.2064,7.48723,89.9924,30.6644,0.265373,98.6701,41.3719,2.03096,135.054,38.5979,7.02817,153.618,45.8099,0.155514,205.722
21.0043,0.300829,6.83932,18.0197,0.895111,48.2573,27.3392,8.01772,69.0593,29.1987,3.69242,92.6456,44.0546,0.143829,105.192,37.1458,2.98501,123.9,43.6727,7.70759,163,46.5711,74.9482,268.171
19.4933,1.69703,5,25.7451,0.461838,50.5486,29.0189,0.353519,66.5763,25.7093,14.4609,77.1238,25.4372,58.7121,95.5981,36.1297,28.505,140.479,39.0179,2.80616,152.899,47.3105,1.54283,192.629
16.7098,3.48295,5,20.6628,45.9162,39.3077,28.09,0.268248,68.5675,34.6841,0.242467,84.8493,45.6412,0.100233,114.764,42.8709,0.223643,131.018,35.8413,42.867,164.038,45.2256,28.7089,203.967
18.7661,0.106617,18.3448,23.2733,0.128059,31.4678,25.3363,0.268277,53.9234,29.4997,58.8169,94.0989,41.5949,0.222803,96.1798,47.4491,0.176293,136.041,46.3974,0.453763,166.764,45.5532,1.19524,190.173
20.7371,29.6618,17.9765,23.0701,0.668494,36.8161,24.1354,0.425045,63.3495,31.2661,0.528507,92.6989,32.5254,0.310359,105.404,29.5437,30.3104,129.751,44.5036,1.03441,175.588,43.8184,9.61043,191.838
20.2839,2.35194,22.9596,22.1414,0.247651,46.9014,25.2853,7.92578,55.2569,38.6808,0.170997,80.3049,35.2246,0.297263,96.7778,39.124,0.334183,130.812,39.4954,18.2177,150.525,42.032,11.6468,211.745
17.345,32.9987,25.5006,25.4561,1.52826,30.3231,23.2555,3.08757,57.9019,26.6678,0.841752,74.0702,43.8163,0.418108,116.887,36.9209,14.0011,125.124,32.7853,61.8515,169.592,41.7413,21.53,199.575
19.4505,3.50144,5,22.6686,56.0454,35.9071,32.9858,1.06813,59.9473,24.6274,0.381991,74.6714,34.5989,32.1936,114.759,39.2036,0.13592,125.26,45.2238,0.637179,165.122,40.5989,28.6494,221.491
18.7912,0.325614,5,26.9063,1.48372,40.8561,24.7485,51.6437,54.904,34.1452,3.36128,93.157,41.717,0.392969,112.699,36.0751,36.3544,139.024,39.5224,48.9626,170.67,45.7306,1.48567,210.074
17.6144,0.268315,5,21.1215,3.47256,48.3497,16.4362,59.5704,57.4478,35.0372,1.03962,80.6754,27.4707,3.21833,96.2161,44.5262,0.324535,137.85,33.8982,17.3374,167.697,46.4951,16.7466,195.668
17.4285,0.540902,5,31.556,1.33161,39.9218,31.2059,0.468403,59.9062,36.2169,0.283356,91.5255,35.627,0.647887,106.231,43.7603,1.76322,126.119,46.6068,1.30461,158.514,46.9333,10.3347,218.599
23.8819,0.429759,11.3598,27.025,0.536451,38.2751,36.9933,30.6126,73.0986,32.0464,5.22048,77.1098,35.6233,2.13226,116.586,40.2885,0.392729,120.856,37.8987,36.2405,146.503,47.872,1.32382,196.471
17.3047,58.5027,5.49914,23.2741,9.4275,34.2949,27.6154,0.140009,63.2406,37.6255,0.146832,81.8841,32.5416,0.472151,102.738,43.2929,0.985331,139.329,45.5566,3.24957,166.731,43.3434,67.4822,186.643
21.1624,1.23054,16.8606,24.525,0.254677,36.9048,22.7205,16.3534,52.2438,40.0392,0.218063,87.8259,29.0393,11.2034,96.283,42.6861,0.407297,121.813,45.0347,0.737168,147.737,43.8648,66.1754,254.27
17.7499,59.1612,5,33.048,0.508724,46.9866,34.0119,0.470456,65.4565,26.6046,31.7941,88.6425,38.1241,1.89019,115.907,31.8435,75.4515,133.282,42.7619,3.93966,165.435,44.4761,15.5205,187.274
16.8406,2.05614,17.9905,29.428,0.118883,30.4908,26.7246,0.653007,68.3986,25.3762,47.2889,77.2485,30.1374,35.3963,114.288,34.0526,16.0484,120.513,46.4532,0.612845,157.516,43.6785,43.742,256.762
16.1611,0.991314,24.1247,31.3941,0.133502,49.1539,26.2231,0.116227,59.3051,35.0484,1.09996,87.233,32.6994,5.58712,113.853,33.8138,18.4587,123.506,42.5294,0.799077,174.689,46.6542,54.6825,273.407
19.4128,6.80048,15.0146,26.3254,0.239943,29.5383,30.3203,0.308934,65.5667,34.2809,2.31859,90.631,31.0881,6.06458,97.7633,33.2779,1.67112,144.081,33.1912,53.9982,154.143,40.7953,42.8728,205.845
20.9258,3.5659,20.1377,25.729,0.102735,33.2882,34.7463,0.359394,63.6174,25.3113,1.56072,82.5285,38.7843,3.69681,108.762,40.503,3.07864,142.179,40.0633,11.4415,169.889,41.3958,7.69368,177.555
22.4437,0.281909,23.5135,22.1571,27.4704,44.6238,27.9724,1.23141,60.807,31.5365,0.720623,90.6354,31.7053,4.45627,102.357,34.5186,13.9585,128.104,37.1855,4.012,153.982,46.0345,1.9834,206.991
17.7183,0.154748,5,20.2184,1.11414,37.2593,25.7488,8.74093,73.5871,23.1505,2.64518,91.4327,37.3644,1.25903,109.09,34.1914,7.58332,120.594,43.0694,1.6416,165.665,44.6763,13.8617,221.205
22.1014,41.284,14.3872,18.2234,9.67857,36.6466,20.3272,0.225619,58.3274,28.3068,0.294672,87.3793,33.6832,0.190718,95.3374,39.7885,6.65169,131.382,44.8249,0.497432,158.959,38.3346,23.4914,181.728
19.2096,53.9182,5,22.5824,3.80103,32.8535,24.949,0.222305,64.4537,33.4129,1.38466,94.9623,31.7639,3.12131,97.9829,41.4587,1.18646,129.873,47.2265,0.893793,169.115,46.1169,29.1578,223.284
16.0807,31.478,5,27.8475,0.105898,48.9936,26.6939,2.09511,60.9711,33.7528,1.05631,88.9503,33.4381,0.551879,103.075,35.0843,55.6797,127.775,47.4831,0.126537,152.658,44.5742,3.6509,211.696
20.1084,13.8313,13.2055,19.7107,26.4146,45.3912,26.7969,0.473642,60.5111,27.3896,57.1637,86.1039,36.63,3.92115,107.664,38.121,15.6768,139.447,39.7553,10.4309,156.231,44.7057,8.66535,205.757
19.1693,0.146219,14.033,18.9867,0.349608,31.0436,19.8917,6.38706,51.6235,34.8771,2.85014,92.0906,32.0206,61.4392,116.008,39.7736,0.801584,143.542,47.8507,0.113268,154.648,41.81,40.7578,219.596
23.8377,0.125421,12.6363,24.6427,42.787,47.4392,21.1822,0.955024,62.026,26.6612,9.58042,85.8718,40.4775,0.248748,107.624,44.2222,0.411465,137.818,40.1235,13.6525,172.458,45.0636,25.2021,201.402
16.3396,12.5211,5,20.7903,6.01826,44.1879,32.1118,0.152434,71.9098,30.3458,0.573807,83.7833,28.8814,0.372175,103.67,39.9567,0.622619,132.865,38.0962,0.559173,175.635,39.3645,2.0901,184.289
17.7716,4.69421,26.7112,18.9928,70.2532,35.807,17.6628,1.5835,54.5405,43.5795,0.464432,80.6236,40.3208,0.147979,110.443,37.8554,21.6225,124.139,46.7036,0.866958,166.196,46.2756,3.11929,211.934
18.6946,10.6416,5,29.894,0.49085,32.8212,20.4649,17.9724,60.9074,30.2252,2.43238,94.0993,36.6463,8.49392,108.531,35.9072,19.4058,135.409,45.4172,0.498328,163.237,42.0431,1.45996,189.839
17.1792,0.436372,15.7274,16.7331,4.35323,29.2446,26.1903,0.360089,55.7859,33.8639,2.32808,90.4702,39.3891,0.193282,95.0517,38.4635,0.855361,124.018,42.9274,8.73146,155.67,45.0606,39.7378,218.138
25.4156,0.389893,7.46791,21.0383,48.4387,48.4217,28.2264,0.437541,55.8002,25.2291,17.7886,88.0342,35.2292,0.173222,115.917,36.7212,64.4776,143.873,34.3649,51.4263,150.404,46.257,14.4213,198.02
17.4645,0.744713,7.97886,16.3298,42.6774,42.2606,29.4891,0.221724,65.7483,35.7564,1.43469,84.6224,43.724,0.176874,113.008,36.1942,3.11749,133.59,37.0628,4.83909,166.584,45.205,51.2893,223.127
26.6727,0.109868,26.4778,17.9178,17.9348,35.5229,20.6669,0.360626,52.2659,37.5406,0.428624,88.9047,32.9348,14.6331,116.684,37.491,9.14301,127.158,46.1939,3.75201,157.506,46.4098,33.3554,208.065
23.3845,21.5432,17.1419,25.5004,1.77752,36.6255,26.6344,8.71984,56.4586,25.7189,16.2841,78.5979,27.9279,2.27614,97.4811,34.9125,66.2161,130.321,38.2105,27.1582,152.718,47.8822,29.9794,223.482
17.4465,2.20394,5,16.9883,2.62023,41.423,25.8853,2.06673,60.4437,28.5441,37.9985,76.155,38.2082,0.207967,113.445,38.608,4.39032,128.686,39.0936,2.10306,164.268,42.5748,25.4253,212.004
20.8926,1.90768,22.4781,20.0996,1.38005,46.8236,17.8236,0.347587,51.6244,31.1442,0.429409,79.6141,33.7476,37.1154,114.982,35.5601,31.2085,135.67,45.9709,0.251133,158.056,35.6508,53.6301,181.276
21.2406,17.9489,15.9827,18.2568,53.0186,47.2821,28.4832,0.153739,60.074,29.1056,1.95845,74.339,27.6827,6.17073,98.0692,35.5428,23.6694,135.401,46.508,0.128879,167.083,46.2752,6.74945,191.676
22.9644,2.01911,24.4344,19.1638,13.9317,31.0871,26.0666,14.9948,56.8418,37.8052,0.133998,91.6444,32.0503,18.3144,111.06,33.5691,60.2562,137.892,43.4133,0.514054,154.835,46.6301,35.3614,241.502
16.1915,3.38534,17.9494,24.4453,4.42115,29.3384,31.6867,0.154292,64.6114,30.4627,9.3084,86.1513,32.4698,14.8721,115.9,35.4628,37.893,124.116,43.717,0.376359,158.504,47.2038,0.882427,199.626
16.832,12.771,27.9734,19.0213,3.27391,47.984,17.9691,14.6309,73.0728,39.9137,0.121264,81.2676,40.7461,0.184812,105.609,36.6832,8.61874,142.911,40.7928,10.1598,173.078,43.8045,9.32154,189.157
16.876,29.7132,5,21.0691,3.59038,40.8086,27.4846,39.9881,64.6123,30.2061,1.69382,76.31,34.1606,0.750057,97.6464,45.1108,0.394562,128.973,39.6274,39.2663,168.762,44.553,11.4055,231.46
20.9084,0.204665,22.2989,19.9399,4.15191,50.4295,34.1278,7.0138,63.4799,33.9233,0.110783,77.1872,19.3282,2.80988,97.6689,39.4156,0.71443,122.153,41.7862,0.875246,148.013,44.349,35.9155,224.78
18.1747,19.6515,23.0157,28.3971,0.303275,50.4505,24.9486,0.239476,54.666,34.3885,0.102319,94.9225,37.9345,0.28049,107.074,39.666,0.293669,119.407,42.3048,2.99654,155.272,38.5132,73.3241,189.09
20.787,1.41501,20.3775,21.9097,2.67872,46.3356,23.6224,17.6079,62.4897,26.8133,27.3641,81.5131,30.9728,70.0308,114.548,38.0453,1.71348,120.515,42.9506,0.316199,158.573,45.2049,55.1162,197.701
16.6642,0.253905,14.4593,24.3438,2.42595,42.9037,22.2749,29.7724,56.7359,29.532,65.0055,87.209,28.5078,68.7966,113.192,39.2838,0.314421,126.739,33.6662,16.1753,150.048,40.4414,45.7264,218.684
19.5151,16.0255,27.3635,23.2866,0.603546,39.3912,29.712,10.4525,70.4,38.4905,0.62745,76.0314,33.5903,22.3955,102.662,34.1668,6.61546,126.974,32.5442,39.5159,159.561,39.189,40.0527,200.154
21.8642,0.256211,24.5748,19.4316,5.23581,32.791,21.621,4.22838,53.9907,31.894,2.19192,83.932,41.102,0.24676,116.703,39.4219,2.38036,130.929,40.8753,39.9279,161.514,47.1574,3.13691,219.889
16.3204,6.8203,5,21.7416,3.77141,47.2642,23.2996,4.92816,63.7636,30.2077,0.410451,76.5818,28.4165,68.368,111.374,37.5848,1.30656,131.792,39.2013,15.8765,158.477,38.3938,16.2792,176.719
19.4985,2.12191,17.4563,25.023,0.235382,49.7757,21.2937,42.2505,57.765,26.5022,47.3342,83.7935,29.1629,25.3106,97.8318,41.1734,3.77511,141.95,42.7336,3.32512,172.228,46.8626,36.2388,259.024
16.1979,1.05566,11.8599,29.2986,7.11922,51.4765,27.0655,0.355975,53.7812,23.2654,11.74,93.0411,34.0816,3.75962,115.943,35.5266,12.5772,139.923,42.3241,31.2261,160.321,36.7544,49.253,179.826
19.4346,0.141943,16.1965,21.2128,1.48216,36.064,34.2371,0.582387,57.2576,33.8706,0.202558,78.6877,27.7492,10.8204,112.854,35.3041,0.299801,131.079,38.714,36.7497,150.118,43.466,1.26347,177.02
18.2501,0.249847,27.0682,23.0198,0.179331,39.8609,28.9715,0.105038,63.2973,31.8684,0.167648,94.7853,40.2848,0.118702,109.244,35.6984,3.52231,133.452,44.7019,5.66257,150.821,42.5319,12.7446,176.66
19.1635,0.637455,15.1323,21.8371,1.31658,50.3742,30.2767,0.39425,67.6852,30.9366,0.370152,94.7535,35.9229,6.04119,105.234,41.4146,1.8184,143.648,44.4751,0.222464,149.688,40.1632,57.3951,202.174
20.0418,8.49556,12.1927,18.5184,3.78363,35.561,32.1037,7.33665,72.2127,26.074,18.0281,74.5418,39.3901,2.86154,112.138,32.2757,6.53168,121.71,45.0663,2.62183,160.705,44.3206,19.9937,194.159
21.2757,61.2601,19.0289,28.6616,0.219719,42.5131,30.1358,0.596462,62.803,32.7807,0.382715,92.9378,33.4469,1.93242,106.119,46.0795,0.511028,139.078,39.8723,4.31842,153.943,46.6994,14.1817,188.169
22.0811,0.46653,18.2925,23.6736,10.1315,47.4437,22.6983,3.68792,53.7914,36.5061,0.566384,92.6924,39.6489,0.238167,99.6706,44.3565,0.395158,134.755,38.186,1.41049,162.455,41.5744,1.72762,177.986
18.4779,0.469453,27.8118,18.4565,9.3846,29.4024,33.4718,0.196458,63.4599,29.3973,38.8979,74.3981,38.035,2.19076,114.59,41.3932,0.400697,126.149,44.0124,0.117873,145.681,37.4644,16.5494,184.159
18.4201,4.35328,5,27.436,0.102909,51.0105,21.5659,2.95315,53.3712,28.1897,0.714788,82.0455,36.8747,1.16343,110.323,41.6982,0.510693,121.88,34.8043,35.4818,159.055,44.6448,67.9216,240.923
21.1005,25.1612,24.1545,19.5134,0.254166,37.7251,28.2657,0.23102,71.5936,28.1718,49.5166,85.2129,35.6167,3.58834,98.6155,38.1217,0.218103,118.227,43.8072,20.6245,171.369,42.6014,26.2378,201.574
22.3254,0.331,23.9641,22.6703,14.9631,46.8609,21.2111,0.207415,66.7199,27.3789,55.2942,76.7653,39.4271,0.18451,116.15,34.9292,46.2698,136.397,32.7137,7.78802,154.797,42.5796,1.14473,181.906
