Temperature,HardSeg,LogEta
102,21,3.65955
102,22,3.69869
102,23,3.7277
102,24,3.74807
102,25,3.76224
102,26,3.77339
102,27,3.7852
102,28,3.80149
102,29,3.826
102,30,3.86221
102,31,3.91311
102,32,3.98114
102,33,4.06782
102,34,4.17318
102,35,4.29493
102,36,4.42789
102,37,4.56408
102,38,4.69413
102,39,4.80959
102,40,4.90529
102,41,4.98056
102,42,5.0386
102,43,5.08475
102,44,5.12438
102,45,5.16177
102,46,5.1999
102,47,5.24105
102,48,5.28737
103.5,16,3.3005
103.5,17,3.37262
103.5,18,3.44303
103.5,19,3.50853
103.5,20,3.56655
103.5,21,3.61537
103.5,22,3.65428
103.5,23,3.68365
103.5,24,3.70489
103.5,25,3.72031
103.5,26,3.73296
103.5,27,3.74632
103.5,28,3.76406
103.5,29,3.78978
103.5,30,3.82683
103.5,31,3.87822
103.5,32,3.94646
103.5,33,4.03321
103.5,34,4.13867
103.5,35,4.26066
103.5,36,4.39391
103.5,37,4.53018
103.5,38,4.65972
103.5,39,4.77379
103.5,40,4.86717
103.5,41,4.93948
103.5,42,4.99445
103.5,43,5.03799
103.5,44,5.07589
103.5,45,5.11257
103.5,46,5.15091
103.5,47,5.19292
103.5,48,5.24042
105,16,3.265
105,17,3.33483
105,18,3.40311
105,19,3.46682
105,20,3.5235
105,21,3.57151
105,22,3.61019
105,23,3.63987
105,24,3.66191
105,25,3.67851
105,26,3.69255
105,27,3.70737
105,28,3.72646
105,29,3.75325
105,30,3.791
105,31,3.84264
105,32,3.91066
105,33,3.9968
105,34,4.10134
105,35,4.2222
105,36,4.35416
105,37,4.489
105,38,4.61695
105,39,4.72924
105,40,4.82077
105,41,4.89128
105,42,4.94478
105,43,4.98736
105,44,5.02496
105,45,5.06197
105,46,5.10118
105,47,5.14438
105,48,5.19319
106.5,16,3.2295
106.5,17,3.29713
106.5,18,3.36337
106.5,19,3.42535
106.5,20,3.48073
106.5,21,3.52795
106.5,22,3.56639
106.5,23,3.59635
106.5,24,3.61913
106.5,25,3.63682
106.5,26,3.65218
106.5,27,3.66835
106.5,28,3.68868
106.5,29,3.71643
106.5,30,3.75472
106.5,31,3.80634
106.5,32,3.8737
106.5,33,3.95847
106.5,34,4.06095
106.5,35,4.17916
106.5,36,4.30809
106.5,37,4.43983
106.5,38,4.56495
106.5,39,4.67505
106.5,40,4.7652
106.5,41,4.83522
106.5,42,4.88899
106.5,43,4.93244
106.5,44,4.9713
106.5,45,5.00981
106.5,46,5.05061
106.5,47,5.0954
106.5,48,5.14567
108,16,3.194
108,17,3.25951
108,18,3.32379
108,19,3.3841
108,20,3.43823
108,21,3.48468
108,22,3.52286
108,23,3.55308
108,24,3.57654
108,25,3.59525
108,26,3.61182
108,27,3.62927
108,28,3.65074
108,29,3.67934
108,30,3.71801
108,31,3.76937
108,32,3.83564
108,33,3.91836
108,34,4.01776
108,35,4.13194
108,36,4.25626
108,37,4.38337
108,38,4.50458
108,39,4.61209
108,40,4.70132
108,41,4.77201
108,42,4.82766
108,43,4.87363
108,44,4.91517
108,45,4.95622
108,46,4.99928
108,47,5.046
108,48,5.09788
109.5,16,3.1585
109.5,17,3.22198
109.5,18,3.28437
109.5,19,3.34308
109.5,20,3.39599
109.5,21,3.44169
109.5,22,3.4796
109.5,23,3.51003
109.5,24,3.53412
109.5,25,3.55378
109.5,26,3.5715
109.5,27,3.59012
109.5,28,3.61264
109.5,29,3.642
109.5,30,3.68093
109.5,31,3.73185
109.5,32,3.79674
109.5,33,3.87691
109.5,34,3.97247
109.5,35,4.08164
109.5,36,4.2002
109.5,37,4.3216
109.5,38,4.43811
109.5,39,4.54277
109.5,40,4.63142
109.5,41,4.70365
109.5,42,4.76232
109.5,43,4.81202
109.5,44,4.85729
109.5,45,4.90164
109.5,46,4.94742
109.5,47,4.99631
109.5,48,5.04988
111,16,3.123
111,17,3.18452
111,18,3.2451
111,19,3.30226
111,20,3.35399
111,21,3.39896
111,22,3.4366
111,23,3.46721
111,24,3.49188
111,25,3.51242
111,26,3.5312
111,27,3.55091
111,28,3.57441
111,29,3.60445
111,30,3.64356
111,31,3.69393
111,32,3.75729
111,33,3.83467
111,34,3.92604
111,35,4.02973
111,36,4.14199
111,37,4.25716
111,38,4.3686
111,39,4.47032
111,40,4.55858
111,41,4.6328
111,42,4.6951
111,43,4.74913
111,44,4.79863
111,45,4.84662
111,46,4.89532
111,47,4.94646
111,48,5.00173
112.5,16,3.0875
112.5,17,3.14714
112.5,18,3.20597
112.5,19,3.26164
112.5,20,3.31223
112.5,21,3.35647
112.5,22,3.39383
112.5,23,3.42459
112.5,24,3.44979
112.5,25,3.47115
112.5,26,3.49092
112.5,27,3.51166
112.5,28,3.53606
112.5,29,3.56671
112.5,30,3.60596
112.5,31,3.65576
112.5,32,3.71758
112.5,33,3.7922
112.5,34,3.87942
112.5,35,3.97767
112.5,36,4.08369
112.5,37,4.1927
112.5,38,4.29914
112.5,39,4.39796
112.5,40,4.48589
112.5,41,4.56213
112.5,42,4.62808
112.5,43,4.68643
112.5,44,4.74013
112.5,45,4.79173
112.5,46,4.84329
112.5,47,4.89661
112.5,48,4.95351
114,16,3.052
114,17,3.10983
114,18,3.16698
114,19,3.2212
114,20,3.27069
114,21,3.31422
114,22,3.3513
114,23,3.38218
114,24,3.40786
114,25,3.42998
114,26,3.45067
114,27,3.47236
114,28,3.4976
114,29,3.52883
114,30,3.5682
114,31,3.61747
114,32,3.67786
114,33,3.74993
114,34,3.83334
114,35,3.92661
114,36,4.02692
114,37,4.13029
114,38,4.23213
114,39,4.32824
114,40,4.41578
114,41,4.49376
114,42,4.56292
114,43,4.62512
114,44,4.68257
114,45,4.73741
114,46,4.79156
114,47,4.84687
114,48,4.90526
115.5,16,3.0165
115.5,17,3.07259
115.5,18,3.12811
115.5,19,3.18094
115.5,20,3.22936
115.5,21,3.27219
115.5,22,3.30898
115.5,23,3.33996
115.5,24,3.36608
115.5,25,3.3889
115.5,26,3.41043
115.5,27,3.43301
115.5,28,3.45904
115.5,29,3.4908
115.5,30,3.5303
115.5,31,3.57912
115.5,32,3.63827
115.5,33,3.70813
115.5,34,3.78825
115.5,35,3.87723
115.5,36,3.97264
115.5,37,4.07114
115.5,38,4.16897
115.5,39,4.26264
115.5,40,4.34965
115.5,41,4.42889
115.5,42,4.50057
115.5,43,4.56585
115.5,44,4.62638
115.5,45,4.68392
115.5,46,4.74027
115.5,47,4.79731
115.5,48,4.85702
117,16,2.981
117,17,3.03541
117,18,3.08937
117,19,3.14086
117,20,3.18823
117,21,3.23038
117,22,3.26687
117,23,3.29792
117,24,3.32443
117,25,3.34789
117,26,3.37023
117,27,3.39363
117,28,3.42039
117,29,3.45266
117,30,3.4923
117,31,3.54075
117,32,3.59886
117,33,3.66688
117,34,3.74427
117,35,3.82973
117,36,3.92111
117,37,4.0156
117,38,4.11006
117,39,4.20157
117,40,4.28791
117,41,4.36787
117,42,4.44129
117,43,4.50883
117,44,4.57168
117,45,4.63132
117,46,4.68945
117,47,4.74794
117,48,4.8088
118.5,16,2.9455
118.5,17,2.99829
118.5,18,3.05074
118.5,19,3.10093
118.5,20,3.14729
118.5,21,3.18877
118.5,22,3.22495
118.5,23,3.25605
118.5,24,3.28292
118.5,25,3.30697
118.5,26,3.33004
118.5,27,3.35421
118.5,28,3.38165
118.5,29,3.41439
118.5,30,3.45419
118.5,31,3.50234
118.5,32,3.55961
118.5,33,3.62612
118.5,34,3.70132
118.5,35,3.78395
118.5,36,3.87211
118.5,37,3.96337
118.5,38,4.05506
118.5,39,4.14466
118.5,40,4.23018
118.5,41,4.31038
118.5,42,4.38484
118.5,43,4.45388
118.5,44,4.51835
118.5,45,4.57955
118.5,46,4.63907
118.5,47,4.69876
118.5,48,4.7606
120,16,2.91
120,17,2.96123
120,18,3.01223
120,19,3.06115
120,20,3.10653
120,21,3.14735
120,22,3.18322
120,23,3.21435
120,24,3.24153
120,25,3.26613
120,26,3.28987
120,27,3.31475
120,28,3.34282
120,29,3.37601
120,30,3.41596
120,31,3.46389
120,32,3.52046
120,33,3.58573
120,34,3.65915
120,35,3.73953
120,36,3.82512
120,37,3.91378
120,38,4.00318
120,39,4.0911
120,40,4.1757
120,41,4.25575
120,42,4.33069
120,43,4.4006
120,44,4.46615
120,45,4.52846
120,46,4.58905
120,47,4.64971
120,48,4.7124
121.5,16,2.8745
121.5,17,2.92422
121.5,18,2.97381
121.5,19,3.02153
121.5,20,3.06594
121.5,21,3.10612
121.5,22,3.14167
121.5,23,3.1728
121.5,24,3.20027
121.5,25,3.22535
121.5,26,3.24972
121.5,27,3.27525
121.5,28,3.30391
121.5,29,3.33751
121.5,30,3.37761
121.5,31,3.42535
121.5,32,3.48132
121.5,33,3.54557
121.5,34,3.61753
121.5,35,3.69606
121.5,36,3.77957
121.5,37,3.86611
121.5,38,3.95359
121.5,39,4.03998
121.5,40,4.1236
121.5,41,4.20323
121.5,42,4.27823
121.5,43,4.34857
121.5,44,4.41478
121.5,45,4.47788
121.5,46,4.5393
121.5,47,4.60078
121.5,48,4.6642
123,16,2.839
123,17,2.88727
123,18,2.9355
123,19,2.98204
123,20,3.02552
123,21,3.06506
123,22,3.10029
123,23,3.1314
123,24,3.15911
123,25,3.18465
123,26,3.20959
123,27,3.23572
123,28,3.26491
123,29,3.29889
123,30,3.33913
123,31,3.3867
123,32,3.44215
123,33,3.50551
123,34,3.57621
123,35,3.65319
123,36,3.73496
123,37,3.8197
123,38,3.90549
123,39,3.99049
123,40,4.07309
123,41,4.15212
123,42,4.22693
123,43,4.29741
123,44,4.364
123,45,4.42766
123,46,4.48974
123,47,4.5519
123,48,4.61596
124.5,16,2.8035
124.5,17,2.85037
124.5,18,2.89729
124.5,19,2.94268
124.5,20,2.98526
124.5,21,3.02417
124.5,22,3.05907
124.5,23,3.09014
124.5,24,3.11807
124.5,25,3.14401
124.5,26,3.16947
124.5,27,3.19616
124.5,28,3.22584
124.5,29,3.26016
124.5,30,3.30052
124.5,31,3.34792
124.5,32,3.4029
124.5,33,3.46545
124.5,34,3.53504
124.5,35,3.61066
124.5,36,3.69088
124.5,37,3.77404
124.5,38,3.85832
124.5,39,3.94201
124.5,40,4.02359
124.5,41,4.10193
124.5,42,4.17639
124.5,43,4.24682
124.5,44,4.31363
124.5,45,4.3777
124.5,46,4.44032
124.5,47,4.50307
124.5,48,4.5677
126,16,2.768
126,17,2.81351
126,18,2.85916
126,19,2.90344
126,20,2.94514
126,21,2.98344
126,22,3.01801
126,23,3.04901
126,24,3.07712
126,25,3.10343
126,26,3.12937
126,27,3.15657
126,28,3.18669
126,29,3.22132
126,30,3.26178
126,31,3.30901
126,32,3.36353
126,33,3.42533
126,34,3.4939
126,35,3.56826
126,36,3.6471
126,37,3.7288
126,38,3.81169
126,39,3.89413
126,40,3.9747
126,41,4.05231
126,42,4.12633
126,43,4.19662
126,44,4.26354
126,45,4.32792
126,46,4.39099
126,47,4.45426
126,48,4.51939
127.5,16,2.7325
127.5,17,2.7767
127.5,18,2.82112
127.5,19,2.86433
127.5,20,2.90517
127.5,21,2.94286
127.5,22,2.97708
127.5,23,3.00801
127.5,24,3.03628
127.5,25,3.06292
127.5,26,3.08929
127.5,27,3.11694
127.5,28,3.14747
127.5,29,3.18237
127.5,30,3.2229
127.5,31,3.26997
127.5,32,3.32404
127.5,33,3.38512
127.5,34,3.45272
127.5,35,3.52592
127.5,36,3.60344
127.5,37,3.68379
127.5,38,3.76536
127.5,39,3.84661
127.5,40,3.92618
127.5,41,4.00304
127.5,42,4.07659
127.5,43,4.14667
127.5,44,4.21364
127.5,45,4.27826
127.5,46,4.34172
127.5,47,4.40546
127.5,48,4.47105
129,16,2.697
129,17,2.73994
129,18,2.78317
129,19,2.82533
129,20,2.86532
129,21,2.90242
129,22,2.9363
129,23,2.96714
129,24,2.99552
129,25,3.02245
129,26,3.04922
129,27,3.07729
129,28,3.10818
129,29,3.14332
129,30,3.1839
129,31,3.23078
129,32,3.28442
129,33,3.3448
129,34,3.41147
129,35,3.48355
129,36,3.55984
129,37,3.6389
129,38,3.71921
129,39,3.7993
129,40,3.8779
129,41,3.95402
129,42,4.02707
129,43,4.09692
129,44,4.16388
129,45,4.22871
129,46,4.29251
129,47,4.35666
129,48,4.42266
130.5,16,2.6615
130.5,17,2.70321
130.5,18,2.74529
130.5,19,2.78644
130.5,20,2.82561
130.5,21,2.86211
130.5,22,2.89565
130.5,23,2.92638
130.5,24,2.95486
130.5,25,2.98205
130.5,26,3.00916
130.5,27,3.0376
130.5,28,3.06882
130.5,29,3.10416
130.5,30,3.14477
130.5,31,3.19146
130.5,32,3.24467
130.5,33,3.30437
130.5,34,3.37015
130.5,35,3.44115
130.5,36,3.51624
130.5,37,3.59406
130.5,38,3.67316
130.5,39,3.75214
130.5,40,3.82979
130.5,41,3.90517
130.5,42,3.97772
130.5,43,4.04732
130.5,44,4.11425
130.5,45,4.17925
130.5,46,4.24335
130.5,47,4.30787
130.5,48,4.37423
132,16,2.626
132,17,2.66652
132,18,2.70748
132,19,2.74765
132,20,2.78602
132,21,2.82194
132,22,2.85513
132,23,2.88573
132,24,2.91428
132,25,2.94169
132,26,2.96912
132,27,2.9979
132,28,3.0294
132,29,3.06492
132,30,3.10553
132,31,3.15202
132,32,3.20479
132,33,3.26383
132,34,3.32873
132,35,3.3987
132,36,3.47263
132,37,3.54925
132,38,3.62718
132,39,3.70508
132,40,3.78181
132,41,3.85646
132,42,3.92852
132,43,3.99785
132,44,4.06473
132,45,4.12986
132,46,4.19422
132,47,4.25907
132,48,4.32576
133.5,16,2.5905
133.5,17,2.62987
133.5,18,2.66975
133.5,19,2.70895
133.5,20,2.74655
133.5,21,2.78189
133.5,22,2.81472
133.5,23,2.84518
133.5,24,2.87378
133.5,25,2.90138
133.5,26,2.92908
133.5,27,2.95816
133.5,28,2.98992
133.5,29,3.02558
133.5,30,3.06618
133.5,31,3.11245
133.5,32,3.16479
133.5,33,3.22318
133.5,34,3.28723
133.5,35,3.35618
133.5,36,3.42901
133.5,37,3.50446
133.5,38,3.58126
133.5,39,3.65812
133.5,40,3.73394
133.5,41,3.80788
133.5,42,3.87944
133.5,43,3.94849
133.5,44,4.01531
133.5,45,4.08054
133.5,46,4.14513
133.5,47,4.21027
133.5,48,4.27725
135,16,2.555
135,17,2.59326
135,18,2.63208
135,19,2.67035
135,20,2.70718
135,21,2.74196
135,22,2.77443
135,23,2.80473
135,24,2.83336
135,25,2.86111
135,26,2.88906
135,27,2.9184
135,28,2.95038
135,29,2.98616
135,30,3.02672
135,31,3.07277
135,32,3.12467
135,33,3.18242
135,34,3.24564
135,35,3.31362
135,36,3.38536
135,37,3.45969
135,38,3.53538
135,39,3.61123
135,40,3.68618
135,41,3.75942
135,42,3.83049
135,43,3.89925
135,44,3.96598
135,45,4.03129
135,46,4.09608
135,47,4.16148
135,48,4.22871
136.5,16,2.5195
136.5,17,2.55667
136.5,18,2.59448
136.5,19,2.63184
136.5,20,2.66792
136.5,21,2.70213
136.5,22,2.73425
136.5,23,2.76438
136.5,24,2.79301
136.5,25,2.82089
136.5,26,2.84905
136.5,27,2.87862
136.5,28,2.91079
136.5,29,2.94666
136.5,30,2.98717
136.5,31,3.03298
136.5,32,3.08445
136.5,33,3.14157
136.5,34,3.20398
136.5,35,3.271
136.5,36,3.34169
136.5,37,3.41493
136.5,38,3.48956
136.5,39,3.56442
136.5,40,3.63851
136.5,41,3.71107
136.5,42,3.78164
136.5,43,3.85012
136.5,44,3.91674
136.5,45,3.9821
136.5,46,4.04706
136.5,47,4.11268
136.5,48,4.18013
138,16,2.484
138,17,2.52012
138,18,2.55693
138,19,2.59342
138,20,2.62876
138,21,2.66242
138,22,2.69416
138,23,2.72412
138,24,2.75272
138,25,2.78072
138,26,2.80905
138,27,2.83882
138,28,2.87114
138,29,2.90708
138,30,2.94751
138,31,2.99308
138,32,3.04412
138,33,3.10062
138,34,3.16224
138,35,3.22833
138,36,3.298
138,37,3.37019
138,38,3.44378
138,39,3.51767
138,40,3.59093
138,41,3.66282
138,42,3.7329
138,43,3.80108
138,44,3.86759
138,45,3.93297
138,46,3.99807
138,47,4.06388
138,48,4.13152
139.5,16,2.4485
139.5,17,2.4836
139.5,18,2.51945
139.5,19,2.55507
139.5,20,2.58969
139.5,21,2.6228
139.5,22,2.65418
139.5,23,2.68394
139.5,24,2.71251
139.5,25,2.74058
139.5,26,2.76906
139.5,27,2.799
139.5,28,2.83145
139.5,29,2.86743
139.5,30,2.90777
139.5,31,2.95308
139.5,32,3.00369
139.5,33,3.05958
139.5,34,3.12042
139.5,35,3.18561
139.5,36,3.25429
139.5,37,3.32545
139.5,38,3.39803
139.5,39,3.471
139.5,40,3.54344
139.5,41,3.61467
139.5,42,3.68427
139.5,43,3.75214
139.5,44,3.81851
139.5,45,3.8839
139.5,46,3.9491
139.5,47,4.01508
139.5,48,4.08288
141,16,2.413
141,17,2.44711
141,18,2.48202
141,19,2.5168
141,20,2.55072
141,21,2.58328
141,22,2.61429
141,23,2.64385
141,24,2.67235
141,25,2.70048
141,26,2.72908
141,27,2.75915
141,28,2.79171
141,29,2.8277
141,30,2.86794
141,31,2.91299
141,32,2.96316
141,33,3.01845
141,34,3.07854
141,35,3.14284
141,36,3.21056
141,37,3.28073
141,38,3.35233
141,39,3.42438
141,40,3.49603
141,41,3.56661
141,42,3.63572
141,43,3.70329
141,44,3.76951
141,45,3.83489
141,46,3.90017
141,47,3.96627
141,48,4.03421
142.5,16,2.3775
142.5,17,2.41065
142.5,18,2.44464
142.5,19,2.4786
142.5,20,2.51183
142.5,21,2.54385
142.5,22,2.57449
142.5,23,2.60383
142.5,24,2.63226
142.5,25,2.66041
142.5,26,2.68911
142.5,27,2.71929
142.5,28,2.75192
142.5,29,2.78791
142.5,30,2.82803
142.5,31,2.87281
142.5,32,2.92255
142.5,33,2.97724
142.5,34,3.03659
142.5,35,3.10004
142.5,36,3.16681
142.5,37,3.23601
142.5,38,3.30666
142.5,39,3.37783
142.5,40,3.4487
142.5,41,3.51864
142.5,42,3.58727
142.5,43,3.65452
142.5,44,3.72057
142.5,45,3.78592
142.5,46,3.85126
142.5,47,3.91747
142.5,48,3.98551
144,16,2.342
144,17,2.37421
144,18,2.40731
144,19,2.44047
144,20,2.47302
144,21,2.50451
144,22,2.53477
144,23,2.56388
144,24,2.59222
144,25,2.62038
144,26,2.64915
144,27,2.67941
144,28,2.7121
144,29,2.74806
144,30,2.78804
144,31,2.83254
144,32,2.88185
144,33,2.93595
144,34,2.99457
144,35,3.05718
144,36,3.12305
144,37,3.19131
144,38,3.26103
144,39,3.33133
144,40,3.40144
144,41,3.47075
144,42,3.53891
144,43,3.60583
144,44,3.67171
144,45,3.737
144,46,3.80238
144,47,3.86867
144,48,3.93678
145.5,16,2.3065
145.5,17,2.3378
145.5,18,2.37003
145.5,19,2.4024
145.5,20,2.43428
145.5,21,2.46525
145.5,22,2.49513
145.5,23,2.52401
145.5,24,2.55224
145.5,25,2.58038
145.5,26,2.60919
145.5,27,2.63952
145.5,28,2.67223
145.5,29,2.70815
145.5,30,2.74797
145.5,31,2.79219
145.5,32,2.84106
145.5,33,2.89459
145.5,34,2.9525
145.5,35,3.01429
145.5,36,3.07927
145.5,37,3.14661
145.5,38,3.21543
145.5,39,3.28489
145.5,40,3.35425
145.5,41,3.42294
145.5,42,3.49063
145.5,43,3.55722
145.5,44,3.62291
145.5,45,3.68813
145.5,46,3.75352
145.5,47,3.81986
145.5,48,3.88803
147,16,2.271
147,17,2.30141
147,18,2.33279
147,19,2.3644
147,20,2.39563
147,21,2.42607
147,22,2.45557
147,23,2.4842
147,24,2.5123
147,25,2.54041
147,26,2.56924
147,27,2.5996
147,28,2.63232
147,29,2.66818
147,30,2.70784
147,31,2.75176
147,32,2.8002
147,33,2.85316
147,34,2.91037
147,35,2.97137
147,36,3.03548
147,37,3.10192
147,38,3.16986
147,39,3.2385
147,40,3.30713
147,41,3.37521
147,42,3.44242
147,43,3.50869
147,44,3.57418
147,45,3.63931
147,46,3.70468
147,47,3.77106
147,48,3.83926
148.5,16,2.2355
148.5,17,2.26504
148.5,18,2.2956
148.5,19,2.32646
148.5,20,2.35704
148.5,21,2.38697
148.5,22,2.41608
148.5,23,2.44446
148.5,24,2.47242
148.5,25,2.50047
148.5,26,2.5293
148.5,27,2.55968
148.5,28,2.59238
148.5,29,2.62815
148.5,30,2.66763
148.5,31,2.71126
148.5,32,2.75927
148.5,33,2.81166
148.5,34,2.86819
148.5,35,2.9284
148.5,36,2.99167
148.5,37,3.05724
148.5,38,3.12433
148.5,39,3.19216
148.5,40,3.26007
148.5,41,3.32756
148.5,42,3.3943
148.5,43,3.46022
148.5,44,3.5255
148.5,45,3.59052
148.5,46,3.65587
148.5,47,3.72225
148.5,48,3.79046
150,16,2.2
150,17,2.2287
150,18,2.25845
150,19,2.28857
150,20,2.31852
150,21,2.34793
150,22,2.37666
150,23,2.40477
150,24,2.43258
150,25,2.46056
150,26,2.48937
150,27,2.51973
150,28,2.5524
150,29,2.58808
150,30,2.62737
150,31,2.67069
150,32,2.71827
150,33,2.7701
150,34,2.82596
150,35,2.88541
150,36,2.94784
150,37,3.01257
150,38,3.07882
150,39,3.14587
150,40,3.21308
150,41,3.27997
150,42,3.34624
150,43,3.41182
150,44,3.47688
150,45,3.54178
150,46,3.60708
150,47,3.67345
150,48,3.74164
