Contour,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Pt01,Pt02,Pt03,Pt04,Pt05,Pt06,Pt07,Pt08,Pt09,Pt10,Pt11,Pt12,Pt13,Pt14,Pt15,Pt16
49,24.9463,21.3115,17.5049,15.8654,10.8731,11.2103,9.25211,6.16133,6.39969,5.46863,4.67969,3.27895,3.30175,2.78344,2.28647,1.77866,28.4619,22.7568,,,,,,,,,,2.40582,,,,
50,25.3326,20.7526,16.6764,15.5909,10.4945,11.4003,9.23335,6.38752,6.06507,5.27335,4.6575,3.40525,3.37992,2.6733,2.26345,1.80558,,25.7373,,,,12.0153,,,,,,5.21938,,,,
51,24.701,21.13,17.034,15.1213,11.2963,11.6804,9.77162,6.16059,6.18653,5.36743,4.95479,3.59169,3.4228,2.74578,2.27625,1.94224,17.1278,,,,,,10.4552,,4.86989,,,,,,,
52,24.7433,21.2868,17.093,15.0984,11.5887,11.6247,9.96213,6.35229,6.05374,5.16725,4.99153,3.43571,3.33181,2.52767,2.37136,1.8992,,,,16.9351,,11.4529,,,2.04408,,,0,,,2.0293,
53,24.8885,21.6272,17.2229,15.1695,11.5519,11.2446,10.0954,6.54478,5.8389,5.27004,4.80713,3.47375,3.29542,2.50523,2.29486,1.96035,,,13.498,,,,,5.07201,,,8.05585,3.41918,,,,0.384651
54,24.4313,21.5267,16.5675,15.1624,11.9916,11.0852,9.58301,6.87919,5.49214,5.21267,4.82907,3.5512,3.29354,2.52221,2.07778,1.92001,,,17.7806,,11.3391,,10.7444,,,,,,,,,
55,24.3309,22.2201,16.7072,14.646,12.5296,11.2238,9.23946,6.95876,5.35369,5.20095,4.91796,3.75392,3.35623,2.53614,2.26489,1.86024,,,9.66867,,10.8465,,,,,4.23926,2.74473,,,,,
56,25.2966,22.2196,16.7995,14.4048,12.9819,11.506,9.39519,7.14471,5.37837,5.25063,4.80146,3.62977,3.27801,2.65284,2.14705,1.87245,,,,,,12.6993,,,,,,,,,,
57,25.2839,21.5855,17.249,14.4216,12.8265,11.1713,9.79483,6.8104,5.59799,5.28588,4.68403,3.55344,3.24195,2.539,2.15356,1.82833,,,,,11.9585,,,7.65757,,3.37118,,,,,,
58,25.1397,21.5264,17.4239,14.1724,12.7565,11.0582,9.83655,7.01184,5.58181,4.97938,4.61941,3.56795,3.06518,2.58144,2.16803,1.88302,,,,,,,,10.6001,,,,,,2.20581,,
59,25.4367,22.1161,17.6367,14.3523,12.9957,10.9374,9.98643,7.46865,5.59347,5.08644,4.43511,3.59171,2.90029,2.6738,2.18433,1.86784,,,,16.9169,12.0986,,,,2.09267,,,,,,1.83096,
60,25.1817,21.9685,17.9221,14.3048,12.9818,10.9914,10.1176,7.4117,5.62549,5.06125,4.55963,3.66088,2.90679,2.65493,2.13725,1.86938,,26.6326,23.4166,16.0518,,,,7.59092,6.57007,,2.49563,,,1.96245,,
61,25.0596,21.7465,17.8855,14.4624,13.0736,11.1636,10.2054,7.28121,5.40361,5.52532,4.4991,3.53513,2.81233,2.86731,2.03013,1.95605,,,,,12.6891,,,5.72159,,,,,0.741293,,,
62,25.6447,21.6421,17.7862,14.9545,12.8467,10.7856,9.63151,7.259,5.61082,5.56386,4.20759,3.454,2.74551,2.95281,2.1023,1.90005,32.7739,,,8.72874,,,,,,,5.06183,,,4.73141,0.671623,
63,25.9968,22.292,17.8463,14.9338,12.8451,10.592,9.44493,7.24179,5.79323,5.69104,4.28121,3.65844,2.79073,2.96089,1.96624,1.97238,,,,,10.5548,,8.70198,,,,,3.63909,,2.111,2.20935,2.92826
64,25.8366,22.1701,17.8966,15.4936,13.1601,10.5369,9.31535,7.25871,6.01668,5.6855,4.30597,3.5848,2.86176,3.00324,2.12098,1.95679,26.9318,,,,,,,,,,,,,,,
65,26.3591,22.0564,18.0691,15.7183,13.3082,10.4171,9.70727,7.15619,6.29219,5.83046,4.21854,3.68343,2.71023,3.11867,2.06033,1.96376,,,,,14.1822,,12.0702,9.06829,,6.34591,,,,,1.32562,
66,26.4378,20.9909,17.8603,16.3147,12.9464,10.3528,9.87748,7.30291,6.50904,5.83084,4.26552,3.74875,2.75367,3.11328,2.05289,1.95361,,,,14.4215,,,,,,3.27003,,,,,,0.651126
67,26.1473,21.2102,17.9369,16.8682,12.8014,10.4034,9.92945,7.35707,6.70814,5.95223,4.32835,3.90276,2.74451,2.96691,2.16263,2.02245,,21.5751,,,,,,5.93072,,5.21369,6.73649,3.23363,,3.50604,,
68,26.4343,21.6026,17.4338,16.8313,12.9283,10.9629,9.58103,7.69651,6.64983,5.91108,4.34094,3.94698,2.75747,2.94515,2.12462,2.17963,,,,,6.92171,,,,,4.8458,3.18065,,2.48762,,,
69,26.6265,21.6918,17.009,17.1496,12.962,11.0999,9.63414,7.8262,6.78573,6.11454,4.56931,3.85418,3.01677,2.79553,2.1506,2.25533,,,,14.7965,,9.72135,,,,,,,,,,
70,26.4054,22.0436,16.3773,17.1845,12.7868,11.5177,9.5617,7.83714,6.82526,6.34418,4.85527,3.95545,3.12274,2.7294,2.22097,2.32482,,,17.5856,,,,,5.73275,,9.35074,3.03081,,,,,
71,27.3317,21.7427,16.066,17.3275,12.7693,11.5104,9.47734,8.16446,6.8579,6.4229,4.71802,4.03198,2.95451,2.6238,2.18589,2.22111,34.3416,,17.6959,,,11.1907,,,,,,,,,,
72,27.226,21.8396,16.7303,17.0388,12.9479,11.485,9.0477,8.064,7.14248,6.1475,4.77862,4.08308,2.90996,2.6944,2.21026,2.19488,33.1004,,,,,,5.88043,7.64815,,,,4.17402,,,2.41248,
73,26.8703,21.51,16.7637,16.5041,12.9001,11.5975,9.04333,8.03117,6.70795,5.97237,4.74442,4.0603,3.12281,2.39077,2.11174,2.04388,,,22.8403,,,,7.77063,11.1281,,,,,2.14791,,1.81667,
74,27.1982,20.9982,16.7135,16.3297,13.0405,11.6836,9.03582,8.30225,6.59907,6.02699,4.9048,3.90777,3.19547,2.43796,2.21789,2.05646,,22.4248,,,,11.0001,,,,,,,3.78017,,,
75,27.7784,21.0724,16.1066,15.9592,12.9557,11.6532,9.1167,8.46865,6.60811,6.12029,4.86212,3.95444,3.11577,2.35236,2.32584,2.05723,,,13.2375,,,3.30933,,,,,,2.92853,,,,
76,27.5777,20.7305,16.9258,15.9164,13.0346,12.0884,9.02679,8.68782,6.65778,6.20545,5.11412,3.94417,3.36084,2.29826,2.38566,2.18411,,,,,,13.0145,,12.9901,7.32475,,6.9799,,,,,
77,27.683,21.2163,17.6395,15.7802,13.2818,11.6724,8.88534,8.36065,6.71514,6.17475,5.09593,4.09157,3.29652,2.29931,2.27067,2.09105,,,,17.3262,,7.61732,,,8.19556,,,,,,,
78,27.0311,20.972,17.2461,15.5719,13.0906,11.6368,8.91221,8.35062,6.46172,5.98599,4.78618,3.97204,3.46047,2.35218,2.27183,2.04834,21.3814,,,,,,,9.24296,,5.06413,5.32496,4.78223,,,,
79,27.0157,21.1773,17.3881,15.8043,12.8807,11.4082,9.19427,8.50503,6.48451,6.19634,4.83165,4.19753,3.50422,2.41256,2.14064,1.92479,15.3704,,,,,10.935,,,6.06499,,4.03901,,3.36225,,3.48442,
80,27.0578,21.0665,18.1023,15.512,12.7798,11.1281,8.84126,8.5655,6.51293,6.09178,4.62559,4.16424,3.60947,2.50504,2.02185,1.89345,,,,,,10.0518,,5.20899,,,4.0027,,3.93757,4.61214,,
81,27.0604,20.7901,18.404,15.2529,13.2153,10.6435,8.9844,8.51771,6.3093,6.20118,4.60259,4.10411,3.6387,2.39355,1.81534,1.87046,,,,,,13.026,,5.54835,,,2.58056,4.28219,,,,
82,26.8589,20.9891,18.7362,15.4926,13.2942,10.3705,9.2607,8.47614,6.35533,6.19871,4.71303,4.16319,3.8335,2.48762,1.77446,1.92162,,,,,,10.5062,7.83167,,,,,3.37393,4.26043,,,0.245713
83,27.0849,21.4637,18.8723,15.8592,13.4467,10.434,9.47955,8.98453,6.35853,6.28598,4.65649,4.35562,3.96634,2.44847,1.80465,1.94864,,,,,,,9.88904,,,,6.91775,3.85376,,,,
84,27.7244,21.1857,18.6665,15.9448,13.7413,10.4224,9.74857,8.83655,6.35833,6.35645,4.6978,4.52992,3.72563,2.63242,1.81049,1.86946,,,,,,,,,,3.68194,6.67377,,,1.84311,,
85,27.7256,21.6938,18.9256,16.3226,13.3825,10.5699,9.94488,8.55009,6.63463,6.3822,4.46766,4.6996,3.81178,2.69233,1.68717,1.89656,,,,14.0638,15.2425,,,,5.07132,,,4.94383,2.3797,,,3.1669
86,27.2658,21.7686,19.7593,16.3429,13.5126,10.5222,10.0586,8.61931,6.67158,6.39545,4.49571,4.86649,3.90451,2.7339,1.50846,1.89731,33.1904,,22.9288,,,,10.3489,5.49673,4.59229,,2.53565,,,,,
87,27.2449,22.6183,19.6421,16.3523,13.7623,10.4627,10.0897,8.27663,6.79139,6.12247,4.42608,4.85166,3.89709,2.69895,1.65733,1.8384,13.8241,,,,,,7.9021,,,,,6.44914,,,,
88,27.6549,23.2073,19.4669,16.4135,13.7669,11.0658,10.505,8.26954,6.82669,6.102,4.26161,4.85293,3.93432,2.66974,1.69892,1.89892,,,,9.2877,,,,,,,,,3.37782,0.024279,,
89,28.0844,23.3108,19.2842,16.6304,14.0575,10.9076,10.6523,8.36165,7.04938,6.29381,4.52058,4.93435,3.7551,2.57447,1.53804,1.84383,16.4694,,,,17.8385,,,4.45214,6.42685,,,,,,,
90,27.93,22.9307,19.6696,16.6367,14.2774,10.6615,10.5768,8.1323,7.05456,6.26782,4.71161,4.8435,3.78161,2.67626,1.72819,1.88396,,,,13.6499,,,,,,5.77797,,,,,2.75003,
91,28.4487,23.1609,19.2107,16.337,14.617,10.8887,10.7778,8.25714,7.11912,6.16674,4.88014,4.85796,3.76497,2.79106,1.85973,1.69994,,,7.15878,,,,,,,,,,,,,1.56372
92,28.88,22.9809,19.43,16.3825,14.727,11.0023,10.8187,8.13237,7.1432,5.94313,4.78342,4.79658,3.66966,2.86317,2.04471,1.6166,24.6105,,,,11.474,8.84398,,,,6.86217,,,,,,
93,29.3017,23.5598,19.2742,16.0497,15.14,11.4577,10.586,8.35445,7.05888,5.90963,4.76226,4.68612,3.5623,2.76701,2.13183,1.61259,31.6727,,,,,,,8.33774,,,,,,,,2.04358
94,29.1995,23.5755,19.2525,16.2324,15.0529,11.476,10.8395,8.36191,7.18905,6.00771,4.67861,4.36595,3.55138,2.58661,2.29287,1.63959,,,,,,,,4.66764,,,5.82877,,2.26451,3.61645,,0.371148
95,29.126,24.2434,19.5486,16.5941,14.637,11.6479,10.7665,8.60602,7.2079,6.09167,4.84816,4.36208,3.71469,2.5894,2.29696,1.75204,,,,,,,,,,4.5513,,,1.66653,,,
96,28.7165,23.9368,19.3229,16.7583,14.7815,11.6528,10.5102,8.75751,6.97703,6.04704,4.84417,4.18293,3.59354,2.60535,2.39225,1.69942,,,,14.2357,,,7.81606,,,,5.01111,,,2.06232,,
97,28.4309,23.7532,19.5329,16.7116,14.7522,11.706,10.3659,8.61407,7.01024,6.06217,4.81375,4.11478,3.50526,2.60696,2.39686,1.59649,,,9.70306,,,,,9.15076,7.42259,,,,,2.09256,,
98,28.3044,23.3843,19.1497,16.799,14.8165,11.649,10.1899,8.94215,6.99805,6.17583,4.87114,4.17469,3.39505,2.70488,2.41394,1.62003,,,,,,13.4937,,,3.85042,,,4.87953,,,,
99,27.6868,23.3047,19.1531,16.6386,15.0686,11.3811,9.85922,9.11351,6.85972,6.05134,4.9074,3.93958,3.2759,2.67815,2.51743,1.56025,,,,,,,,,,,,,,,1.92577,2.73269
100,27.8359,23.4918,19.9633,16.4996,15.011,11.6525,9.73811,8.94085,6.9419,5.9874,4.87359,4.06331,3.50251,2.72822,2.59113,1.69521,,6.66416,,12.5221,,,11.9833,,,,,,,,,
101,27.7012,24.0492,20.0924,16.4946,15.0894,12.0588,9.97193,9.16764,7.03821,6.01727,4.85361,4.08684,3.4802,2.65238,2.57909,1.62312,,,,,,,,,,,2.29807,,,,,
102,27.5662,23.8428,20.3517,16.7967,14.6468,12.2045,9.8723,9.09401,6.84614,6.22787,4.74025,4.30753,3.57141,2.71528,2.58541,1.67658,,,,,,,,5.83604,,,,3.095,,,,
103,27.4333,24.4377,20.5853,16.7548,14.4221,12.4673,9.30923,9.31986,7.10864,6.19077,4.7742,4.5049,3.54986,2.7786,2.58648,1.71269,,,18.1925,,,,,,,,,3.56709,,,,
104,27.1317,24.1662,20.7166,17.3154,14.0969,12.5045,9.3498,9.49488,7.16613,6.405,4.96249,4.4543,3.62545,2.92208,2.60656,1.90586,,,,,,,8.50309,,3.98348,,,,,,,2.61659
105,27.4077,24.3357,20.4218,17.4593,14.0433,12.4938,9.50505,9.20455,7.21977,6.36815,5.08822,4.5711,3.64153,2.95032,2.46526,1.98234,,20.9342,,,,,,,,,,,,,,0.554059
106,27.1092,24.2677,20.505,17.4249,14.3905,12.4455,9.28284,9.25003,7.31823,6.32981,5.20564,4.48559,3.67719,2.95659,2.51777,2.04423,,,,,,,,,,,,,,,,
107,27.3668,24.2505,21.2951,17.1335,14.3851,12.3985,9.42706,9.2109,7.34929,6.1375,5.36927,4.34325,3.79152,3.08797,2.47165,2.09626,,22.9336,,25.4094,,,,,,,,4.00574,,,,
108,27.7786,24.7413,20.8313,17.3414,14.2833,12.6464,9.6017,9.20966,7.35451,5.90088,5.45396,4.316,3.79574,3.20298,2.53149,2.13977,,30.2814,,,,,,,6.02793,,,,,,2.16442,
109,28.417,24.561,21.101,17.0358,14.034,12.8294,9.84747,9.20106,7.20068,5.74154,5.36527,4.20088,3.75112,3.17786,2.68376,2.06882,29.321,,,,,,10.5825,,,6.22055,4.60914,,,,,
110,27.5981,24.2676,21.2035,17.3542,13.6999,13.1127,9.92679,8.98131,7.43315,5.88977,5.44511,4.49099,3.7963,3.22468,2.61917,2.00587,,,28.706,20.5162,,,5.79918,,,,,,2.53556,,0.224669,
111,27.2044,24.4026,20.6666,17.8268,13.7886,12.5996,9.82054,8.68873,7.45148,5.81458,5.39856,4.36536,3.7214,3.15776,2.63052,2.02221,,,,,,,,,,4.9108,,,3.51974,,,
112,28.01,24.7297,20.8371,17.7602,14.1293,12.9029,9.41403,8.58755,7.51402,5.71534,5.46351,4.33448,3.80103,3.32094,2.76111,2.12412,,,,15.6779,,,,,6.13704,4.31678,5.96768,,,,,
113,28.4353,24.8489,20.7578,18.1541,14.4962,12.6249,9.73685,8.57412,7.57486,5.78537,5.63048,4.18398,3.56602,3.20382,2.74215,2.27497,,,,,,,,,,,,,4.18839,,1.23161,
114,28.4118,24.5362,20.4992,18.4654,14.583,12.5621,10.3515,8.4003,7.69843,5.83208,5.64102,4.06198,3.54273,3.23137,2.72571,2.376,,,13.5272,,,12.2567,,,,,,,,3.66865,,1.41896
115,28.6493,25.0372,20.5673,17.9881,14.6745,12.4917,10.4888,8.2574,7.65416,5.77348,5.23522,3.95022,3.55225,3.30384,2.78596,2.32429,12.6103,30.9011,18.6719,,,12.2331,7.18931,,4.77298,,,,4.57205,,1.72922,
116,28.9002,24.7129,20.5651,17.6062,14.9154,12.185,10.0603,8.43065,7.50658,5.98189,5.37705,4.04405,3.43373,3.33902,3.05047,2.26358,,,,,14.6861,,9.75916,,,,6.15959,3.14778,,3.55534,,
117,29.6056,25.0657,20.6454,17.3988,14.9511,11.929,10.3472,8.3266,7.46392,5.90235,5.14094,4.0038,3.42343,3.21498,3.11858,2.37948,,28.0411,19.2411,14.2876,,,,,,6.23008,,,,4.44914,,
118,29.8549,25.432,20.1156,17.3279,15.0817,12.2359,10.4301,8.68401,7.55401,6.20104,4.94903,4.19454,3.50669,3.13437,3.18247,2.34015,,,,14.1227,,8.06739,,,,,,,,,,2.74786
119,30.1066,25.2656,20.4183,17.2102,14.9445,12.274,10.2604,8.88372,7.5974,6.55245,5.0028,4.34435,3.51295,3.17741,3.08781,2.478,,,,,,10.8763,9.69112,,,,,,,,2.90678,
120,29.6744,25.4597,20.5576,17.6618,15.1049,12.1959,10.188,8.68176,7.82915,6.63584,4.87193,4.43296,3.56036,3.23762,2.93856,2.50373,,17.2088,20.5045,,,,,,9.72374,,,3.51134,,2.27969,,
121,30.1575,25.8202,20.755,17.4541,15.7389,12.1429,10.4115,9.15702,7.67545,6.76076,4.9699,4.35014,3.54434,3.21001,3.01055,2.63938,,,,,,,,,,,,,5.10812,3.13825,,2.77262
122,30.6426,26.3159,21.4687,16.9982,16.0476,12.3609,10.2833,9.41705,7.58305,6.85614,5.14084,4.09973,3.53796,3.34446,3.05782,2.54709,37.9615,,,,9.75397,14.0817,,,,,5.22994,,,,,2.68693
