HS_content,H_bond_index,Crystallinity,Tg,Open_time,Modulus,Melt_viscosity
0.342206,0.430034,0.401245,0.499236,0.728646,0.381384,0.536746
0.231867,0.305646,0.286025,0.412718,0.556723,0.322768,0.713142
0.995611,0.797138,0.756379,0.857422,0.317768,0.698898,0.837169
0.470723,0.531614,0.526653,0.467373,0.644202,0.392876,0.363594
0.852216,0.744101,0.695956,0.943623,0,0.819595,0.966853
0,0.083428,0.200862,0.627851,0.60484,0.511685,0.355766
0.740137,0.72332,0.47188,0.595643,0.409535,0.718005,0.665118
0.49264,0.620761,0.296108,0.45884,0.476671,0.606401,0.429749
0.707376,0.520656,0.583936,0.623748,0.533437,0.447983,0.643712
0.315343,0.477989,0.167573,0.296078,0.508956,0.376671,0.420059
0.0880624,0.690947,0.3801,0.532612,0.393731,0.432955,0.458648
0.0677738,0.00474475,0.283304,0.078,0.658671,0.125609,0.278575
0.465957,0.234268,0.379041,0.381486,0.613603,0.483411,0.267167
0.656057,1,0.737712,0.533391,0.26049,0.45476,0.773159
0.966268,0.670649,0.797491,0.919283,0.121893,0.735394,0.77627
0.606578,0.462959,0.445929,0.578896,0.346831,0.498253,0.622968
0.716844,0.511392,0.448189,0.651052,0.472361,0.278704,0.318095
0.60228,0.481714,0.701684,0.438243,0.278372,0.546617,0.560924
0.665445,0.775467,0.435769,0.590722,0.357193,0.475321,0.482783
0.342795,0.412092,0.243327,0.34839,0.780817,0.232841,0.4368
0.608274,0.805777,0.485685,0.515901,0.279808,0.399032,0.66281
0.115635,0,0.142493,0.0429224,0.675224,0.325932,0.325391
0.718626,0.461093,0.532783,0.610773,0.522562,0.453898,0.586841
0.613416,0.409337,0.407326,0.636122,0.5165,0.456855,0.493222
0.473034,0.389616,0.209431,0.232689,0.730153,0.476703,0.417796
0.434052,0.639488,0.537313,0.575962,0.386479,0.578083,0.410585
0.441112,0.526166,0.454177,0.753358,0.225511,0.49834,0.610274
0.324386,0.352727,0.534516,0.393503,0.56544,0.34096,0.548875
0.176999,0.487417,0.495572,0.415219,0.457319,0.368098,0.304008
0.561294,0.559983,0.342016,0.23751,0.584308,0.39751,0.459388
0.591518,0.349735,0.45097,0.4437,0.564322,0.31291,0.416513
0.0879787,0.381722,0.334774,0.246818,0.465769,0.257585,0.314138
0.482852,0.532594,0.293229,0.399628,0.222645,0.515261,0.574223
0.45582,0.50913,0.560861,0.420282,0.409898,0.237175,0.691724
0.282872,0.251771,0.0149809,0,0.895565,0.0824841,0.363482
0.579905,0.401046,0.639286,0.610451,0.369116,0.546182,0.431428
0.18465,0.850534,0.538851,0.616093,0.393404,0.247815,0.706227
