P1,M1,B1,P2,M2,B2,P3,M3,B3,P4,M4,B4,P5,M5,B5,P6,M6,B6,P7,M7,B7,P8,M8,B8
76.6989,8.31757,14.9835,60.7239,4.07976,35.1963,68.3791,27.366,4.25488,58.3209,21.277,20.4021,51.6666,36.3734,11.96,43.7526,32.4426,23.8048,34.8973,52.2444,12.8583,24.5134,61.4101,14.0765
77.549,12.5644,9.88658,73.2526,11.1214,15.626,60.8395,32.8809,6.27959,62.694,28.9495,8.35642,46.9446,17.9868,35.0686,35.1575,20.2602,44.5822,27.6845,59.8101,12.5054,29.5102,42.4872,28.0026
80.7187,3.32606,15.9553,70.977,20.7527,8.27029,55.456,2.366,42.178,59.5177,28.5659,11.9164,48.6938,32.5565,18.7497,45.2349,44.2638,10.5013,28.1852,67.5607,4.25413,20.3136,31.4651,48.2213
95.1657,2.75346,2.08086,70.9629,10.0378,18.9993,57.4651,9.69192,32.843,60.0432,34.3215,5.63524,45.4746,52.6111,1.91421,47.3641,46.0331,6.60284,30.9477,25.9114,43.1409,8.683,80.8844,10.4326
81.0878,7.35521,11.5569,70.5264,9.97378,19.4998,60.5047,11.3322,28.1631,67.3012,29.8538,2.84502,44.099,54.1088,1.79217,39.9957,58.812,1.19228,17.4808,10.7873,71.7319,18.3863,35.4609,46.1528
82.9369,0.329855,16.7333,66.2867,9.45665,24.2567,59.746,17.5743,22.6797,59.5304,22.8374,17.6323,44.6828,42.5799,12.7373,45.5858,21.2491,33.1651,32.1242,44.1955,23.6803,13.3158,77.4397,9.24453
87.3427,4.58272,8.07462,70.2836,23.5585,6.15787,68.1192,25.9822,5.89856,56.8221,41.108,2.06987,49.687,22.1738,28.1392,45.185,26.894,27.9209,31.2765,56.8999,11.8237,10.8918,72.8942,16.214
79.5998,9.86898,10.5313,66.7063,9.62323,23.6705,57.7535,10.4542,31.7923,60.563,16.3611,23.0759,51.0366,41.6564,7.30702,37.1179,47.8591,15.023,31.8169,58.5632,9.61997,19.6135,74.7125,5.67401
72.315,5.69756,21.9874,69.9073,14.6693,15.4233,63.6154,29.8836,6.50093,56.1845,43.4111,0.404378,48.6466,11.2571,40.0963,33.7461,55.0795,11.1744,33.6981,49.9945,16.3074,26.8095,57.713,15.4775
76.424,23.5711,0.0048777,76.965,20.4819,2.55304,59.7878,14.1197,26.0925,56.9575,16.1689,26.8735,35.0055,1.22006,63.7745,39.2491,58.9416,1.80932,30.6848,40.4845,28.8307,10.0363,61.6936,28.27
91.1086,3.29052,5.60089,72.7434,22.5301,4.72656,62.9338,24.4208,12.6454,53.5839,6.14848,40.2676,45.9556,42.949,11.0954,42.8947,53.0183,4.08703,28.4341,17.1332,54.4327,15.0451,62.2323,22.7226
74.6698,11.7182,13.612,69.1891,18.2626,12.5483,62.9866,26.8718,10.1416,60.4558,30.6984,8.84584,49.5957,32.7305,17.6738,44.983,48.9692,6.04782,32.6335,36.0385,31.328,19.6908,22.4841,57.825
82.804,8.49492,8.70107,70.8194,23.105,6.07559,68.2914,14.6094,17.0992,54.2491,15.6974,30.0536,50.8294,33.974,15.1965,23.3524,9.11642,67.5311,32.3509,37.7982,29.8509,23.8146,52.4978,23.6876
79.1159,13.8307,7.05334,74.0506,24.3755,1.57388,65.8615,14.0814,20.0571,55.5031,21.0301,23.4668,46.6836,27.5483,25.7681,48.8529,47.3049,3.84221,33.127,58.0369,8.83611,12.7535,23.3568,63.8897
69.6459,2.23059,28.1235,73.6655,7.34543,18.9891,62.5166,33.7851,3.69831,58.3727,39.6207,2.00659,44.6825,12.852,42.4655,40.2996,27.534,32.1664,27.4971,69.9968,2.50618,7.80272,36.8343,55.363
76.8085,15.4858,7.70576,71.471,12.9066,15.6224,63.6552,17.176,19.1688,57.1331,27.0453,15.8216,34.8733,3.18063,61.9461,36.1812,39.3958,24.4229,25.2445,54.0387,20.7168,11.6148,61.1197,27.2655
82.8244,15.8455,1.33007,70.9937,24.6809,4.32547,70.5637,21.1394,8.29692,48.8472,4.64363,46.5091,55.6799,31.48,12.8401,38.2204,29.8556,31.924,27.7378,64.9465,7.31568,6.96842,75.7176,17.314
81.9736,2.63044,15.396,74.5564,23.8303,1.61333,67.2033,30.7013,2.09545,55.2367,15.252,29.5112,48.5411,45.6222,5.83665,44.1565,52.5604,3.28309,29.4682,32.0161,38.5157,22.6578,60.9797,16.3625
86.2109,8.06493,5.72416,76.068,14.3073,9.62475,61.8219,16.2873,21.8909,54.5967,18.3832,27.0201,41.8524,7.11546,51.0321,49.5022,30.9898,19.508,17.5007,8.46409,74.0352,8.61551,79.2239,12.1606
90.5582,5.73313,3.70872,77.9975,20.6939,1.30862,63.5807,1.7166,34.7027,55.1088,26.1263,18.7649,40.3182,10.7199,48.9619,35.2725,56.964,7.76354,29.8681,36.2691,33.8628,16.9191,18.7129,64.368
76.3333,4.53761,19.1291,72.1787,26.9252,0.896071,63.4915,30.1022,6.40638,61.106,22.0219,16.8721,33.5486,7.29127,59.1601,45.8174,32.0566,22.126,34.7496,29.7158,35.5347,20.0443,77.6898,2.26594
83.7123,13.6238,2.66397,70.4543,25.7843,3.76136,63.8381,21.277,14.8848,54.8335,3.17587,41.9906,48.1457,46.4577,5.39655,29.4656,9.76737,60.7671,31.2552,38.9316,29.8132,29.017,48.067,22.916
89.6754,7.49152,2.83312,80.537,16.501,2.96205,66.5861,15.8007,17.6133,60.081,27.8928,12.0262,46.2675,26.1231,27.6095,39.8645,32.7159,27.4196,19.0033,18.3511,62.6456,9.33061,76.0794,14.59
73.4307,9.63238,16.9369,70.6915,7.82791,21.4805,62.5304,29.1605,8.30916,59.0388,19.4271,21.5341,45.8056,24.3547,29.8397,47.9738,39.7614,12.2648,30.806,20.6696,48.5244,20.5622,66.3801,13.0577
88.5896,3.82495,7.5854,69.3511,11.9257,18.7232,66.4727,12.609,20.9182,59.3914,32.8423,7.76629,37.3952,6.33854,56.2662,42.6872,24.9497,32.3631,31.5845,57.8055,10.61,24.1564,52.1763,23.6672
81.5963,4.14539,14.2583,65.2382,4.64284,30.119,71.0706,23.1513,5.77813,59.8214,32.2712,7.90739,50.2334,21.1554,28.6113,45.0979,22.5245,32.3776,33.3835,31.0819,35.5346,17.939,66.2041,15.857
78.5496,5.52523,15.9251,64.5251,8.08407,27.3909,56.2091,5.96314,37.8278,52.4865,12.8494,34.6641,53.7343,39.4052,6.86049,31.4847,13.9731,54.5423,30.7222,49.8163,19.4615,17.2282,78.8414,3.93039
89.7167,1.13839,9.14495,76.4887,6.49008,17.0212,65.8063,31.9071,2.28661,54.5715,17.8097,27.6189,52.8,33.5748,13.6253,40.8703,57.8953,1.23448,30.7501,65.8395,3.41041,11.7519,37.8685,50.3796
85.6915,1.65529,12.6532,68.7872,20.0773,11.1356,62.6205,13.2515,24.128,48.5924,7.52591,43.8817,49.2084,13.371,37.4206,46.8458,35.5288,17.6254,30.6269,35.9113,33.4618,22.9386,48.8577,28.2037
81.5579,11.3487,7.09339,64.4068,12.1355,23.4576,58.7967,9.98269,31.2207,59.9689,26.566,13.4651,52.8034,36.5255,10.6711,30.1151,10.4119,59.473,27.4846,18.7798,53.7357,23.1713,30.6204,46.2082
