HBindex,Tau01,Tau02,Tau03,Tau04,Tau05,Tau06,Tau07,Tau08,Tau09,Tau10,Tau11,Tau12,FitX,FitY
0.184745,,,,,,,,0.102115,,,,,0.45038,0.0896587
0.185968,,,,,,,,,,,,0.00732666,0.479381,0.0908012
0.186636,,,,0.141784,,,,,,,,,0.510251,0.0919437
0.186762,,,,,,,,,,,,0.0242943,0.543107,0.0930863
0.187747,,,,,,,,,,,,0.0387544,0.57808,0.0942288
0.18917,,,,,,,,,,0.0740474,,,0.615305,0.0953714
0.190378,,,0.150856,,,,,,,,,,0.654927,0.0965139
0.193748,,,,,,,,,,,0.0520024,,0.6971,0.0976565
0.194687,,,,,,0.12464,,,,,,,0.741989,0.098799
0.195504,,,,,,,,,,,,0.043578,0.789768,0.0999415
0.196508,,,,0.143208,,,,,,,,,0.840624,0.101084
0.199155,,,,,,,,,,0.076487,,,0.894755,0.102227
0.199872,,,0.150585,,,,,,,,,,0.952372,0.103369
0.199906,,,,,,,0.110609,,,,,,1.0137,0.104512
0.200239,,,,,,,0.110983,,,,,,1.07897,0.105654
0.204819,,,,,,,,,,,,0.004,1.14845,0.106797
0.207391,,,,,,,,,,0.0820402,,,1.22241,0.107939
0.213392,,,,,,,,,,0.0761817,,,1.30112,0.109082
0.214917,,,,0.143951,,,,,,,,,1.38491,0.110224
0.215962,,,,,,,,,,,0.0525248,,1.47409,0.111367
0.216288,,,,,,,,,,0.078994,,,1.56901,0.11251
0.221898,,,,,,0.124113,,,,,,,1.67004,0.113652
0.222369,,,,,,,,,,0.0726564,,,1.77758,0.114795
0.223746,,,,,,,,0.102354,,,,,1.89205,0.115937
0.225289,,,,,,,,,,,0.071501,,2.01388,0.11708
0.229443,,,,,,,,0.10423,,,,,2.14356,0.118222
0.230513,,,,,,,,,,,,0.004,2.2816,0.119365
0.230736,,,,,,,,,0.0894694,,,,2.42852,0.120507
0.230975,,,,,,,,,,,,0.0284876,2.5849,0.12165
0.231082,,,,,,,,,,,0.0601603,,2.75135,0.122792
0.231439,,,,,,,,,,0.0803686,,,2.92852,0.123935
0.233045,,,,,,,,,,,,0.004,3.1171,0.125077
0.235643,,,,,,,,,,,0.0612213,,3.31782,0.12622
0.23819,,,0.158316,,,,,,,,,,3.53147,0.127363
0.240261,,,,,,,,,,,,0.0480225,3.75887,0.128505
0.244024,,,,,,,,,,0.0747294,,,4.00092,0.129648
0.244255,,,,,,,,,,,0.064424,,4.25855,0.13079
0.245057,,,,,,,,,,,0.0635365,,4.53277,0.131933
0.250564,,,,,,,,,0.0929671,,,,4.82466,0.133075
0.253562,,,,,,,,,,,,0.0498549,5.13533,0.134218
0.253736,,,,,,,,,,,,0.0400169,5.46602,0.13536
0.253965,,,,,,,,0.104711,,,,,5.818,0.136503
0.255931,,,,,,,0.106559,,,,,,6.19264,0.137645
0.257374,,,,,,,,0.0980511,,,,,6.5914,0.138788
0.260039,0.212042,,,,,,,,,,,,7.01585,0.139931
0.264598,,0.16931,,,,,,,,,,,7.46763,0.141073
0.265037,,,,,,,,,,,,0.0124339,7.94849,0.142216
0.266636,,,,,,,,,,0.0826874,,,8.46033,0.143358
0.268799,,,,,0.136396,,,,,,,,9.00512,0.144501
0.269964,,,,,,0.12496,,,,,,,9.58499,0.145643
0.272578,,,,,,,,,,,0.0596556,,10.2022,0.146786
0.277931,,,,,,,,,,,0.0643911,,10.8592,0.147928
0.27935,,,,,,,,,,,0.06512,,11.5584,0.149071
0.281159,,0.166662,,,,,,,,,,,12.3027,0.150213
0.282075,,,,,,,,,,,,0.050928,13.0949,0.151356
0.282696,,,,,,0.118839,,,,,,,13.9382,0.152499
0.283094,,,,,,,,,,0.0731773,,,14.8357,0.153641
0.286357,,,,,,,,,,,,0.0206585,15.791,0.154784
0.288267,,,,,,,,,0.0945887,,,,16.8079,0.155926
0.288597,0.217491,,,,,,,,,,,,17.8902,0.157069
0.29207,,,,,,,0.11071,,,,,,19.0422,0.158211
0.293407,,,,,,0.122022,,,,,,,20.2684,0.159354
0.293874,,,,,,,,0.100428,,,,,21.5736,0.160496
0.294617,,,,,,,,,0.0950364,,,,22.9628,0.161639
0.295775,,,,,,,,0.10156,,,,,24.4414,0.162781
0.295849,,,,,,,,,0.0864809,,,,26.0153,0.163924
0.295894,,,,,,,,,,,,0.0462643,27.6905,0.165067
0.297646,,,,,,,,0.104218,,,,,29.4736,0.166209
0.303137,,,,,,,,,,,0.0527135,,31.3715,0.167352
0.305165,,,,,,,0.106786,,,,,,33.3916,0.168494
0.306371,,,,,,0.120873,,,,,,,35.5419,0.169637
0.307241,,,,,,,,,,0.0795687,,,37.8305,0.170779
0.309193,,,,,0.134015,,,,,,,,40.2666,0.171922
0.312206,,,,,,,,,0.0866938,,,,42.8595,0.173064
0.312454,,,,,,,,,,0.0832684,,,45.6194,0.174207
0.313238,,,,,,,,,0.0928356,,,,48.557,0.175349
0.313347,,,,,,,,,,,,0.0146869,51.6837,0.176492
0.313413,,,,,,,,0.103907,,,,,55.0119,0.177634
0.318285,,,,,,,,,,0.0839817,,,58.5543,0.178777
0.319917,,,,,,,,0.105373,,,,,62.3248,0.17992
0.323146,,0.165887,,,,,,,,,,,66.3381,0.181062
0.327407,,,,,0.132088,,,,,,,,70.6099,0.182205
0.328509,,,,,,,,,,,0.0684754,,75.1567,0.183347
0.333336,,,,,,,,,,,,0.0347694,79.9963,0.18449
0.334937,,,,,,0.122478,,,,,,,,
0.340724,,,,,,,,,,,0.0708784,,,
0.342244,,,,,,0.119859,,,,,,,,
0.342395,,,,,,,,,,,0.0681459,,,
0.345436,,,,,,,,,,0.0764915,,,,
0.345658,,,,,,,0.106567,,,,,,,
0.346906,,,,,,,,,,,,0.051381,,
0.346982,,,,,,,0.110492,,,,,,,
0.347115,,,,,,,,,,,,0.0252325,,
0.347702,,,,,,,,,,,0.054484,,,
0.348712,,,,,,,,,,,0.0719653,,,
0.353126,,,,,,,,,,,0.061981,,,
0.35574,,,,,,0.11594,,,,,,,,
0.356123,,,,,,,,,,0.0755135,,,,
0.35618,,,,,,,,,,0.0832814,,,,
0.356184,,,,,,,,,,,0.0588045,,,
0.356218,,,,,,,,,,0.080077,,,,
0.362167,,,,,,,,,,,,0.0124076,,
0.36431,,0.182784,,,,,,,,,,,,
0.364615,,,,,,,,,,,,0.0269305,,
0.367534,,,,,0.137289,,,,,,,,,
0.368327,,,,,,,,,,,,0.0463385,,
0.368725,,,,,,,,,0.0949575,,,,,
0.369108,,,,,,,,,,0.0748468,,,,
0.369878,,,,,,,,,,,,0.0508704,,
0.372158,,,0.160462,,,,,,,,,,,
0.372217,,,,,,,,,,,,0.0456849,,
0.373086,,,,,,,,0.104197,,,,,,
0.37515,,,,,,,,,,,,0.0326397,,
0.375375,,0.172303,,,,,,,,,,,,
0.375513,,,,,,,,,,,0.058088,,,
0.37745,,,,,,,,,,,,0.0213225,,
0.378866,,,0.152824,,,,,,,,,,,
0.379005,,,,,,,,,,,,0.0463652,,
0.380035,,,,,,,,,,,0.0584605,,,
0.380948,,,,,,,,,,,,0.0442727,,
0.383163,,,,0.138565,,,,,,,,,,
0.383276,,,,,,,0.106987,,,,,,,
0.38354,,,,,,,,,0.095388,,,,,
0.384487,,,,,,,,,,0.0757149,,,,
0.385752,,,0.157933,,,,,,,,,,,
0.386204,,,,,,,,0.103476,,,,,,
0.387579,,,,,,,,,0.0901983,,,,,
0.387722,,,,,,,,,,,0.0651956,,,
0.389239,,,,,,0.119491,,,,,,,,
0.39115,,,,,,,,,,,,0.0364038,,
0.393232,,0.175914,,,,,,,,,,,,
0.400583,,,,,,,,,,,,0.0342815,,
0.40079,,,,,,,,,,,0.0654977,,,
0.402045,,,,,,,,,,,,0.0509771,,
0.404079,,,,,,,,,,,,0.0054484,,
0.405103,,,,,,,,,,,,0.0243841,,
0.405283,,,,,0.126243,,,,,,,,,
0.405955,,,,,,,,,,,0.0691808,,,
0.407639,,,,,,0.122007,,,,,,,,
0.410282,,,,,,,0.106218,,,,,,,
0.410838,,,,,,,,,,,,0.0307818,,
0.413319,,,,,0.125615,,,,,,,,,
0.413995,,,,,,,,,,,0.0716427,,,
0.414215,,0.177717,,,,,,,,,,,,
0.418425,,,,,,,,0.104765,,,,,,
0.423658,,,,,,0.122627,,,,,,,,
0.423695,,,,,,,0.108517,,,,,,,
0.424441,,,,,,,,,,0.0817259,,,,
0.429877,,,,,,,,0.102615,,,,,,
0.431389,,,,,,,,,,0.0794842,,,,
0.433443,,,,,,,,0.0990034,,,,,,
0.435622,,,,,,,,,,,,0.024096,,
0.437489,,,,,,,,,,0.0834444,,,,
0.437925,,,,,,0.123021,,,,,,,,
0.438165,,,,,,,,0.102741,,,,,,
0.443524,,,,,,,,0.0977274,,,,,,
0.443883,,,,,,,,,,0.076271,,,,
0.444961,,,,,,,0.108769,,,,,,,
0.446709,,,,,,,,0.105105,,,,,,
0.447218,,,,,,,,,,,,0.0364177,,
0.447724,,,,,,,,,,,,0.0259425,,
0.45148,,,,,,,,0.0964774,,,,,,
0.453653,,,,,,,,0.102742,,,,,,
0.453778,,,,,,,,,,0.0806758,,,,
0.453852,,,,0.148186,,,,,,,,,,
0.453906,,0.170297,,,,,,,,,,,,
0.455186,,,,,,,0.113149,,,,,,,
0.456543,,,,,,,0.10931,,,,,,,
0.458208,,,,,,,,,0.0951307,,,,,
0.460339,,,,,,,,,,,0.0555447,,,
0.460394,,,,,,,0.109505,,,,,,,
0.460954,,,,,,,,,,0.0835513,,,,
0.46419,,,,,,,0.11073,,,,,,,
0.468506,,,,,0.133029,,,,,,,,,
0.468722,,,,,,,,,,0.0815716,,,,
0.470935,,,,,,,,,0.0852487,,,,,
0.472298,,,,,0.126991,,,,,,,,,
0.472896,,,,,,,,,,,,0.0337152,,
0.473959,,,,,,,0.105926,,,,,,,
0.475434,,,,,,,,,,0.0812108,,,,
0.476828,,,,,0.13028,,,,,,,,,
0.477728,,,,,,,,0.100916,,,,,,
0.47808,,,,,,,,,,,,0.0332912,,
0.478162,,,,,,,,0.0978967,,,,,,
0.478836,,,,,,,,,,0.0811861,,,,
0.479015,,,,,,,,,0.0874756,,,,,
0.480615,,,,,,,,,,,,0.004,,
0.489613,,,,,0.13002,,,,,,,,,
0.49802,,,,,,0.117633,,,,,,,,
0.499737,,,,,,,,,,0.0807626,,,,
0.500389,,0.167785,,,,,,,,,,,,
0.506816,,,,,,,,,,,0.0549258,,,
0.508121,,,,,,,,,0.0914838,,,,,
0.508262,,,,,,,,,,,0.0572118,,,
0.510934,,,,0.146962,,,,,,,,,,
0.512994,,,,,,,,,,,,0.041724,,
0.513785,,,0.150249,,,,,,,,,,,
0.515063,,,,,,,,,,0.0833323,,,,
0.516429,,,,,,,0.108404,,,,,,,
0.519117,,,,,,,,,0.0896511,,,,,
0.520098,,,,,,,,,,,0.0615792,,,
0.523968,,,,,,,,,0.0902899,,,,,
0.524953,,,,,,,,,,,0.0666152,,,
0.526616,,,,,,,0.108849,,,,,,,
0.527928,,,,0.137837,,,,,,,,,,
0.527994,,,,,,,,,,,,0.0276557,,
0.528185,,,,,,,,,,,,0.0297713,,
0.528908,,,,,,0.121206,,,,,,,,
0.529498,,,,,,,,,,,0.0601988,,,
0.531629,,,,,,,,,,,,0.00481925,,
0.532027,,,,0.14075,,,,,,,,,,
0.534899,,,,,,,,,0.0855188,,,,,
0.535128,,,,,,0.11694,,,,,,,,
0.53638,,,,,,,,,,,,0.0449342,,
0.537077,,,,,,,,,0.0878186,,,,,
0.538971,,,,,,,,,0.086466,,,,,
0.539987,,,,,,,0.113892,,,,,,,
0.54339,,,,,,,,,0.0919296,,,,,
0.544438,,,,,,,,,,,0.066932,,,
0.544516,,,,,,,0.111914,,,,,,,
0.544779,,,,,,,,,,,0.0719742,,,
0.545185,,,,,,,,,,,,0.0486542,,
0.547754,,,,,,,,,,,,0.0363683,,
0.548176,,,,,,,,,0.088419,,,,,
0.549208,,,,,,,,,,,,0.004,,
0.549656,,,,,,,,,0.0946126,,,,,
0.553286,,,,,,,,0.102475,,,,,,
0.554763,,,,,,,,,,,,0.0491156,,
0.555737,,,,,,,,,,,0.0582956,,,
0.557156,,,,,,,,,,,,0.0385921,,
0.558147,,,,,,,,,0.0919774,,,,,
0.558426,,,,0.138765,,,,,,,,,,
0.558767,,,,,0.13322,,,,,,,,,
0.559454,,,,,,,,,,,,0.0141026,,
0.559522,,,,,,,,0.101603,,,,,,
0.559536,,,,0.143997,,,,,,,,,,
0.560475,,,,,,,,,,,,0.0377253,,
0.561696,,,,,,,,0.0996277,,,,,,
0.562556,,,,,,,,,,0.0819607,,,,
0.563767,,,,,,,,,0.0873743,,,,,
0.563997,,,,,,0.122653,,,,,,,,
0.564683,,,,,,,,,,0.0755854,,,,
0.56645,,,,,,,,,,,,0.0272178,,
0.566638,,,,,,,,,,,,0.004,,
0.573421,,,,,,,0.11061,,,,,,,
0.575833,,,,,,,,,,0.0739589,,,,
0.576254,,,,0.140454,,,,,,,,,,
0.578102,,,,,,,,,,0.0763617,,,,
0.578353,,,,,,,,,,,,0.0385681,,
0.578724,,,,,,,,,,,0.0694346,,,
0.579839,,,,,,,,,,,0.0601868,,,
0.580392,,,,,,0.115777,,,,,,,,
0.581076,,,,,,,,,,,0.0610137,,,
0.582535,,,,0.142238,,,,,,,,,,
0.584097,,,,,,,,,,0.0766152,,,,
0.584103,,,,,,,,,0.0943595,,,,,
0.584721,,,,,,,,,0.0953429,,,,,
0.58763,,,,,,,0.109619,,,,,,,
0.59131,,,,,,,,,,,0.0709303,,,
0.591528,,,,,0.127139,,,,,,,,,
0.592078,,,,,,,,0.0998809,,,,,,
0.592561,,,,,,,,,,0.0827759,,,,
0.593774,,,,,,,,,0.089721,,,,,
0.594362,,,,,,,,,,0.0774808,,,,
0.594596,,,,,,,,0.101079,,,,,,
0.594862,,,,,,,,,0.0897632,,,,,
0.594902,,,,,,,,,,,0.0692399,,,
0.595195,,,,,,,,,,,,0.0255618,,
0.596756,,,,,,,,0.100416,,,,,,
0.598884,,,,0.149352,,,,,,,,,,
0.599088,,,,,,,,,,0.0796363,,,,
0.601885,,,,,,,,,0.09246,,,,,
0.602769,,,,,,,,,0.088633,,,,,
0.604059,,,,,,,,,,0.0748466,,,,
0.604066,,,,,,,,,,0.0794275,,,,
0.605784,,,,,,,,,,,0.0592458,,,
0.606882,,,,,,,,0.0992737,,,,,,
0.608219,,,,,,,0.112913,,,,,,,
0.608763,,,,0.14265,,,,,,,,,,
0.611503,,,,,,,,,,0.0808804,,,,
0.615391,,,,,0.132819,,,,,,,,,
0.615777,,,,,,,,,,,,0.0139468,,
0.615993,,,,,0.125236,,,,,,,,,
0.616827,,,,,,,,,,,,0.05022,,
0.618173,,,,,,,,0.100685,,,,,,
0.619095,,0.181789,,,,,,,,,,,,
0.619535,,,,,,,,,,,,0.041199,,
0.621472,,,,,,,,,,,0.0550414,,,
0.622905,,,,,,,,,,,,0.0122883,,
0.622965,,,,,,,0.108026,,,,,,,
0.625221,,,,,,,,,,0.0777708,,,,
0.625875,,,,,,,,,,0.0837918,,,,
0.628031,,,,,,,,,,,0.0600301,,,
0.628323,,,,,0.133193,,,,,,,,,
0.631711,,,,,,,,0.103635,,,,,,
0.633392,,,,,,,,,,0.0739405,,,,
0.635421,,,,,,,,,,,0.0665104,,,
0.637381,,,,,,,,,,,0.0624745,,,
0.637632,,,,,,,,,0.0910122,,,,,
0.638342,,,,,,,,,,,0.0616831,,,
0.638506,,,,,,,,,,0.0821558,,,,
0.641606,,,,,,,,,0.0870235,,,,,
0.642224,,,,,,0.12302,,,,,,,,
0.643279,,,0.151115,,,,,,,,,,,
0.64331,,,,,,,,,,0.082642,,,,
0.644166,,,,,,,,,0.089916,,,,,
0.644406,,,,,,,,,,,0.0635243,,,
0.647646,,,,,,,0.112243,,,,,,,
0.650582,,,,,,,,,,,,0.0262359,,
0.651497,,,,,,,,,,,0.0550607,,,
0.651837,,,,0.149443,,,,,,,,,,
0.653304,,,,,,,,0.0972031,,,,,,
0.653739,,,,0.139892,,,,,,,,,,
0.654913,0.197166,,,,,,,,,,,,,
0.655718,,0.168474,,,,,,,,,,,,
0.655995,,,,,,,,,,0.0736377,,,,
0.656435,,,,,,,,,,0.0744013,,,,
0.656497,,,,,,,,,0.0852347,,,,,
0.658311,,,,,,,,0.100131,,,,,,
0.658429,,,,,,,,,,,,0.0340808,,
0.659737,,,,,,,0.109884,,,,,,,
0.660676,,,,,,,,,,0.0809848,,,,
0.662132,,,,,,,,,,,,0.00882589,,
0.662748,,,,,,0.124109,,,,,,,,
0.665023,,,,,,,,,,,0.0656389,,,
0.665645,,,,,,,,,,,0.0704048,,,
0.669358,,,,,,,,,,,,0.0352522,,
0.669933,0.18674,,,,,,,,,,,,,
0.671375,,,,,0.130594,,,,,,,,,
0.672549,,,,,,0.116042,,,,,,,,
0.672678,,,,,,,,,,,,0.0435889,,
0.6739,,,,,,,,0.104127,,,,,,
0.674248,,,,,,,0.111208,,,,,,,
0.67516,,,,,,,,,,,,0.0310949,,
0.67556,,,,,,0.11619,,,,,,,,
0.675598,,,,,,,0.114911,,,,,,,
0.678103,,,,,,,,,,0.0790006,,,,
0.678784,,,,,,,,,0.0856331,,,,,
0.678989,,,,,,,,0.0983311,,,,,,
0.679923,,,,,0.125,,,,,,,,,
0.680918,,,,,,,,,0.0846341,,,,,
0.682946,,,,,,,0.113039,,,,,,,
0.68382,,,,,,,0.105578,,,,,,,
0.683934,,,,,,,,,0.0915594,,,,,
0.68492,,,,,,0.116014,,,,,,,,
0.687281,,,,,0.129913,,,,,,,,,
0.687773,,,,,,,,,,,0.071189,,,
0.690121,,,,,,0.123165,,,,,,,,
0.690335,0.186084,,,,,,,,,,,,,
0.692148,,,,,,0.117385,,,,,,,,
0.694127,,,,,,,,,,0.0798599,,,,
0.694203,,,,,,,,,,,,0.0356965,,
0.69422,,,,,,,,,0.0866962,,,,,
0.695327,,,,,0.125665,,,,,,,,,
0.695758,,,,0.142116,,,,,,,,,,
0.696681,,,,,,,,,,,0.0570114,,,
0.696855,,,,,,0.115736,,,,,,,,
0.697399,,,,,,,,,,0.0807686,,,,
0.699565,,,,,,,0.109974,,,,,,,
0.701237,,,,,,,0.105969,,,,,,,
0.70309,,,0.15261,,,,,,,,,,,
0.70465,,,,,,,,0.0991109,,,,,,
0.704705,,,,,,,,,,,,0.0444694,,
0.705026,,,,,,,,,,,0.0701898,,,
0.705847,,0.164707,,,,,,,,,,,,
0.708094,,,,,,,0.115274,,,,,,,
0.71064,,,,,,,,,0.0952258,,,,,
0.715143,,,,,,,0.113723,,,,,,,
0.716249,,,,,,,,,,,,0.0456293,,
0.718137,,,,,,,0.106383,,,,,,,
0.720021,,,,,,,,,,,,0.004,,
0.720885,,,,,0.137164,,,,,,,,,
0.720954,,,,,,,,,,,0.0689151,,,
0.722796,,,,,,,,,,,,0.0340839,,
0.723324,,,,,,,,,0.0894219,,,,,
0.723446,,,,,,,0.106116,,,,,,,
0.724971,,,,,,,,,,,,0.0309283,,
0.725694,,,,,,,,0.100199,,,,,,
0.727225,0.1851,,,,,,,,,,,,,
0.727939,,,,,,,,,0.0881433,,,,,
0.728974,,,,,,,,,0.0869821,,,,,
0.732362,,,,,,,,,,0.0766137,,,,
0.733506,,,,,,,,,,,0.0608646,,,
0.734136,,,,,,,,,,,,0.0477489,,
0.734956,,,,,,,,,0.0850838,,,,,
0.736143,,,,,,0.118577,,,,,,,,
0.736509,,,,,,,,,,,0.0583669,,,
0.736898,,,,,,,,,0.0861324,,,,,
0.740316,,,,,,,,,0.086377,,,,,
0.741297,,,,,,,,,0.0942693,,,,,
0.741483,,,,,,,0.113097,,,,,,,
0.741785,,,,,,,,,,,,0.0447546,,
0.743001,,,,,,,,0.105423,,,,,,
0.744008,,,,,,,0.114172,,,,,,,
0.744501,,,,,,,,,,,,0.0208293,,
0.744605,,,,,,,,,,,0.0547185,,,
0.744984,,,,,,,,,,,,0.0489434,,
0.745602,,,,,,,,,,,0.0536561,,,
0.746304,,,,,,,,,,,,0.049728,,
0.748485,,,,,,,,,,,,0.0431052,,
0.749668,,,,,,,,,,0.0778427,,,,
0.750295,,,0.161444,,,,,,,,,,,
0.750428,,,,,0.136312,,,,,,,,,
0.750911,,,,,,,,,0.0915421,,,,,
0.753964,,,,,,,0.106962,,,,,,,
0.754143,,,,,,,0.111481,,,,,,,
0.754721,,,,,,0.11962,,,,,,,,
0.755059,,,0.156017,,,,,,,,,,,
0.755075,,,,,,,,0.105035,,,,,,
0.755674,,,,,,,,,,,,0.0504836,,
0.755835,,,,,,,,,,,,0.004,,
0.756659,,,,,,,,,,,,0.0310625,,
0.75699,,,,,,0.115832,,,,,,,,
0.762224,,,0.151411,,,,,,,,,,,
0.763211,0.188071,,,,,,,,,,,,,
0.763262,,,,,,,0.108714,,,,,,,
0.766587,,,,0.148682,,,,,,,,,,
0.768633,,,,,,,,,,0.0801357,,,,
0.77037,,,,,,,0.108475,,,,,,,
0.77072,,,,0.140368,,,,,,,,,,
0.771348,,,,,,,,,,,0.0573629,,,
0.771687,,,,,,,,,,,0.0535722,,,
0.771697,,,,,,0.115859,,,,,,,,
0.772101,,,,,,0.122963,,,,,,,,
0.773889,,,,,,,,,0.0958369,,,,,
0.777183,,,,,,,,,,0.0840481,,,,
0.778663,,,,,,,,,,,,0.0424821,,
0.781134,,,,,,,,,,,,0.0172024,,
0.783427,,,,,,,,,,,,0.0494175,,
0.784484,,,,,,,0.10754,,,,,,,
0.784489,,,,,,,,,,,,0.0257095,,
0.786234,0.202976,,,,,,,,,,,,,
0.788466,,,0.152096,,,,,,,,,,,
0.792025,,,,,,,,,0.0846415,,,,,
0.793165,,0.174586,,,,,,,,,,,,
0.793566,,,,,,,,,,,0.0556918,,,
0.794962,,,,,,,0.107668,,,,,,,
0.798037,,0.165113,,,,,,,,,,,,
0.79991,,,,,,0.118231,,,,,,,,
0.800322,,,,,0.126396,,,,,,,,,
0.800991,,,,,,,,,0.0892936,,,,,
0.801007,,,,,,,,,0.094769,,,,,
0.802606,,,,,,0.122305,,,,,,,,
0.80284,,,,,,,0.105645,,,,,,,
0.804414,,,0.160345,,,,,,,,,,,
0.805341,,,,,,,,0.102044,,,,,,
0.806747,,,,,,,,,,,0.0542008,,,
0.809847,,,,,0.127535,,,,,,,,,
0.810573,,,,,0.125094,,,,,,,,,
0.810783,,,,,0.132305,,,,,,,,,
0.812597,,,,,,,,0.0985165,,,,,,
0.812992,,,,,,,,,,,,0.0302419,,
0.815095,,,,,,,,,0.0903845,,,,,
0.820365,,,0.161863,,,,,,,,,,,
0.821064,,,,,,,,,0.0907064,,,,,
0.822348,,,,,,,,,,,,0.0490316,,
0.825561,,,,0.140818,,,,,,,,,,
0.829341,,,,,,0.124783,,,,,,,,
0.829958,,,,,0.12558,,,,,,,,,
0.830228,,,,,,,,,,0.0762536,,,,
0.831582,,,,,,,,,,,,0.0191168,,
0.833733,,,,,,,,,,,0.0635675,,,
0.833889,,,,,,,,,,0.0802142,,,,
0.837741,,,,,,,,,,,,0.004,,
0.838443,,,0.155119,,,,,,,,,,,
0.839757,,,,0.143703,,,,,,,,,,
0.841506,,,,,,,,0.0970828,,,,,,
0.846005,0.204584,,,,,,,,,,,,,
0.84623,0.213203,,,,,,,,,,,,,
0.846502,,,,,0.135623,,,,,,,,,
0.84651,,0.182531,,,,,,,,,,,,
0.848165,,,,,,,,0.101218,,,,,,
0.848366,,,,,,,,,,,,0.0218791,,
0.848536,0.185419,,,,,,,,,,,,,
0.849388,,,,,,,,0.100314,,,,,,
0.85344,,,,,,,,,,0.0795044,,,,
0.853668,,,,,,,,,,,0.052686,,,
0.853902,0.184562,,,,,,,,,,,,,
0.855701,,,,,0.129601,,,,,,,,,
0.85628,,,,,,,,,,,0.0675417,,,
0.856903,,,,0.145462,,,,,,,,,,
0.857065,,,,,,,,,,,,0.0480854,,
0.858401,,,,,,,,,0.0854128,,,,,
0.859069,,,,,,,,,0.0897974,,,,,
0.861876,,,,,,,,,0.0891614,,,,,
0.862014,,,,,,,,,,,0.0525495,,,
0.863543,,,,,,0.119321,,,,,,,,
0.864158,,,,,,,,,,0.0783228,,,,
0.86467,,,,,,,,,,,,0.0401928,,
0.865797,,,,,,,,,,,0.0672354,,,
0.86822,,,,,,,,,,,,0.0386429,,
0.870841,,,,0.142551,,,,,,,,,,
0.87122,,,,,,,,,0.0894291,,,,,
0.871624,,,,,,,0.111688,,,,,,,
0.871946,,,,,,,,0.0962521,,,,,,
0.87232,,,,,,,,,,0.0833972,,,,
0.873432,,,,,0.135002,,,,,,,,,
0.873802,,,,,,0.121058,,,,,,,,
0.873919,,,,,0.12782,,,,,,,,,
0.880099,,,,,0.130408,,,,,,,,,
0.88069,,,,,,,,,,,0.0590347,,,
0.880843,,,,,0.12504,,,,,,,,,
0.881714,,,,,,,,,,,,0.004,,
0.883048,,,,,,0.12427,,,,,,,,
0.885385,,,,0.138851,,,,,,,,,,
0.886078,,,,,,,,0.105261,,,,,,
0.886081,,,,,,,,0.102776,,,,,,
0.886473,,,,,,,,,,,0.0578909,,,
0.887,,,,,,,,,0.0858351,,,,,
0.88963,,,,0.143518,,,,,,,,,,
