Time,lo1,hi1,m1,lo2,hi2,m2,lo3,hi3,m3,lo4,hi4,m4,lo5,hi5,m5,lo6,hi6,m6
51,16.5684,21.3977,18.9831,25.9271,31.3465,28.6368,38.6386,44.5631,41.6008,54.3097,60.4047,57.3572,70.982,76.734,73.858,85.1922,90.2436,87.7179
54,17.6661,22.5744,20.1202,27.4689,32.9676,30.2183,40.6381,46.6118,43.625,56.6035,62.6829,59.6432,73.163,78.8314,75.9972,86.7526,91.7049,89.2288
57,18.7564,23.7405,21.2485,28.987,34.5588,31.7729,42.5805,48.5942,45.5873,58.7861,64.8411,61.8136,75.1738,80.7574,77.9656,88.1245,92.9861,90.5553
60,19.8388,24.8957,22.3672,30.4809,36.1199,33.3004,44.4662,50.5114,47.4888,60.8616,66.8849,63.8732,77.0266,82.5255,79.776,89.3301,94.1092,91.7196
63,20.9128,26.0394,23.4761,31.9502,37.6508,34.8005,46.2961,52.3651,49.3306,62.8342,68.8198,65.827,78.7328,84.1482,81.4405,90.3891,95.0936,92.7413
66,21.978,27.1713,24.5747,33.3947,39.1515,36.2731,48.0708,54.1565,51.1136,64.7081,70.651,67.6795,80.3035,85.6373,82.9704,91.3189,95.9564,93.6377
69,23.0341,28.2911,25.6626,34.8143,40.6221,37.7182,49.7914,55.8873,52.8393,66.4874,72.3837,69.4356,81.7486,87.0034,84.376,92.1351,96.7125,94.4238
72,24.0807,29.3986,26.7397,36.2087,42.0626,39.1357,51.4587,57.559,54.5089,68.1763,74.0228,71.0995,83.0778,88.2566,85.6672,92.8514,97.375,95.1132
75,25.1177,30.4935,27.8056,37.5781,43.4733,40.5257,53.074,59.1733,56.1236,69.7787,75.573,72.6759,84.3,89.4061,86.853,93.4798,97.9555,95.7177
78,26.1447,31.5756,28.8602,38.9225,44.8545,41.8885,54.6382,60.7317,57.685,71.2986,77.039,74.1688,85.4233,90.4604,87.9418,94.031,98.4642,96.2476
81,27.1617,32.6449,29.9033,40.2418,46.2064,43.2241,56.1526,62.2359,59.1942,72.7397,78.4251,75.5824,86.4556,91.4271,88.9414,94.5144,98.9098,96.7121
84,28.1683,33.7013,30.9348,41.5362,47.5293,44.5328,57.6183,63.6875,60.6529,74.1058,79.7354,76.9206,87.4039,92.3136,89.8588,94.9383,99.3002,97.1192
87,29.1645,34.7446,31.9545,42.8059,48.8237,45.8148,59.0364,65.088,62.0622,75.4004,80.974,78.1872,88.275,93.1264,90.7007,95.3099,99.6423,97.4761
90,30.1502,35.7748,32.9625,44.051,50.0899,47.0704,60.4082,66.4392,63.4237,76.6269,82.1446,79.3857,89.0749,93.8717,91.4733,95.6357,99.9419,97.7888
93,31.1252,36.7918,33.9585,45.2717,51.3282,48.3,61.7349,67.7425,64.7387,77.7886,83.2509,80.5198,89.8092,94.5549,92.1821,95.9212,100.204,98.0628
96,32.0895,37.7958,34.9426,46.4683,52.5392,49.5037,63.0177,68.9994,66.0086,78.8889,84.2963,81.5926,90.4834,95.1812,92.8323,96.1715,100.434,98.3029
99,33.043,38.7866,35.9148,47.6409,53.7232,50.682,64.2578,70.2116,67.2347,79.9306,85.2841,82.6073,91.1021,95.7554,93.4287,96.3908,100.636,98.5133
102,33.9857,39.7642,36.875,48.7899,54.8806,51.8353,65.4563,71.3803,68.4183,80.9167,86.2174,83.5671,91.6699,96.2817,93.9758,96.583,100.812,98.6976
105,34.9175,40.7289,37.8232,49.9156,56.012,52.9638,66.6144,72.5072,69.5608,81.85,87.0992,84.4746,92.191,96.7641,94.4775,96.7514,100.967,98.8591
108,35.8384,41.6804,38.7594,51.0181,57.1178,54.068,67.7334,73.5935,70.6635,82.7333,87.9321,85.3327,92.669,97.2064,94.9377,96.899,101.102,99.0006
111,36.7484,42.619,39.6837,52.0979,58.1984,55.1482,68.8144,74.6407,71.7275,83.5691,88.719,86.144,93.1075,97.6117,95.3596,97.0283,101.221,99.1246
114,37.6475,43.5447,40.5961,53.1552,59.2543,56.2048,69.8584,75.65,72.7542,84.3597,89.4623,86.911,93.5098,97.9832,95.7465,97.1416,101.325,99.2331
117,38.5357,44.4575,41.4966,54.1904,60.286,57.2382,70.8667,76.6229,73.7448,85.1077,90.1644,87.636,93.8787,98.3237,96.1012,97.2409,101.416,99.3283
120,39.413,45.3576,42.3853,55.2037,61.2939,58.2488,71.8403,77.5604,74.7003,85.8151,90.8275,88.3213,94.2171,98.6358,96.4264,97.3278,101.495,99.4116
123,40.2795,46.245,43.2622,56.1956,62.2785,59.2371,72.7802,78.4639,75.6221,86.4841,91.4538,88.969,94.5274,98.9218,96.7246,97.404,101.565,99.4846
126,41.1352,47.1198,44.1275,57.1663,63.2403,60.2033,73.6876,79.3346,76.5111,87.1168,92.0453,89.581,94.812,99.1839,96.998,97.4707,101.626,99.5485
129,41.98,47.9822,44.9811,58.1162,64.1796,61.1479,74.5634,80.1735,77.3685,87.7149,92.604,90.1595,95.0729,99.4242,97.2486,97.5292,101.68,99.6046
132,42.8142,48.8321,45.8232,59.0456,65.0971,62.0714,75.4087,80.9819,78.1953,88.2805,93.1316,90.706,95.3122,99.6444,97.4783,97.5804,101.727,99.6536
135,43.6376,49.6699,46.6538,59.9549,65.9931,62.974,76.2244,81.7607,78.9926,88.8151,93.6298,91.2225,95.5315,99.8461,97.6888,97.6253,101.768,99.6966
138,44.4505,50.4954,47.473,60.8444,66.868,63.8562,77.0115,82.5111,79.7613,89.3205,94.1003,91.7104,95.7326,100.031,97.8819,97.6646,101.804,99.7342
141,45.2527,51.309,48.2809,61.7145,67.7224,64.7184,77.7709,83.234,80.5025,89.7982,94.5446,92.1714,95.917,100.201,98.0588,97.699,101.835,99.7672
144,46.0445,52.1106,49.0776,62.5654,68.5566,65.561,78.5036,83.9305,81.217,90.2497,94.9642,92.6069,96.086,100.356,98.2209,97.7291,101.863,99.7961
147,46.8259,52.9005,49.8632,63.3976,69.3711,66.3844,79.2103,84.6014,81.9058,90.6764,95.3604,93.0184,96.241,100.498,98.3696,97.7556,101.887,99.8214
150,47.5968,53.6787,50.6378,64.2114,70.1663,67.1889,79.892,85.2476,82.5698,91.0796,95.7345,93.407,96.383,100.629,98.5058,97.7787,101.908,99.8436
153,48.3575,54.4454,51.4014,65.0072,70.9427,67.9749,80.5496,85.8702,83.2099,91.4606,96.0877,93.7742,96.5132,100.748,98.6307,97.799,101.927,99.863
156,49.108,55.2006,52.1543,65.7852,71.7006,68.7429,81.1837,86.4698,83.8268,91.8206,96.4213,94.121,96.6325,100.858,98.7451,97.8167,101.943,99.88
159,49.8484,55.9446,52.8965,66.5458,72.4404,69.4931,81.7953,87.0474,84.4214,92.1608,96.7363,94.4485,96.7419,100.958,98.85,97.8323,101.958,99.8949
162,50.5788,56.6774,53.6281,67.2893,73.1626,70.226,82.385,87.6038,84.9944,92.4822,97.0336,94.7579,96.8422,101.05,98.9461,97.8459,101.97,99.9079
165,51.2991,57.3992,54.3492,68.0162,73.8676,70.9419,82.9536,88.1397,85.5466,92.7859,97.3144,95.0502,96.9341,101.134,99.0342,97.8578,101.981,99.9194
168,52.0097,58.1102,55.0599,68.7266,74.5557,71.6411,83.5018,88.6558,86.0788,93.0727,97.5796,95.3261,97.0183,101.212,99.1149,97.8682,101.99,99.9294
171,52.7104,58.8103,55.7604,69.4209,75.2273,72.3241,84.0304,89.1528,86.5916,93.3437,97.8299,95.5868,97.0955,101.282,99.1889,97.8774,101.999,99.9381
174,53.4015,59.4999,56.4507,70.0995,75.8828,72.9912,84.54,89.6316,87.0858,93.5997,98.0662,95.833,97.1662,101.347,99.2567,97.8854,102.006,99.9458
177,54.0829,60.179,57.131,70.7627,76.5226,73.6426,85.0312,90.0927,87.5619,93.8415,98.2894,96.0655,97.2311,101.407,99.3189,97.8924,102.013,99.9525
180,54.7549,60.8477,57.8013,71.4107,77.1469,74.2788,85.5048,90.5367,88.0207,94.0699,98.5001,96.285,97.2905,101.461,99.3758,97.8986,102.018,99.9584
