LogTau,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12
-0.266165,0.960551,1.60297,2.07114,2.44286,2.83456,3.30311,3.81948,4.38402,4.9795,5.58798,6.20229,6.822
-0.254637,0.952203,1.60984,2.07851,2.4684,2.85422,3.31804,3.8294,4.38922,4.9857,5.59915,6.20763,6.82513
-0.243108,0.938074,1.61416,2.09929,2.49005,2.87605,3.32005,3.83221,4.39333,4.98091,5.59278,6.19777,6.82223
-0.231579,0.924323,1.62499,2.1183,2.51462,2.89509,3.33576,3.84651,4.39859,4.97993,5.58875,6.20846,6.82218
-0.22005,0.906058,1.61522,2.13531,2.5319,2.9134,3.35483,3.85221,4.40394,4.98334,5.59395,6.21276,6.82166
-0.208521,0.894779,1.61377,2.14555,2.55549,2.93526,3.36613,3.85976,4.4051,4.98774,5.58788,6.20755,6.8252
-0.196992,0.876335,1.61519,2.16254,2.57812,2.94604,3.38743,3.86851,4.40927,4.98862,5.59156,6.20786,6.81459
-0.185464,0.865099,1.61175,2.1732,2.59324,2.97655,3.39228,3.88006,4.42063,5.00026,5.58778,6.20618,6.82368
-0.173935,0.844484,1.61655,2.18674,2.60681,2.98912,3.41233,3.89214,4.41657,5.00375,5.60237,6.20214,6.81873
-0.162406,0.822398,1.61195,2.19657,2.62781,3.01258,3.42122,3.90241,4.42695,5.00262,5.60049,6.20965,6.81781
-0.150877,0.805053,1.59859,2.20222,2.64609,3.03415,3.45112,3.91114,4.44203,5.00074,5.59503,6.20977,6.82307
-0.139348,0.780242,1.58932,2.21521,2.677,3.05187,3.45677,3.92461,4.43175,5.00797,5.60122,6.21194,6.82184
-0.12782,0.764447,1.58463,2.2261,2.68544,3.07177,3.46823,3.93352,4.44693,5.0095,5.60712,6.22014,6.82608
-0.116291,0.738349,1.58152,2.22477,2.71132,3.09402,3.49432,3.95048,4.45995,5.02211,5.6073,6.21369,6.82855
-0.104762,0.718408,1.55338,2.23246,2.7256,3.11875,3.51241,3.95824,4.45848,5.02186,5.609,6.21348,6.81528
-0.0932331,0.688266,1.55431,2.23958,2.74623,3.14184,3.53913,3.96341,4.48376,5.02713,5.60634,6.2191,6.82477
-0.0817043,0.671898,1.53432,2.23483,2.75867,3.16228,3.54893,3.99088,4.4717,5.02842,5.60968,6.20863,6.83341
-0.0701754,0.640643,1.52815,2.24073,2.76869,3.17641,3.56936,4.00025,4.4969,5.02711,5.61525,6.21069,6.8296
-0.0586466,0.616016,1.50404,2.23534,2.78182,3.19735,3.59117,4.00988,4.50691,5.03751,5.62137,6.21511,6.83252
-0.0471178,0.59965,1.49064,2.24238,2.79552,3.21668,3.61477,4.02896,4.5143,5.04187,5.61738,6.21545,6.82781
-0.035589,0.573998,1.4683,2.24406,2.80744,3.24165,3.62799,4.04185,4.52013,5.05389,5.61942,6.22241,6.82237
-0.0240602,0.55507,1.45214,2.23857,2.81513,3.25079,3.65239,4.06985,4.53327,5.0592,5.63189,6.22004,6.82439
-0.0125313,0.540358,1.44258,2.224,2.82655,3.28252,3.67041,4.07991,4.53952,5.06235,5.62723,6.23008,6.83257
-0.00100251,0.505228,1.42063,2.22098,2.84143,3.29375,3.68734,4.08852,4.55806,5.0711,5.63913,6.23114,6.83446
0.0105263,0.483503,1.39545,2.21042,2.83535,3.3101,3.70907,4.11423,4.56251,5.08638,5.6399,6.23021,6.82868
0.0220551,0.464586,1.37275,2.20108,2.84918,3.33152,3.72909,4.12807,4.5785,5.0841,5.64681,6.22781,6.83159
0.033584,0.443873,1.34737,2.19643,2.84931,3.35055,3.74549,4.15528,4.59664,5.09248,5.65488,6.23419,6.83484
0.0451128,0.41975,1.33169,2.17341,2.85727,3.36332,3.77408,4.16167,4.6017,5.10383,5.65555,6.23751,6.82802
0.0566416,0.398647,1.31115,2.17029,2.86224,3.38091,3.78361,4.17545,4.61864,5.11094,5.66106,6.2327,6.83494
0.0681704,0.381793,1.28869,2.15222,2.85977,3.39117,3.81356,4.20352,4.63512,5.12142,5.65975,6.24125,6.84423
0.0796992,0.361107,1.26623,2.14342,2.86297,3.40861,3.83218,4.22092,4.6439,5.13507,5.6664,6.24576,6.84802
0.0912281,0.335499,1.23959,2.12299,2.85217,3.42083,3.84717,4.23989,4.66914,5.15009,5.67782,6.24707,6.84047
0.102757,0.320513,1.22123,2.10314,2.86036,3.42664,3.86332,4.25241,4.68147,5.14668,5.68778,6.25597,6.84998
0.114286,0.302777,1.19879,2.08973,2.84971,3.44301,3.88392,4.28223,4.69007,5.16479,5.69393,6.25824,6.84243
0.125815,0.280853,1.18163,2.0736,2.84959,3.44709,3.9047,4.30685,4.71234,5.17651,5.70469,6.254,6.84329
0.137343,0.269191,1.1616,2.05216,2.84162,3.45491,3.92327,4.31221,4.72619,5.18792,5.70407,6.26195,6.83972
0.148872,0.248455,1.13144,2.03471,2.82317,3.45792,3.93838,4.34424,4.74377,5.19984,5.7114,6.26251,6.85479
0.160401,0.240175,1.10703,2.01086,2.82197,3.46638,3.95753,4.35695,4.76414,5.21199,5.72275,6.27282,6.8519
0.17193,0.222126,1.08824,1.98412,2.81625,3.47545,3.96702,4.38823,4.77873,5.23055,5.7273,6.27194,6.86536
0.183459,0.207451,1.06483,1.97554,2.81089,3.47075,3.98517,4.40006,4.80345,5.23827,5.73585,6.28429,6.8601
0.194987,0.191138,1.04343,1.95366,2.79409,3.4811,3.99221,4.4169,4.81505,5.25363,5.74117,6.28762,6.86247
0.206516,0.180102,1.02574,1.9301,2.78125,3.48123,4.015,4.44119,4.84029,5.26856,5.75898,6.29571,6.85763
0.218045,0.16032,1.00183,1.9082,2.76089,3.48111,4.02519,4.45774,4.85489,5.2838,5.76078,6.2973,6.87418
0.229574,0.152172,0.988967,1.89032,2.7577,3.47017,4.03468,4.47183,4.87736,5.29789,5.77756,6.29843,6.87026
0.241103,0.147177,0.967188,1.86251,2.74379,3.47641,4.05185,4.49526,4.89077,5.31814,5.78069,6.318,6.8748
0.252632,0.126869,0.950219,1.83963,2.72046,3.47608,4.0599,4.5082,4.91002,5.33005,5.802,6.31726,6.87058
0.26416,0.129044,0.930677,1.81985,2.70252,3.46595,4.05482,4.52047,4.92661,5.34707,5.80516,6.3308,6.8873
0.275689,0.10955,0.911284,1.80359,2.6793,3.46376,4.0742,4.55264,4.95273,5.36279,5.82471,6.3347,6.89197
0.287218,0.111023,0.893796,1.77164,2.67105,3.44716,4.07515,4.55947,4.97336,5.37591,5.82745,6.34371,6.89027
0.298747,0.0966439,0.880656,1.7605,2.65952,3.45155,4.09111,4.57421,4.99723,5.39383,5.84491,6.35673,6.89799
0.310276,0.0957233,0.864059,1.73196,2.63226,3.43735,4.10162,4.59315,5.01297,5.41044,5.86465,6.35952,6.90438
0.321805,0.0862454,0.852478,1.70917,2.61468,3.43359,4.09332,4.60004,5.02773,5.43316,5.87037,6.37288,6.91212
0.333333,0.0732027,0.837457,1.698,2.59166,3.41184,4.09833,4.61464,5.04463,5.4475,5.8879,6.37084,6.91443
0.344862,0.0784704,0.818601,1.67233,2.56509,3.41013,4.09857,4.63108,5.06557,5.46428,5.90013,6.39013,6.92694
0.356391,0.0738406,0.811538,1.64768,2.55365,3.39366,4.1014,4.64324,5.08218,5.48781,5.9076,6.39593,6.92541
0.36792,0.0628678,0.793757,1.63204,2.52245,3.3842,4.1019,4.65702,5.10612,5.50743,5.93321,6.40699,6.93059
0.379449,0.0575311,0.785157,1.61827,2.50548,3.36281,4.10269,4.67177,5.12168,5.51687,5.9492,6.41858,6.93809
0.390977,0.053903,0.775568,1.60089,2.4863,3.34881,4.09071,4.67505,5.13179,5.54933,5.95887,6.43133,6.93708
0.402506,0.0469591,0.758186,1.57651,2.46755,3.34429,4.09698,4.68766,5.1492,5.56141,5.98173,6.44836,6.9516
0.414035,0.0519553,0.757203,1.56249,2.44454,3.31536,4.08192,4.6959,5.17375,5.57957,5.9927,6.44649,6.96679
0.425564,0.0424573,0.748389,1.54693,2.42336,3.29859,4.08066,4.69599,5.18533,5.60294,6.0086,6.46663,6.97209
0.437093,0.0418421,0.738685,1.52529,2.39784,3.28248,4.07705,4.70708,5.19843,5.61757,6.02963,6.47652,6.97637
0.448622,0.0366257,0.729723,1.51368,2.37499,3.26116,4.06712,4.70722,5.21876,5.63338,6.0441,6.49735,6.99001
0.46015,0.0353655,0.722586,1.49714,2.35987,3.25121,4.05139,4.71906,5.22648,5.66295,6.07345,6.50466,6.98986
0.471679,0.031134,0.713375,1.48074,2.33654,3.23416,4.04225,4.7194,5.24024,5.66807,6.07571,6.5222,7.00648
0.483208,0.0399387,0.709929,1.46716,2.31422,3.2049,4.03221,4.71938,5.25214,5.68995,6.1027,6.53317,7.01976
0.494737,0.033237,0.703035,1.45626,2.29481,3.18099,4.02198,4.71464,5.25801,5.71144,6.12166,6.55215,7.03086
0.506266,0.0369251,0.700342,1.44361,2.27872,3.17253,4.01405,4.7201,5.2804,5.72118,6.12786,6.56859,7.03574
0.517794,0.0325764,0.690367,1.42935,2.2545,3.15205,3.99077,4.71517,5.28238,5.74212,6.147,6.57831,7.05363
0.529323,0.0294501,0.691795,1.41866,2.2382,3.13056,3.98352,4.71862,5.29437,5.76076,6.1744,6.59577,7.06896
0.540852,0.0308584,0.687539,1.41418,2.21921,3.11149,3.9691,4.71184,5.30223,5.78509,6.18846,6.60586,7.07164
0.552381,0.0300854,0.682943,1.40056,2.20915,3.08297,3.95323,4.70457,5.31578,5.78771,6.21014,6.62899,7.08855
0.56391,0.0327344,0.67871,1.39384,2.19325,3.06538,3.93659,4.70603,5.31935,5.8064,6.23135,6.64769,7.09194
0.575439,0.0317849,0.680031,1.3863,2.1834,3.04023,3.92396,4.69873,5.3255,5.82399,6.2434,6.65877,7.10327
0.586967,0.0328696,0.668901,1.37562,2.15369,3.01993,3.90249,4.68603,5.32358,5.83587,6.25863,6.68241,7.12686
0.598496,0.0295316,0.675509,1.3747,2.14185,3.00955,3.88615,4.68467,5.33384,5.84431,6.2698,6.68677,7.13822
0.610025,0.0329824,0.673102,1.35524,2.13371,2.98319,3.86675,4.66954,5.33121,5.86369,6.29919,6.70497,7.15282
0.621554,0.0441714,0.672067,1.35525,2.11528,2.97551,3.85309,4.65932,5.34028,5.87474,6.31209,6.72427,7.16398
0.633083,0.036392,0.671601,1.34476,2.10153,2.94751,3.81943,4.65004,5.34147,5.88763,6.33423,6.74545,7.17976
0.644612,0.0365541,0.666903,1.34801,2.09699,2.92583,3.81303,4.63471,5.33989,5.90116,6.35077,6.76513,7.19909
0.65614,0.0439807,0.668236,1.34245,2.07673,2.91313,3.78752,4.62335,5.3471,5.91071,6.36084,6.78247,7.21793
0.667669,0.0502847,0.671872,1.32339,2.06202,2.8991,3.76797,4.61114,5.33903,5.91751,6.38944,6.80028,7.22568
0.679198,0.0410232,0.671381,1.32338,2.05055,2.87624,3.74564,4.60388,5.33632,5.92553,6.40264,6.82121,7.23569
0.690727,0.0483449,0.671094,1.32643,2.04695,2.8523,3.72243,4.58908,5.33056,5.92745,6.417,6.83417,7.26339
0.702256,0.049143,0.665084,1.32392,2.03724,2.84201,3.70876,4.56677,5.32432,5.93799,6.4237,6.84869,7.27693
0.713784,0.0472686,0.674423,1.32113,2.02155,2.82991,3.68799,4.55841,5.32312,5.94522,6.44112,6.86637,7.29369
0.725313,0.0600398,0.678328,1.31575,2.01472,2.80686,3.67325,4.53545,5.31691,5.94765,6.45433,6.89727,7.30832
0.736842,0.0599367,0.679308,1.31613,2.01302,2.79071,3.64608,4.52034,5.29966,5.95364,6.46803,6.89673,7.33368
0.748371,0.0633861,0.678057,1.3156,2.006,2.78341,3.63857,4.50514,5.30058,5.95303,6.47776,6.92256,7.34163
0.7599,0.0632972,0.672969,1.31175,1.99451,2.76603,3.61504,4.48519,5.28907,5.96462,6.49591,6.94601,7.36046
0.771429,0.0714645,0.685268,1.31562,1.99353,2.74779,3.59434,4.47579,5.2807,5.96832,6.50632,6.95876,7.36815
0.782957,0.0709564,0.683421,1.30229,1.98785,2.738,3.57418,4.44895,5.2678,5.95844,6.5174,6.96986,7.39049
0.794486,0.0761356,0.676599,1.31404,1.97351,2.72444,3.5559,4.42481,5.24928,5.96096,6.52372,6.98922,7.40735
0.806015,0.0759893,0.691159,1.30789,1.975,2.7172,3.53693,4.41629,5.23719,5.95686,6.53996,7.00834,7.42729
0.817544,0.0793904,0.686799,1.31671,1.97404,2.70563,3.52209,4.39077,5.23614,5.96036,6.54382,7.02499,7.4461
0.829073,0.093542,0.69089,1.31313,1.96673,2.69959,3.50754,4.37249,5.21618,5.95365,6.5396,7.03141,7.45897
0.840602,0.0902245,0.697029,1.31198,1.95762,2.68824,3.49052,4.34301,5.19524,5.94793,6.55465,7.05243,7.4861
0.85213,0.0975753,0.708333,1.31882,1.96268,2.67019,3.46978,4.34027,5.1875,5.94155,6.56282,7.06429,7.49201
0.863659,0.100526,0.705608,1.31576,1.96493,2.66973,3.45909,4.32091,5.16936,5.93691,6.5719,7.08107,7.51144
0.875188,0.103241,0.712193,1.31813,1.96682,2.66396,3.44183,4.30231,5.14768,5.92551,6.57096,7.09502,7.53101
0.886717,0.107403,0.722282,1.31815,1.95076,2.65507,3.43184,4.28467,5.12973,5.92451,6.57443,7.10032,7.54168
0.898246,0.116462,0.726006,1.32722,1.96944,2.65085,3.42503,4.26936,5.11596,5.91045,6.57518,7.10751,7.56537
0.909774,0.117313,0.723708,1.33249,1.95436,2.63861,3.40702,4.2445,5.10662,5.90618,6.58202,7.12587,7.58177
0.921303,0.122557,0.727794,1.33801,1.963,2.63167,3.39081,4.23079,5.08823,5.89454,6.57821,7.1417,7.59394
0.932832,0.127949,0.728494,1.33701,1.96481,2.63444,3.3737,4.20674,5.0701,5.88769,6.57736,7.14696,7.6183
0.944361,0.137312,0.735672,1.34567,1.9649,2.62227,3.3633,4.19132,5.05473,5.87185,6.5757,7.15406,7.62619
0.95589,0.140113,0.745189,1.34567,1.96304,2.61426,3.35158,4.18037,5.03837,5.86398,6.57893,7.17093,7.64181
0.967419,0.143736,0.750228,1.34957,1.95963,2.62392,3.35123,4.16152,5.00984,5.84357,6.57176,7.1646,7.65126
0.978947,0.144787,0.754356,1.35679,1.96898,2.61438,3.33589,4.13887,4.9993,5.8365,6.56352,7.17905,7.66237
0.990476,0.146359,0.763268,1.36348,1.96615,2.61403,3.33045,4.13037,4.97945,5.81945,6.56822,7.17904,7.68006
1.00201,0.160532,0.761669,1.36284,1.96179,2.60816,3.31959,4.1134,4.96015,5.80692,6.55761,7.18663,7.69431
1.01353,0.165437,0.77009,1.36837,1.98639,2.60745,3.31494,4.09658,4.9453,5.79179,6.55574,7.19109,7.70626
1.02506,0.165826,0.778874,1.37402,1.98141,2.60762,3.31331,4.08784,4.92954,5.78021,6.54893,7.20028,7.72309
1.03659,0.173343,0.783989,1.38048,1.98965,2.61077,3.29871,4.07129,4.91169,5.75299,6.54462,7.19315,7.72182
1.04812,0.179047,0.791698,1.3822,1.98283,2.61412,3.29445,4.054,4.88988,5.74665,6.53562,7.19661,7.73759
1.05965,0.183937,0.794813,1.39572,1.99672,2.60434,3.28756,4.04379,4.87696,5.72341,6.52009,7.19341,7.74495
1.07118,0.188926,0.797837,1.39596,2.00186,2.61786,3.28986,4.04385,4.87044,5.71802,6.512,7.20195,7.76712
1.08271,0.18797,0.806399,1.4055,2.00662,2.61188,3.27842,4.01987,4.84196,5.68893,6.49713,7.19757,7.76831
1.09424,0.200317,0.806832,1.40656,2.00547,2.61451,3.27475,4.01659,4.8236,5.6763,6.49803,7.19968,7.77665
1.10576,0.193638,0.810181,1.41762,2.00614,2.62406,3.27106,4.00852,4.816,5.65702,6.48155,7.19149,7.78174
1.11729,0.206328,0.824951,1.42418,2.01587,2.62402,3.26887,3.99965,4.80226,5.65363,6.47328,7.19135,7.79648
1.12882,0.208993,0.828277,1.42746,2.01361,2.62151,3.27484,3.98384,4.78714,5.62527,6.45384,7.19316,7.79723
1.14035,0.214516,0.835569,1.44384,2.02166,2.63874,3.28224,3.97973,4.76669,5.61428,6.43388,7.18377,7.80502
1.15188,0.222399,0.833337,1.44392,2.03508,2.63197,3.26751,3.97449,4.76154,5.59515,6.43474,7.18168,7.8005
1.16341,0.224529,0.844403,1.45629,2.03718,2.6408,3.27535,3.97067,4.7413,5.57369,6.41514,7.17528,7.81709
1.17494,0.217554,0.849129,1.45981,2.04709,2.64534,3.27312,3.95907,4.72734,5.56329,6.40111,7.16504,7.81697
1.18647,0.218751,0.853654,1.46015,2.05408,2.65522,3.26876,3.9518,4.71743,5.55125,6.38631,7.15281,7.81983
1.19799,0.23196,0.853577,1.46812,2.06916,2.65309,3.27361,3.95589,4.70798,5.53205,6.37392,7.15494,7.82404
1.20952,0.227626,0.866634,1.47825,2.07369,2.66458,3.2758,3.95235,4.70041,5.52101,6.3585,7.14299,7.81903
1.22105,0.23443,0.876817,1.48361,2.0755,2.66348,3.27644,3.94607,4.68978,5.50056,6.33486,7.13696,7.81908
