Wavenumber,t00.0h,t00.2h,t00.5h,t01.0h,t02.0h,t04.0h,t06.0h,t09.0h,t12.0h,t18.0h,t24.0h,t36.0h,t48.0h,t72.0h
1661,0.243712,0.230031,0.232874,0.243165,0.242688,0.252361,0.267682,0.278281,0.28573,0.31249,0.340661,0.380848,0.434251,0.529799
1661.38,0.238487,0.23884,0.245911,0.234699,0.245363,0.2539,0.259973,0.268886,0.289539,0.307671,0.329199,0.382844,0.434161,0.522263
1661.75,0.233232,0.24052,0.234499,0.234066,0.23883,0.254258,0.266467,0.278015,0.292217,0.314119,0.334734,0.384446,0.424685,0.526099
1662.12,0.233838,0.23341,0.233594,0.233951,0.247207,0.251864,0.253972,0.274697,0.28509,0.310537,0.331431,0.381181,0.439131,0.521081
1662.5,0.229269,0.235379,0.231908,0.232861,0.239882,0.254284,0.250678,0.266667,0.278923,0.30993,0.332096,0.373366,0.424823,0.523682
1662.88,0.230941,0.233413,0.229384,0.228593,0.234292,0.244097,0.251028,0.265824,0.281847,0.298156,0.326527,0.371437,0.424732,0.513939
1663.25,0.226475,0.230271,0.231381,0.237453,0.23662,0.246191,0.250308,0.264156,0.278554,0.300306,0.316053,0.368981,0.413743,0.514048
1663.62,0.225498,0.22873,0.23283,0.236092,0.233225,0.241897,0.246351,0.26278,0.273416,0.291812,0.321787,0.365629,0.41356,0.510496
1664,0.225785,0.237818,0.225876,0.228427,0.230227,0.238094,0.244905,0.262762,0.268796,0.298386,0.312484,0.364651,0.407813,0.503279
1664.38,0.224602,0.229921,0.227278,0.22579,0.229191,0.238951,0.239841,0.258335,0.266956,0.293496,0.32067,0.355215,0.409679,0.498087
1664.75,0.223117,0.217788,0.218948,0.222139,0.234741,0.240187,0.240415,0.248196,0.263659,0.28171,0.311891,0.357382,0.401705,0.49214
1665.12,0.213397,0.217866,0.218369,0.225928,0.225883,0.232742,0.244023,0.252082,0.269003,0.288135,0.312467,0.34793,0.393815,0.481024
1665.5,0.221285,0.223557,0.21443,0.226843,0.226255,0.230365,0.234932,0.250119,0.260577,0.28617,0.305607,0.348116,0.393938,0.47825
1665.88,0.213823,0.215097,0.218147,0.218844,0.22205,0.231976,0.23051,0.251436,0.259161,0.280819,0.296831,0.343849,0.389281,0.474191
1666.25,0.215526,0.213662,0.206817,0.214085,0.214853,0.226602,0.232529,0.24155,0.249698,0.276746,0.293459,0.339239,0.379013,0.462078
1666.62,0.202675,0.202682,0.203195,0.207183,0.214332,0.215726,0.229138,0.237805,0.250267,0.275793,0.286613,0.332572,0.368152,0.460431
1667,0.204644,0.206152,0.206326,0.207684,0.211981,0.217045,0.226033,0.235914,0.239205,0.262209,0.292349,0.322261,0.364944,0.457055
1667.38,0.203749,0.194931,0.203931,0.204148,0.206199,0.213397,0.223812,0.234532,0.246689,0.258962,0.280117,0.32048,0.364322,0.453385
1667.75,0.199937,0.202342,0.198279,0.201974,0.209078,0.215153,0.219711,0.22758,0.233612,0.257283,0.273712,0.315535,0.361569,0.439868
1668.12,0.196047,0.19282,0.202188,0.199609,0.201241,0.206883,0.218515,0.227549,0.238151,0.252911,0.270205,0.304733,0.338112,0.422396
1668.5,0.190925,0.188777,0.192691,0.1934,0.194958,0.213262,0.210681,0.219632,0.231732,0.251848,0.263967,0.302601,0.336685,0.420495
1668.88,0.188664,0.186188,0.191989,0.192165,0.192909,0.196551,0.212209,0.216206,0.226974,0.237879,0.266795,0.296948,0.338992,0.405605
1669.25,0.182833,0.187658,0.185983,0.192937,0.185858,0.202884,0.199949,0.211721,0.218695,0.240476,0.249413,0.29139,0.330382,0.404838
1669.62,0.182612,0.184729,0.191548,0.189952,0.180796,0.19873,0.192974,0.203181,0.218436,0.231482,0.249559,0.289707,0.324575,0.395296
1670,0.180673,0.176243,0.182515,0.175675,0.188033,0.190671,0.195426,0.205497,0.2062,0.234633,0.245875,0.282106,0.317757,0.386889
1670.38,0.175266,0.173983,0.170122,0.170041,0.179828,0.181201,0.186962,0.195186,0.210901,0.224542,0.248441,0.279557,0.312235,0.379758
1670.75,0.170872,0.175139,0.175688,0.178639,0.172954,0.178473,0.190836,0.197564,0.202306,0.222901,0.236432,0.273521,0.304973,0.363002
1671.12,0.167886,0.167796,0.171398,0.175596,0.171565,0.176539,0.180201,0.193254,0.20247,0.217646,0.233643,0.264572,0.301783,0.363857
1671.5,0.174084,0.160996,0.168021,0.164043,0.173033,0.175219,0.180273,0.192062,0.189129,0.209893,0.224262,0.261922,0.292825,0.350051
1671.88,0.157554,0.157232,0.165225,0.163666,0.167702,0.168165,0.17351,0.183472,0.189008,0.204293,0.222432,0.257489,0.28125,0.348283
1672.25,0.151935,0.159473,0.157668,0.159163,0.162086,0.164414,0.17544,0.182737,0.18935,0.205622,0.216359,0.242757,0.277104,0.339263
1672.62,0.146129,0.156851,0.155634,0.159756,0.153782,0.165348,0.169355,0.177038,0.186664,0.199893,0.214572,0.246468,0.270517,0.325563
1673,0.156445,0.151001,0.156155,0.157301,0.153854,0.158928,0.160905,0.166691,0.180217,0.189048,0.201581,0.236858,0.26089,0.322397
1673.38,0.15141,0.149678,0.148056,0.150838,0.155028,0.154977,0.158866,0.170476,0.182176,0.185981,0.203696,0.233607,0.257622,0.319714
1673.75,0.145708,0.142289,0.151859,0.145791,0.151311,0.152616,0.158847,0.166013,0.169832,0.189204,0.197639,0.227895,0.25417,0.311568
1674.12,0.13522,0.136521,0.14836,0.143852,0.146499,0.155122,0.16131,0.159744,0.170472,0.18101,0.191884,0.223152,0.248738,0.304529
1674.5,0.139028,0.139373,0.13607,0.134912,0.144633,0.14845,0.159368,0.158651,0.169054,0.178628,0.191017,0.212295,0.240799,0.287887
1674.88,0.141143,0.137247,0.143745,0.138166,0.138829,0.143831,0.149807,0.148122,0.164633,0.177526,0.187365,0.216231,0.236151,0.293362
1675.25,0.129403,0.13914,0.134491,0.135232,0.136121,0.141953,0.148521,0.154944,0.15849,0.169858,0.190576,0.215289,0.229685,0.281459
1675.62,0.131587,0.127468,0.129453,0.133336,0.136974,0.137901,0.144052,0.153049,0.152091,0.165052,0.183671,0.200923,0.227988,0.279015
1676,0.122652,0.130358,0.125,0.128565,0.127458,0.139606,0.141386,0.151679,0.154506,0.164899,0.174688,0.202471,0.22181,0.269154
1676.38,0.127712,0.123234,0.121411,0.12788,0.132468,0.133668,0.14305,0.147332,0.148549,0.165478,0.173585,0.194724,0.219312,0.263853
1676.75,0.127496,0.120561,0.131085,0.125578,0.134025,0.126334,0.136224,0.133371,0.150643,0.160152,0.16814,0.198166,0.212062,0.250912
1677.12,0.123769,0.126238,0.123441,0.123697,0.127287,0.124985,0.131528,0.142801,0.145395,0.161019,0.167912,0.191946,0.216934,0.259011
1677.5,0.117962,0.118899,0.118105,0.119324,0.114401,0.125094,0.130527,0.137842,0.143618,0.155356,0.162378,0.191807,0.210194,0.256353
1677.88,0.116596,0.115626,0.115019,0.122183,0.122151,0.125018,0.129649,0.135533,0.14088,0.153578,0.163383,0.187039,0.208966,0.246293
1678.25,0.116263,0.118346,0.115659,0.123014,0.12059,0.130586,0.123408,0.132508,0.141373,0.148838,0.159579,0.187293,0.203702,0.241329
1678.62,0.115994,0.11086,0.120023,0.110916,0.112213,0.125717,0.125577,0.131661,0.137166,0.150144,0.170058,0.178525,0.201933,0.246173
1679,0.112086,0.107943,0.110835,0.120095,0.12393,0.12269,0.127267,0.129339,0.136789,0.153479,0.170675,0.189096,0.201025,0.244625
1679.38,0.109901,0.112653,0.111115,0.119905,0.11602,0.118559,0.123998,0.133048,0.145938,0.15078,0.165097,0.182758,0.2058,0.242577
1679.75,0.110013,0.10353,0.109835,0.11226,0.113462,0.116345,0.128307,0.130555,0.134508,0.157311,0.16293,0.18166,0.199108,0.2352
1680.12,0.110212,0.111738,0.116964,0.112828,0.109386,0.120345,0.124646,0.13597,0.144513,0.1548,0.165613,0.18152,0.205344,0.235707
1680.5,0.110425,0.11337,0.11824,0.113437,0.113323,0.117491,0.12618,0.133503,0.144233,0.152959,0.162764,0.187881,0.20632,0.239478
1680.88,0.105399,0.107479,0.104558,0.114864,0.115831,0.117333,0.122478,0.128855,0.138836,0.156136,0.167325,0.186262,0.211376,0.240827
1681.25,0.10204,0.106947,0.114234,0.116449,0.113374,0.11675,0.128036,0.129732,0.149014,0.156667,0.167657,0.188787,0.212364,0.247079
1681.62,0.108396,0.109653,0.110144,0.109369,0.117394,0.120605,0.133023,0.130115,0.14063,0.156155,0.165488,0.19858,0.220265,0.248748
1682,0.104521,0.104707,0.110615,0.115691,0.114461,0.119771,0.131622,0.132672,0.138758,0.150932,0.176321,0.191577,0.222128,0.248593
1682.38,0.110279,0.105802,0.108187,0.115188,0.109738,0.125187,0.126267,0.142784,0.148511,0.161119,0.173924,0.191853,0.22081,0.25109
1682.75,0.114165,0.110949,0.115413,0.11205,0.115305,0.123408,0.134283,0.138312,0.154401,0.164532,0.184898,0.206334,0.222387,0.260495
1683.12,0.113816,0.111435,0.110436,0.109684,0.124725,0.125892,0.129662,0.140094,0.153417,0.163682,0.180582,0.208537,0.226832,0.273203
1683.5,0.113089,0.109392,0.1179,0.114126,0.117983,0.125738,0.137674,0.145486,0.159767,0.180342,0.192771,0.208973,0.239943,0.272951
1683.88,0.11067,0.117802,0.114224,0.11741,0.11856,0.130154,0.139595,0.150231,0.163483,0.178117,0.195526,0.228192,0.245691,0.283892
1684.25,0.118836,0.11763,0.117146,0.117881,0.124669,0.135003,0.145042,0.156986,0.156709,0.174745,0.19707,0.228846,0.255643,0.289293
1684.62,0.115489,0.122607,0.11434,0.124552,0.126983,0.13609,0.146158,0.15897,0.165919,0.19284,0.204595,0.234038,0.261065,0.296995
1685,0.117031,0.126838,0.11825,0.127419,0.132943,0.136755,0.148595,0.161225,0.174309,0.197411,0.209864,0.248272,0.268133,0.31167
1685.38,0.120843,0.123119,0.123882,0.130713,0.133684,0.148912,0.152028,0.168429,0.181353,0.200932,0.222758,0.253701,0.276327,0.320344
1685.75,0.118882,0.126166,0.130936,0.129171,0.141815,0.149131,0.158624,0.175863,0.190157,0.210667,0.230463,0.266124,0.292677,0.331487
1686.12,0.126663,0.125299,0.127024,0.139697,0.139496,0.152785,0.160586,0.18417,0.194641,0.225822,0.246223,0.277684,0.302357,0.342453
1686.5,0.12604,0.131165,0.136514,0.135104,0.145306,0.1559,0.168685,0.185812,0.204313,0.231425,0.255792,0.288495,0.313537,0.352711
1686.88,0.133081,0.134435,0.131705,0.144672,0.146401,0.156963,0.175254,0.196599,0.205326,0.241983,0.260794,0.299984,0.334431,0.367699
1687.25,0.141267,0.151065,0.141956,0.14195,0.145719,0.168354,0.18613,0.203798,0.219798,0.249681,0.268402,0.315137,0.338571,0.385771
1687.62,0.138413,0.145177,0.147268,0.146574,0.161574,0.175957,0.191585,0.210036,0.218708,0.258492,0.285241,0.318242,0.35328,0.402557
1688,0.154499,0.156928,0.147154,0.156392,0.164301,0.183626,0.192782,0.217664,0.23331,0.261952,0.298585,0.337464,0.363592,0.420926
1688.38,0.149823,0.144193,0.156339,0.163785,0.172478,0.189277,0.199032,0.228151,0.239465,0.274623,0.298887,0.352395,0.386645,0.434737
1688.75,0.153253,0.154049,0.158886,0.170684,0.177534,0.188304,0.209975,0.23868,0.25418,0.286914,0.322062,0.365154,0.394733,0.446222
1689.12,0.156787,0.163094,0.164599,0.180429,0.17934,0.201883,0.221324,0.241984,0.266875,0.296047,0.325056,0.382897,0.41752,0.465823
1689.5,0.165959,0.167971,0.170118,0.177351,0.188212,0.205759,0.227076,0.251975,0.280485,0.316177,0.343582,0.399707,0.438526,0.48745
1689.88,0.173442,0.175864,0.17764,0.184201,0.192378,0.221889,0.23719,0.260626,0.290057,0.321263,0.36424,0.409317,0.446277,0.500823
1690.25,0.180354,0.179159,0.180469,0.193117,0.201529,0.224208,0.243961,0.269357,0.291501,0.339111,0.378153,0.428061,0.464423,0.522904
1690.62,0.18123,0.188601,0.191008,0.196355,0.2048,0.225563,0.253134,0.284076,0.304425,0.353803,0.38992,0.446446,0.482884,0.542304
1691,0.190476,0.19353,0.193484,0.203651,0.207081,0.236378,0.25605,0.287571,0.32113,0.362578,0.397841,0.465207,0.504347,0.559242
1691.38,0.19294,0.203195,0.202795,0.200082,0.215009,0.242068,0.27203,0.304821,0.333416,0.378787,0.421472,0.478481,0.52539,0.583069
1691.75,0.196177,0.206104,0.207091,0.213769,0.229505,0.257889,0.276863,0.312171,0.338555,0.390919,0.433036,0.50014,0.543862,0.598208
1692.12,0.209126,0.21093,0.211465,0.224052,0.233994,0.268019,0.284246,0.318976,0.354982,0.40745,0.448828,0.518781,0.555677,0.617931
1692.5,0.216507,0.218225,0.220818,0.233992,0.243856,0.276351,0.293717,0.329375,0.367394,0.422771,0.465425,0.529889,0.574648,0.638458
1692.88,0.222602,0.225931,0.227335,0.23764,0.252104,0.284244,0.303544,0.349147,0.375188,0.434896,0.483582,0.548531,0.6052,0.656517
1693.25,0.224899,0.229351,0.23232,0.236744,0.258984,0.285797,0.317774,0.356769,0.395653,0.451986,0.499708,0.571438,0.619861,0.675194
1693.62,0.23119,0.23632,0.244015,0.255071,0.27074,0.295711,0.330903,0.36821,0.394002,0.460807,0.519224,0.581684,0.641283,0.69775
1694,0.235433,0.240739,0.245737,0.257304,0.272037,0.306627,0.327817,0.383679,0.421107,0.481263,0.532184,0.605516,0.652534,0.710876
1694.38,0.244448,0.246793,0.253415,0.273418,0.284547,0.310674,0.346447,0.392792,0.423136,0.491377,0.542753,0.624395,0.670105,0.735204
1694.75,0.253821,0.255538,0.258503,0.269374,0.289728,0.325415,0.351352,0.402726,0.43349,0.502758,0.561194,0.642454,0.688368,0.752624
1695.12,0.255299,0.265529,0.266232,0.278003,0.299136,0.330509,0.359805,0.408413,0.443408,0.515302,0.572238,0.652601,0.70715,0.770761
1695.5,0.268841,0.272706,0.274539,0.282676,0.306429,0.343147,0.378432,0.418888,0.464657,0.535316,0.584256,0.66448,0.723875,0.781966
1695.88,0.263274,0.276808,0.280404,0.296782,0.315829,0.345195,0.386552,0.432271,0.475051,0.543121,0.595685,0.684239,0.730902,0.806757
1696.25,0.27589,0.279236,0.286913,0.297278,0.316973,0.348406,0.391118,0.44243,0.487259,0.558506,0.614385,0.704763,0.757395,0.820304
1696.62,0.279388,0.286713,0.296331,0.302952,0.329612,0.358984,0.398556,0.451763,0.492475,0.563758,0.631239,0.7132,0.773707,0.835521
1697,0.286383,0.293509,0.300929,0.306431,0.333026,0.366622,0.410462,0.45721,0.508057,0.581051,0.639774,0.726801,0.779203,0.848111
1697.38,0.292897,0.295045,0.301254,0.318758,0.345854,0.371566,0.41588,0.463352,0.514874,0.58507,0.648326,0.739728,0.795247,0.860475
1697.75,0.302686,0.304499,0.309508,0.31936,0.33846,0.384,0.428206,0.477307,0.521587,0.60253,0.66536,0.754211,0.817484,0.877734
1698.12,0.296696,0.306423,0.314423,0.324331,0.347497,0.390797,0.422945,0.483365,0.530687,0.605528,0.673807,0.766186,0.819511,0.881996
1698.5,0.303709,0.312893,0.317573,0.329032,0.35582,0.403314,0.437559,0.492779,0.534771,0.621807,0.685336,0.77649,0.833519,0.894073
1698.88,0.305917,0.311141,0.323292,0.331763,0.354749,0.399717,0.444748,0.500569,0.542525,0.628329,0.687176,0.79087,0.835951,0.902434
1699.25,0.307464,0.318919,0.321241,0.341162,0.358073,0.410227,0.449922,0.504634,0.553877,0.634255,0.710627,0.79213,0.85149,0.901688
1699.62,0.317066,0.323873,0.330196,0.340115,0.370551,0.405164,0.454777,0.511981,0.558687,0.63481,0.708734,0.799338,0.856381,0.913904
1700,0.318661,0.325168,0.331228,0.346902,0.376334,0.417615,0.456719,0.50838,0.564114,0.641523,0.722044,0.807648,0.857977,0.917739
1700.38,0.319843,0.334631,0.33117,0.351357,0.376566,0.418583,0.462146,0.514245,0.576529,0.655785,0.720828,0.811355,0.857457,0.921978
1700.75,0.32439,0.336611,0.336445,0.349845,0.374117,0.428083,0.462399,0.525409,0.575166,0.655978,0.72448,0.817738,0.865369,0.921313
1701.12,0.324023,0.330992,0.337257,0.352301,0.372593,0.427411,0.467683,0.523493,0.577316,0.663736,0.723669,0.820212,0.865479,0.923487
1701.5,0.328674,0.335584,0.336976,0.355149,0.37849,0.430333,0.471955,0.528211,0.576826,0.66462,0.728688,0.81719,0.876125,0.922329
1701.88,0.335926,0.338865,0.340019,0.355291,0.374965,0.422445,0.473377,0.535322,0.580367,0.661913,0.733339,0.826876,0.87015,0.915942
1702.25,0.326403,0.340332,0.344861,0.357188,0.37944,0.429229,0.470562,0.531029,0.574945,0.665839,0.734361,0.817378,0.871509,0.920487
1702.62,0.335918,0.334911,0.347897,0.353538,0.384793,0.426245,0.468656,0.528338,0.581247,0.660595,0.728065,0.820915,0.867645,0.907917
1703,0.327873,0.331758,0.341128,0.355886,0.383323,0.428921,0.469209,0.534964,0.5748,0.664273,0.725183,0.811209,0.863408,0.900108
1703.38,0.332838,0.337952,0.340476,0.356324,0.384588,0.422887,0.474304,0.529519,0.575791,0.65465,0.721587,0.809706,0.852818,0.896801
1703.75,0.330978,0.330218,0.340258,0.350114,0.379725,0.428015,0.456417,0.526459,0.578914,0.654466,0.714623,0.80486,0.852525,0.885631
1704.12,0.333013,0.337442,0.341817,0.35818,0.378059,0.432758,0.465238,0.524129,0.572874,0.656919,0.710556,0.807242,0.846311,0.882918
1704.5,0.327276,0.336586,0.336506,0.352508,0.374063,0.428708,0.454075,0.51577,0.564146,0.651062,0.704116,0.789109,0.837205,0.867422
1704.88,0.322741,0.331837,0.333313,0.346113,0.378044,0.417173,0.462219,0.515299,0.556814,0.650967,0.705349,0.780391,0.824627,0.864233
1705.25,0.323943,0.329868,0.324493,0.342865,0.367515,0.413186,0.452741,0.510948,0.557015,0.640962,0.69227,0.770646,0.816581,0.844419
1705.62,0.314933,0.319367,0.331101,0.347309,0.370358,0.413308,0.452073,0.507405,0.552777,0.626073,0.688705,0.761712,0.805609,0.825116
1706,0.317086,0.326209,0.333555,0.339286,0.369754,0.405127,0.437772,0.496534,0.551182,0.62397,0.672866,0.754203,0.787958,0.816967
1706.38,0.311462,0.321794,0.325502,0.340834,0.367375,0.400692,0.441749,0.494964,0.542389,0.614121,0.659896,0.73992,0.775004,0.800434
1706.75,0.310239,0.322584,0.318105,0.332118,0.359012,0.39854,0.435855,0.489417,0.531823,0.601798,0.664111,0.721238,0.76111,0.783342
1707.12,0.310825,0.309994,0.317685,0.325665,0.353104,0.390544,0.422796,0.472894,0.51773,0.594618,0.650527,0.713619,0.746204,0.770002
1707.5,0.299342,0.314081,0.316211,0.326694,0.344889,0.391625,0.424029,0.469151,0.51044,0.580903,0.630695,0.693978,0.732016,0.754125
1707.88,0.299892,0.310075,0.30681,0.321663,0.346855,0.379699,0.415421,0.4611,0.502923,0.567153,0.620473,0.681744,0.717659,0.734858
1708.25,0.296586,0.303281,0.30511,0.315581,0.336372,0.370751,0.408484,0.457279,0.500572,0.56139,0.610711,0.663421,0.700174,0.711733
1708.62,0.294303,0.296746,0.304981,0.31775,0.338512,0.370583,0.401678,0.445913,0.48724,0.543436,0.596175,0.652085,0.675965,0.689853
