G01,G02,G03,G04,G05,G06,G07,G08,G09,G10
0.460501,0.669745,0.64957,0.777379,0.857979,1.07975,1.54675,1.69758,1.73219,1.23164
0.62092,0.587346,0.58643,0.68656,0.864542,1.52882,1.06854,1.71316,1.71574,1.09205
0.758678,0.585322,0.880424,0.932842,0.848307,0.907017,1.083,0.989668,1.23357,1.91883
0.683624,0.761603,0.799322,0.78454,1.04673,1.60631,1.10318,1.13109,1.22692,1.91361
0.470005,0.680625,0.707904,0.73533,0.729947,1.03099,1.64602,1.03515,1.83409,1.28801
0.546586,0.644138,0.935825,0.763313,0.79684,1.00851,1.67271,1.23558,1.9061,1.10786
0.326328,0.844112,0.813486,0.804548,0.903025,1.68192,1.09925,1.16622,1.2316,1.3389
0.586468,0.669273,0.63285,0.8997,0.720265,0.930955,0.947153,1.08395,1.2223,1.15504
0.507268,0.748785,0.887502,0.828287,0.829778,1.19183,1.54134,1.80537,1.25933,1.93638
0.629071,0.635369,0.84992,0.723364,0.732358,1.12385,1.5483,1.1898,1.84543,1.12582
0.528649,0.714145,0.555077,0.703542,0.884086,1.69434,1.14844,1.23366,1.88815,1.29495
0.779258,0.524531,0.923456,0.717816,0.945036,1.62118,1.50347,1.64023,1.83723,1.13214
0.674868,0.673751,0.907428,0.661904,0.895319,1.10158,1.05215,1.25906,1.18656,1.30886
0.655416,0.680082,0.786389,0.701835,0.754137,1.55174,1.66784,1.60629,1.12027,1.21692
0.606835,0.748505,0.634459,0.786618,0.72056,1.52302,1.5356,1.71651,1.77099,1.63854
0.544337,0.81148,0.603201,0.728742,0.81945,1.75736,1.04826,1.1077,1.74337,1.43938
0.674874,0.448333,0.776931,0.799021,1.03411,1.5939,1.10117,1.13985,1.08756,1.27924
0.585355,0.861423,0.8266,0.708806,0.873233,1.03409,1.28079,1.12685,1.24475,1.21721
0.717666,0.608755,0.798907,0.769448,0.832389,1.03016,1.8287,1.28335,1.6,1.98117
0.821443,0.670149,0.715329,0.625894,0.804034,1.42917,1.61232,1.07607,1.28785,1.69208
0.684938,0.801632,0.775855,0.80365,0.953486,1.54314,1.58343,1.0652,1.24413,1.22634
0.653242,0.551747,0.730818,0.500869,0.910408,0.968884,1.20627,1.07915,1.19035,1.24653
0.626552,0.683534,0.978324,0.783445,0.680954,1.46483,1.57054,1.63188,1.77334,1.33339
0.647605,0.629015,0.752475,0.881034,0.817076,1.08788,1.18727,1.62848,1.71442,1.11377
0.627662,0.562159,0.634355,0.679579,0.839622,1.74752,1.21373,1.71986,1.86004,1.40038
0.693797,0.591968,0.748394,0.80324,0.794658,1.08328,0.967178,1.69147,1.48767,1.7027
0.549293,0.647489,0.688573,0.815038,0.686433,1.58237,1.06646,1.84381,1.06992,1.12726
0.528384,0.623159,0.921385,0.66839,0.914174,1.49288,0.963182,0.999663,1.0071,1.09011
0.610845,0.719658,0.651382,0.96858,0.752014,1.44078,1.07368,1.5367,1.9107,1.85519
0.628357,0.623439,0.768765,0.959425,0.821658,0.957335,1.55877,1.59826,1.83923,2.16001
0.535111,0.747597,0.809109,0.757695,0.727087,1.0721,1.04921,1.68399,1.67048,1.65608
0.592046,0.599197,0.72205,0.851851,0.763098,0.943947,1.08444,0.95052,1.30807,1.25404
0.751345,,0.730073,0.785838,0.927974,1.70453,1.11897,1.0373,1.8701,2.0835
0.618973,,0.800411,0.896697,0.907003,1.02359,1.10704,1.59526,1.16557,
0.547321,,0.77386,0.838313,0.811391,1.0161,1.22385,1.87655,1.17238,
0.592969,,0.752967,0.76889,0.982151,1.57906,1.18191,1.83415,1.9124,
0.627533,,0.890339,0.922814,,1.61881,1.53723,1.57306,1.26431,
0.692511,,0.854186,0.717723,,1.07335,1.71908,1.7337,1.19605,
0.717967,,0.608201,0.907541,,1.11924,1.74463,1.19935,1.89298,
0.584655,,0.658445,0.803396,,1.06253,1.20862,1.1482,1.15219,
0.521192,,0.712132,0.663162,,1.0016,1.04216,1.14039,1.09378,
0.4978,,0.595542,0.779688,,1.83595,1.00809,1.97151,1.77538,
0.555962,,,0.859429,,1.06973,1.16873,1.15034,1.01458,
0.720933,,,0.755564,,0.935172,1.66587,1.10574,1.17841,
0.642089,,,0.874839,,0.886355,1.08436,1.05693,1.6953,
0.672357,,,0.881065,,1.09894,1.12115,,,
0.578711,,,0.892919,,1.67619,1.61317,,,
0.586227,,,0.667977,,1.05907,1.57957,,,
0.519084,,,0.864607,,1.0253,1.25451,,,
0.593208,,,0.820271,,0.951072,1.49871,,,
0.651859,,,0.63318,,1.05159,1.12927,,,
0.837268,,,0.860532,,1.11533,1.02287,,,
0.497011,,,0.774554,,1.02484,1.14956,,,
0.558826,,,0.844897,,1.59448,1.64048,,,
0.610769,,,0.844617,,1.00568,1.63994,,,
,,,0.746631,,1.54038,1.80802,,,
,,,0.836982,,1.01036,1.11375,,,
,,,0.679408,,1.03045,0.923736,,,
,,,0.720623,,1.70086,1.57718,,,
,,,0.816984,,1.1067,1.50999,,,
,,,0.749957,,0.958901,1.01556,,,
,,,0.858405,,1.09735,1.05045,,,
,,,0.885358,,0.946898,1.68523,,,
,,,0.677778,,1.51605,1.2659,,,
,,,0.806886,,0.981087,1.16602,,,
,,,0.830122,,1.05205,,,,
,,,,,0.894853,,,,
,,,,,0.995505,,,,
