candidate_id,family,AC1920_pct,TK100_pct,why_admissible,pre_result_evidence,dimension_introduced,post_result_influence
S1C11,uniform_modifier_lattice_on_E2_core,0.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;LOCAL_FORMULATIONS,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C12,uniform_modifier_lattice_on_E2_core,0.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H13;LOCAL_FORMULATIONS,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C13,uniform_modifier_lattice_on_E2_core,0.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H13;LOCAL_FORMULATIONS,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C14,uniform_modifier_lattice_on_E2_core,2.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C15,uniform_modifier_lattice_on_E2_core,2.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C16,uniform_modifier_lattice_on_E2_core,2.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C17,uniform_modifier_lattice_on_E2_core,2.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C18,uniform_modifier_lattice_on_E2_core,2.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C19,uniform_modifier_lattice_on_E2_core,5.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C20,uniform_modifier_lattice_on_E2_core,5.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C21,uniform_modifier_lattice_on_E2_core,5.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C22,uniform_modifier_lattice_on_E2_core,5.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C23,uniform_modifier_lattice_on_E2_core,5.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C24,uniform_modifier_lattice_on_E2_core,7.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C25,uniform_modifier_lattice_on_E2_core,7.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C26,uniform_modifier_lattice_on_E2_core,7.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C27,uniform_modifier_lattice_on_E2_core,7.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C28,uniform_modifier_lattice_on_E2_core,7.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C29,uniform_modifier_lattice_on_E2_core,10.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C30,uniform_modifier_lattice_on_E2_core,10.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C31,uniform_modifier_lattice_on_E2_core,10.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C32,uniform_modifier_lattice_on_E2_core,10.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C33,uniform_modifier_lattice_on_E2_core,10.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H07;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C34,uniform_modifier_lattice_on_E2_core,12.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C35,uniform_modifier_lattice_on_E2_core,12.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C36,uniform_modifier_lattice_on_E2_core,12.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C37,uniform_modifier_lattice_on_E2_core,12.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C38,uniform_modifier_lattice_on_E2_core,12.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C39,uniform_modifier_lattice_on_E2_core,15.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C40,uniform_modifier_lattice_on_E2_core,15.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C41,uniform_modifier_lattice_on_E2_core,15.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C42,uniform_modifier_lattice_on_E2_core,15.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C43,uniform_modifier_lattice_on_E2_core,15.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C44,uniform_modifier_lattice_on_E2_core,17.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C45,uniform_modifier_lattice_on_E2_core,17.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C46,uniform_modifier_lattice_on_E2_core,17.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C47,uniform_modifier_lattice_on_E2_core,17.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C48,uniform_modifier_lattice_on_E2_core,17.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H08;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C49,uniform_modifier_lattice_on_E2_core,20.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H03;H04;H05;H06,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C50,uniform_modifier_lattice_on_E2_core,20.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C51,uniform_modifier_lattice_on_E2_core,20.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C52,uniform_modifier_lattice_on_E2_core,20.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C53,uniform_modifier_lattice_on_E2_core,20.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H03;H04;H05;H06;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C54,uniform_modifier_lattice_on_E2_core,22.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C55,uniform_modifier_lattice_on_E2_core,22.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C56,uniform_modifier_lattice_on_E2_core,22.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C57,uniform_modifier_lattice_on_E2_core,22.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C58,uniform_modifier_lattice_on_E2_core,22.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C59,uniform_modifier_lattice_on_E2_core,25.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C60,uniform_modifier_lattice_on_E2_core,25.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C61,uniform_modifier_lattice_on_E2_core,25.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C62,uniform_modifier_lattice_on_E2_core,25.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C63,uniform_modifier_lattice_on_E2_core,25.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C64,uniform_modifier_lattice_on_E2_core,27.5,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C65,uniform_modifier_lattice_on_E2_core,27.5,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C66,uniform_modifier_lattice_on_E2_core,27.5,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C67,uniform_modifier_lattice_on_E2_core,27.5,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C68,uniform_modifier_lattice_on_E2_core,27.5,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C69,uniform_modifier_lattice_on_E2_core,30.0,0.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C70,uniform_modifier_lattice_on_E2_core,30.0,2.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C71,uniform_modifier_lattice_on_E2_core,30.0,5.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C72,uniform_modifier_lattice_on_E2_core,30.0,7.5,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
S1C73,uniform_modifier_lattice_on_E2_core,30.0,10.0,Chemically plausible resin-modified reactive PUR; modifier burden within externally documented ranges.,H01;H02;H09;H10;H13,External curated PUR literature/patent evidence published before the local validation experiment; the local E1-E5 design contains no resin modifier and therefore cannot inform this axis.,none
